categoria,mape_manual_%,r2_manual,mape_naive_%,r2_naive,mape_ml_%,r2_ml,melhoria_ml_vs_manual_%
agua,41.5,0.349,50.4,0.151,34.9,0.218,15.9
doce,41.7,0.166,35.4,0.261,24.9,0.109,40.3
refrigerante,47.1,0.268,53.2,0.115,45.4,0.258,3.6
snack,47.2,0.083,47.3,0.049,51.4,0.087,-8.9
cigarro_jti,47.8,0.059,34.3,0.394,25.9,-0.131,45.8
cigarro_philip_morris,50.7,0.065,22.6,0.71,16.8,-0.207,66.9
chocolate_premium,57.5,0.064,57.4,0.021,68.9,0.038,-19.8
cerveja,59.6,0.351,76.4,0.074,54.1,0.325,9.2
cafe,70.7,0.023,64.8,0.015,47.5,-0.314,32.8
isotonico,74.9,0.186,79.5,0.09,57.6,0.164,23.1
energetico,79.2,0.208,69.8,0.23,49.0,0.151,38.1
suco,81.5,0.096,78.2,0.131,73.7,0.013,9.6
sorvete,90.3,0.405,130.3,0.103,95.9,0.33,-6.2
destilados,93.6,0.054,93.9,-0.003,59.2,-0.127,36.8
padaria,98.2,0.042,96.7,0.048,72.4,-0.069,26.3
chocolate_impulso,98.8,0.034,65.6,0.217,65.4,-0.052,33.8
gelo,103.7,0.254,207.3,-0.022,101.0,0.156,2.6
biscoito,124.3,0.02,94.0,0.197,91.4,-0.058,26.5
cigarro_souza_cruz,144.1,0.065,19.9,0.788,14.6,0.005,89.9
