evento_base,categoria,uplift_medio,uplift_std,n_anos,uplift_prior_medio,uplift_olist
Réveillon,gelo,5.505,1.591,6,3.0,
Dia Internacional da Mulher,destilados,3.343,,1,1.6,
Véspera de Natal,destilados,1.636,1.615,5,2.8,
Réveillon,energetico,1.608,0.152,6,3.0,
Réveillon,cerveja,1.504,0.376,6,3.0,
Dia das Mães,destilados,1.494,,1,2.2,
Réveillon,refrigerante,1.468,0.264,6,3.0,
Véspera de Natal,cerveja,1.425,0.192,6,2.8,
Réveillon,destilados,1.422,0.627,6,3.0,
Black Friday,sorvete,1.412,0.2,6,1.5,
Cyber Monday,sorvete,1.406,0.331,6,1.3,
Copa 2022,cerveja,1.315,0.152,5,2.66,
Véspera de Natal,refrigerante,1.28,0.14,6,2.8,
Dia do Consumidor,agua,1.278,0.208,6,1.2,
Copa 2022,snack,1.266,0.257,5,2.66,
Dia do Consumidor,padaria,1.254,0.316,4,1.2,
Black Friday,energetico,1.228,0.175,6,1.5,
Black Friday,cerveja,1.225,0.077,6,1.5,
Dia dos Namorados,chocolate_premium,1.211,0.144,5,2.5,
Dia do Consumidor,isotonico,1.206,0.208,6,1.2,
Black Friday,isotonico,1.197,0.218,6,1.5,
Cyber Monday,isotonico,1.189,0.286,6,1.3,
Black Friday,agua,1.166,0.107,6,1.5,
Cyber Monday,suco,1.165,0.241,6,1.3,
Dia do Consumidor,chocolate_premium,1.163,0.127,6,1.2,
Dia do Consumidor,sorvete,1.137,0.189,6,1.2,
Cyber Monday,energetico,1.134,0.114,6,1.3,
Black Friday,suco,1.13,0.182,6,1.5,
Dia do Consumidor,refrigerante,1.123,0.16,6,1.2,
Dia dos Pais,biscoito,1.12,0.264,6,1.9,
Dia das Mães,chocolate_premium,1.118,0.236,5,2.2,
Aniversário de Barueri,refrigerante,1.115,0.184,5,1.15,
Dia das Crianças,sorvete,1.111,0.33,6,1.7,
Aniversário de Barueri,biscoito,1.111,0.381,5,1.15,
Aniversário de São Paulo,refrigerante,1.11,0.213,6,1.1,
Black Friday,cafe,1.105,0.21,6,1.5,
Copa 2022,refrigerante,1.102,0.066,5,2.66,
Cyber Monday,agua,1.094,0.22,6,1.3,
Cyber Monday,cerveja,1.084,0.078,6,1.3,
Black Friday,padaria,1.08,0.257,4,1.5,
Cyber Monday,chocolate_impulso,1.078,0.207,6,1.3,
Cyber Monday,cigarro_jti,1.075,0.14,6,1.3,
Dia do Consumidor,suco,1.072,0.36,6,1.2,
Black Friday,refrigerante,1.072,0.072,6,1.5,
Black Friday,cigarro_jti,1.07,0.128,6,1.5,
Aniversário de Barueri,cerveja,1.064,0.167,5,1.15,
Cyber Monday,cafe,1.062,0.222,6,1.3,
Dia dos Namorados,chocolate_impulso,1.062,0.377,5,2.5,
Cyber Monday,refrigerante,1.06,0.063,6,1.3,
Dia das Crianças,chocolate_impulso,1.055,0.327,6,1.7,
Dia do Consumidor,cigarro_jti,1.054,0.124,6,1.2,
Dia do Consumidor,cigarro_philip_morris,1.054,0.033,6,1.2,
Black Friday,chocolate_impulso,1.052,0.289,6,1.5,
Dia do Consumidor,snack,1.049,0.07,6,1.2,
Black Friday,snack,1.046,0.086,6,1.5,
Cyber Monday,cigarro_souza_cruz,1.046,0.074,6,1.3,
Véspera de Natal,chocolate_premium,1.04,0.178,6,2.8,
Dia dos Pais,snack,1.037,0.192,6,1.9,
