sku,n_snapshots,categoria,pct_snapshots
51 ICE FRUIT MIX MORAN E LARANJ LONG NECK 275ML,50,AGUARDENTES,98.0
ABSOLUT VODKA SPRITE 269ML,46,VODKA,90.2
"ACHOCOLATADO NESCAU EM PÓ 1,3KG",51,ACHOCOLATADO,100.0
"ACHOCOLATADO NESTLE DOIS FRADES 1,3KG",50,ACHOCOLATADO,98.0
ADES LARANJA TP 200ML,28,SUCO,54.9
ADES SOJA SUCO DE UVA 200 ML,30,SUCO,58.8
ADRIA BISCOITO MOUSSE CHOCOLATE MEIO AMARGO 130G,27,BISCOITO,52.9
ADRIA BISCOITO MOUSSE DE CHOCOLATE 130G,42,BISCOITO,82.4
ADRIA BISCOITO RECHEAD TORTINHA DUE 140G,50,BISCOITO,98.0
ADRIA MOUSSE MORANGO COM CHOCOLATE 130G,27,BISCOITO,52.9
ADRIA TORTINHA DUE CHOCOLATE BRANCO E GELEIA DE FRUTAS VERMELHAS 140G,50,BISCOITO,98.0
AGUA DE COCO KERO COCO 330ML,16,ÁGUA DE COCO,31.4
AGUA SABORIZADA CRYSTAL SPARKLING MELANCIA 510ML,20,AGUA,39.2
AGUA TONICA FYS 350ML,46,AGUA,90.2
AGUA TONICA PETRA 350ML,47,AGUA,92.2
ALCOOL EM GEL PARA MAOS GIOVANNA BABY 500ML,51,HIGIENE PESSOAL,100.0
AMANDITA 200GR,27,DOCES DIVERSOS,52.9
AMENDOIM AMENDUPA COM PELE 50G,37,AMENDOIN/NOZES,72.5
AMENDOIM CROKISSIMO SALGADO 90GR,50,AMENDOIN/NOZES,98.0
AMENDOIM ELMA CHIPS OVINHO 145G,38,AMENDOIN/NOZES,74.5
AMENDOIM ELMA CHIPS S/PELE 100G,16,AMENDOIN/NOZES,31.4
AMENDOIM JAPONES ELMA CHIPS 145G,17,AMENDOIN/NOZES,33.3
AMENDOIM PARI S/ PELE 120G,49,AMENDOIN/NOZES,96.1
AMSTEL LATA 269ML,12,CERVEJA AMBEV,23.5
AMSTEL LATA 350ML,40,CERVEJA FEMSA,78.4
AMSTEL LONG NECK 355ML,38,CERVEJA FEMSA,74.5
ANTARCTICA GUARANA 200ML,22,REFRIGERANTE,43.1
ANTARCTICA GUARANA 600ML,11,REFRIGERANTE,21.6
ANTARCTICA GUARANA LATA 350ML,21,REFRIGERANTE,41.2
ANTARCTICA GUARANA ZERO 2LTS,45,REFRIGERANTE,88.2
ANTARCTICA SODA 2LTS,2,REFRIGERANTE,3.9
ANTARCTICA TONICA LATA 350ML,2,REFRIGERANTE,3.9
APARELHO DE BARBEAR BOZZANO CONFORT UN,44,HIGIENE PESSOAL,86.3
ARCOR PASSION CHOCOLATE 80G,49,BISCOITO,96.1
ARCOR PASSION LIMÃO 80G,46,BISCOITO,90.2
AVARE PINGO DE LEITE 10G,28,DOCES DIVERSOS,54.9
BACONZITOS 34G,30,SNACK ELMA CHIPS,58.8
BACONZITOS 86G,26,SNACK ELMA CHIPS,51.0
BADEN BADEN CRISTAL PILSEN 350ML,37,CERVEJA ESPECIAIS,72.5
BALA DE GOMA GOMUTCHO 31G,19,BALA,37.3
BALA FINI GELATINA BANANAS 100GR,1,DOCES DIVERSOS,2.0
BALA FINI GELATINA BEIJOS MORANGO 15GR,18,BALA FINI,35.3
BALA FINI GELATINA DENTADURA 100GR,1,DOCES DIVERSOS,2.0
BALA FINI GELATINA DENTADURA 15G,17,BALA FINI,33.3
BALA FINI GELATINA MINHOCA BRILHO 90GR,4,DOCES DIVERSOS,7.8
BALA FINI REGALIZ TUBES ACIDO MORANGO 80G,30,BALA FINI,58.8
BALA FINI REGALIZ TUBES ACIDO SORTIDO CEREJA ABACAXI MAÇA VERDE 17G,20,BALA FINI,39.2
BALA FINI REGALIZ TUBES MORANGO 80G,24,BALA FINI,47.1
BALA FINI TUBES MONO TWISTER 17G,19,BALA FINI,37.3
BALA FINI TUBES MORANGO 17G,42,BALA FINI,82.4
BALA FINI TUBES TUTTI-FRUTTI 15G,17,BALA FINI,33.3
BALA FRUITTELLA CARAMELO 41G,35,BALA,68.6
BALA FRUITTELLA MORANGO 40GR,12,BALA,23.5
"BALA MENTOS FRUIT 37,5G",44,MENTOS,86.3
"BALA MENTOS FRUTAS VERMELHAS 37,5G",22,MENTOS,43.1
"BALA MENTOS MINT 37,5G",29,MENTOS,56.9
"BALA MENTOS MINT 37,5GR",5,MENTOS,9.8
"BALA MENTOS RAINBOW 37,5G",15,MENTOS,29.4
"BALA MENTOS RAINBOW 37,5GR",16,MENTOS,31.4
"BALA MENTOS STK TUTTI FRUTTI 37,5G",51,MENTOS,100.0
"BALA MENTOS TUTTI FRUTTI 37,5G",21,MENTOS,41.2
BALA SKITLES ORIGINAL 38G,29,BALA,56.9
"BALA TIC TAC MENTA FRUTAS 14,5G",21,PASTILHAS,41.2
BALA TIC TAC MENTA FRUTAS 16G,24,PASTILHAS,47.1
BARALHO COPAG 139,33,UTILIDADES DOMESTICAS,64.7
BARALHO COPAG DUNGA,51,UTILIDADES DOMESTICAS,100.0
BARRA CEREAL NUTRY AVEIA BANANA E MEL,5,CEREAIS,9.8
BARRA CEREAL NUTRY BANANA ZERO 23G,47,CEREAIS,92.2
BARRA CEREAL NUTRY BOLO CHOCOLATE 22GR,7,CEREAIS,13.7
BARRA CEREAL NUTRY CHOCOLATE AO LEITE 30G,32,CEREAIS,62.7
BARRA CEREAL NUTRY FR.VERM. COOKIES 22GR,49,CEREAIS,96.1
BARRA CEREAL NUTRY MOR. C/ CHOC. LIGHT 22GR,13,CEREAIS,25.5
BARRA CEREAL NUTRY PASTA DE AMENDOIM 30G,30,CEREAIS,58.8
BARRA PROTEICA BOLD COOKIES E CREAM 40G,44,CEREAIS,86.3
BARRA PROTEICA BOLD TUBE PISTACHE 40G,42,CEREAIS,82.4
BATATA ELMA CHIPS SENSACOES PEITO PERU 35G,49,SNACK ELMA CHIPS,96.1
BATATA FRITA LAYS SALT E VINEGAR 70G,49,SNACK DIVERSOS,96.1
BATATA FRITA LISA KELECK BARBECUE 90G,49,SNACK DIVERSOS,96.1
BATATA FRITA LISA KELECK CEBOLA E SALSA 90G,48,SNACK DIVERSOS,94.1
BATATA FRITA LISA KELECK NATURAL 90G,49,SNACK DIVERSOS,96.1
BATATA FRITA LISA KELEEK CHURRASCO 90G,48,SNACK DIVERSOS,94.1
BATATA LAYS CLASSICO 62G,49,SNACK DIVERSOS,96.1
BATATA LAYS COPA PICANHA 62G,49,SNACK DIVERSOS,96.1
BATATA LAYS COPA QUEIJO CAMEMBERT 62G,50,SNACK DIVERSOS,98.0
BATATA LAYS SENSACOES FRANGO GRELHADO 35G,49,SNACK DIVERSOS,96.1
BATATA LAYS SOUR CREAM 62G,50,SNACK DIVERSOS,98.0
BATATA LAYS TACO MEXICANO 62G,50,SNACK DIVERSOS,98.0
BATATA PRINGLES STRANGER THINGS BACON 100G,50,SNACK DIVERSOS,98.0
BATATA RUFFLES CEBOLA E SALSA 32G,50,SNACK ELMA CHIPS,98.0
BATATA RUFFLES CEBOLA E SALSA 68G,38,SNACK ELMA CHIPS,74.5
BATATA RUFFLES CHURRASCO 32G,50,SNACK ELMA CHIPS,98.0
BATATA RUFFLES ORIGINAL 32G,42,SNACK ELMA CHIPS,82.4
BATATA RUFFLES SOUR CREAM E CEBOLA 100G,41,SNACK ELMA CHIPS,80.4
BATATA RUFFLES TUBO ORIGINAL 100G,36,SNACK ELMA CHIPS,70.6
BATERIA STARLUX ENERGY LITHIUM CR2032 230MAH 3V,40,BATERIA,78.4
BATON AO LEITE BRANCO 16G,1,CHOCOLATE GAROTO,2.0
BAUDUCCO BOLINHO DUPLO CHOCOLATE 40GR,33,BOLO,64.7
BAUDUCCO COOKIE ORIGINAL 60GR,45,BISCOITO,88.2
BAUDUCCO ROLL CHOCOLATE 34GR,41,BOLO,80.4
BEBIDA ALCOOLICA CHILLI BEANS COSMOPOLITAN 310ML,51,DESTILADOS DIVERSOS,100.0
BEBIDA ALCOOLICA CHILLI BEANS MOJITO 310ML,50,DESTILADOS DIVERSOS,98.0
BEBIDA ALCOOLICA ICE LEEV LIMÃO 275ML,16,AGUARDENTES,31.4
BEBIDA ALCOOLICA ICE LEEV MELANCIA 275ML,35,AGUARDENTES,68.6
