seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,0,1095,467750.9,642974.8,1764.1,83.3,0.985,438.6806,95.7
42,1,1095,465039.12,638537.72,1831.2,164.3,0.9702,246.2303,93.8
42,2,1095,432122.88,627066.46,1803.7,166.1,0.9557,217.9083,91.6
42,3,1095,458544.88,646715.39,1721.1,153.6,0.9413,209.2505,93.7
42,4,1095,460720.72,644221.75,1651.4,135.7,0.9272,206.9095,92.4
42,5,1095,468751.53,637554.18,1687.3,112.7,0.9133,205.3548,90.1
42,6,1095,472123.72,645592.89,1780.0,75.6,0.8996,202.3137,95.1
42,7,1095,451808.75,628235.41,1748.0,101.6,0.8861,185.3636,87.5
42,8,1095,471739.1,633357.65,1894.7,113.6,0.8728,177.0283,89.3
42,9,1095,453288.4,628805.16,1822.7,76.6,0.8597,174.7403,90.0
42,10,1095,479076.2,631021.32,1729.5,170.9,0.8468,171.1624,93.6
42,11,1095,492761.3,660859.32,1732.3,227.5,0.8341,205.6714,90.7
42,12,1095,474340.2,635796.19,1840.7,66.9,0.8216,186.0435,87.2
42,13,1095,494038.3,642997.0,1744.2,93.8,0.8093,181.9936,89.0
42,14,1095,481397.72,631519.98,1845.6,104.3,0.7972,179.7349,88.2
42,15,1095,478200.47,627353.23,1775.2,161.0,0.7852,176.7579,89.1
42,16,1095,497869.03,640516.26,1715.3,120.9,0.7734,193.8172,87.8
42,17,1095,493086.2,633154.24,1753.8,111.0,0.7618,179.4913,84.4
42,18,1095,490097.7,633452.3,1750.5,109.0,0.7504,178.2721,85.8
42,19,1095,515106.2,642682.46,1765.6,87.0,0.7391,175.7805,88.5
42,20,1095,523783.62,647228.27,1842.7,88.1,0.728,173.7133,88.1
42,21,1095,503747.38,637194.44,1639.5,107.3,0.7171,190.1682,89.5
42,22,1095,511431.44,633485.95,1830.7,58.0,0.7064,181.3789,86.8
42,23,1095,507736.75,628433.89,1789.7,143.5,0.6958,180.0341,90.4
42,24,1095,506149.9,625545.45,1710.8,156.4,0.6853,177.8601,89.1
42,25,1095,550725.1,674684.52,1676.1,267.3,0.6751,177.6301,92.6
42,26,1095,521751.4,640174.85,1768.2,122.8,0.6649,197.3811,87.5
42,27,1095,529185.25,631229.02,1757.2,197.2,0.655,188.4615,87.2
42,28,1095,529338.8,638272.71,1728.3,93.0,0.6451,185.317,87.4
