seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,0,1095,452087.44,645478.31,1846.7,85.8,0.99,417.6561,95.7
42,1,1095,437025.62,642697.96,1704.7,162.8,0.9801,215.7868,95.7
42,2,1095,439415.72,627994.22,1854.0,164.5,0.9703,187.5589,92.6
42,3,1095,450973.38,648425.82,1649.4,115.6,0.9606,180.7001,93.0
42,4,1095,455756.62,650090.44,1743.5,162.9,0.951,176.634,92.9
42,5,1095,428451.8,635775.07,1791.8,97.5,0.9415,174.9174,90.7
42,6,1095,441482.38,643763.07,1818.0,132.7,0.9321,175.73,90.0
42,7,1095,440121.72,627295.19,1717.5,74.1,0.9227,152.2542,89.2
42,8,1095,451124.38,632946.09,1812.5,96.7,0.9135,148.6717,90.9
42,9,1095,447616.62,628302.53,1797.2,112.0,0.9044,146.2111,88.9
42,10,1095,452551.53,629614.54,1683.6,178.3,0.8953,145.8673,87.7
42,11,1095,482631.72,662976.26,1724.3,147.8,0.8864,167.0487,88.6
42,12,1095,451498.2,633333.94,1833.7,106.7,0.8775,150.7353,91.5
42,13,1095,457080.62,641838.84,1812.9,140.5,0.8687,149.1021,90.3
42,14,1095,467208.84,636685.74,1894.9,111.3,0.8601,147.7793,90.1
42,15,1095,449261.84,627380.88,1726.2,166.9,0.8515,144.9283,88.2
42,16,1095,451796.28,638188.34,1709.8,104.0,0.8429,163.3065,88.8
42,17,1095,475415.75,637405.9,1748.9,92.4,0.8345,150.3732,87.7
42,18,1095,467476.47,632571.46,1725.2,123.3,0.8262,148.8492,89.9
42,19,1095,478813.0,641848.88,1736.6,127.4,0.8179,146.8626,86.8
42,20,1095,482316.0,648045.82,1752.8,92.9,0.8097,146.6012,88.0
42,21,1095,473705.25,638192.61,1681.4,107.8,0.8016,163.274,86.1
42,22,1095,472689.62,634508.13,1721.3,87.8,0.7936,153.9387,87.6
42,23,1095,463714.03,624788.02,1749.0,136.3,0.7857,153.336,87.2
42,24,1095,472760.16,626371.13,1806.7,126.4,0.7778,153.7303,84.0
42,25,1095,520508.53,672025.85,1669.4,294.0,0.77,151.5519,84.8
42,26,1095,473968.2,637300.36,1789.7,123.8,0.7623,171.4495,84.8
42,27,1095,466731.44,632900.96,1687.0,147.3,0.7547,162.4961,85.5
42,28,1095,487827.56,639944.8,1712.0,107.6,0.7472,160.1471,86.0
42,29,1095,483402.9,634907.01,1811.3,169.6,0.7397,158.124,85.3
42,30,1095,486532.6,631020.48,1710.8,226.6,0.7323,159.5867,85.1
42,31,1095,491852.16,639891.52,1764.6,79.7,0.725,175.4451,84.9
42,32,1095,481416.62,639262.84,1762.2,85.1,0.7177,168.3979,84.6
42,33,1095,522976.16,671066.55,1647.6,168.3,0.7106,165.6482,83.3
42,34,1095,531859.25,667179.15,1573.0,183.8,0.7034,164.9453,83.8
42,35,1095,501368.12,646828.55,1676.9,118.3,0.6964,164.305,84.4
42,36,1095,518256.62,656460.34,1784.5,196.3,0.6894,179.7339,82.0
42,37,1095,492444.0,638880.43,1801.2,110.9,0.6826,171.4131,84.6
42,38,1095,500667.8,635591.07,1692.6,81.8,0.6757,172.3455,82.8
42,39,1095,492034.38,630504.99,1775.9,155.2,0.669,171.0071,82.9
42,40,1095,541900.25,674813.89,1661.5,212.7,0.6623,170.7769,81.7
42,41,1095,493483.8,629204.04,1835.3,154.6,0.6557,184.3389,82.6
42,42,1095,536432.1,673777.69,1625.8,152.7,0.6491,178.2323,80.7
42,43,1095,505144.1,639407.67,1713.0,78.3,0.6426,176.4506,80.7
42,44,1095,523813.62,658937.17,1702.5,227.5,0.6362,176.6885,82.4
42,45,1095,496127.25,636905.91,1825.4,98.3,0.6298,177.6554,80.6
42,46,1095,508643.62,643037.56,1678.9,201.5,0.6235,190.1567,80.5
42,47,1095,524750.4,647553.17,1780.4,109.7,0.6173,180.1748,82.1
42,48,1095,487654.4,629617.71,1747.6,156.3,0.6111,180.8885,80.5
42,49,1095,518191.8,646314.43,1710.2,63.5,0.605,180.1131,79.7
42,50,1095,518958.62,640475.01,1715.1,129.3,0.599,179.2055,79.2
42,51,1095,544323.25,662599.9,1722.8,192.9,0.593,190.6601,79.1
42,52,1095,518187.7,641932.01,1716.1,102.3,0.587,188.1609,78.5
42,53,1095,514991.62,637738.38,1692.9,85.4,0.5812,184.9201,78.2
42,54,1095,511974.0,632779.72,1820.2,86.1,0.5754,183.3941,79.9
42,55,1095,540870.5,642825.01,1678.6,111.4,0.5696,184.5358,77.6
42,56,1095,555331.06,657236.8,1706.8,208.7,0.5639,196.7731,77.3
42,57,1095,516808.4,628440.31,1712.7,132.0,0.5583,187.6838,77.6
42,58,1095,509429.62,639799.88,1841.4,93.1,0.5527,188.2078,79.5
42,59,1095,519790.38,639364.41,1852.5,86.5,0.5472,187.3999,77.0
42,60,1095,517737.28,632417.57,1886.1,120.5,0.5417,185.0499,76.7
42,61,1095,536393.1,641993.86,1873.0,97.1,0.5363,199.9944,74.1
42,62,1095,519282.47,627892.42,1677.5,192.6,0.5309,191.3275,77.5
42,63,1095,539365.4,632698.38,1776.7,89.5,0.5256,191.309,77.1
42,64,1095,530213.56,633835.14,1690.9,108.4,0.5203,189.13,78.6
42,65,1095,551415.8,645145.35,1732.8,114.0,0.5151,188.605,77.3
42,66,1095,553673.75,640068.05,1901.3,105.7,0.51,198.0504,74.8
42,67,1095,551375.44,640219.17,1817.9,99.0,0.5049,192.5496,74.0
42,68,1095,539586.44,634194.13,1749.6,88.6,0.4998,194.2987,74.1
42,69,1095,519531.97,627881.59,1807.5,189.1,0.4948,191.2359,76.3
42,70,1095,549191.25,644138.67,1684.7,148.8,0.4899,191.5441,75.0
42,71,1095,533430.75,636329.44,1842.0,93.0,0.485,202.527,77.6
42,72,1095,533357.5,628651.52,1708.2,130.7,0.4801,197.6158,75.3
42,73,1095,529460.3,631975.72,1793.5,178.7,0.4753,195.9483,78.8
42,74,1095,591911.6,678515.91,1585.1,178.0,0.4706,196.7698,76.4
42,75,1095,552308.94,644269.75,1766.7,97.6,0.4659,191.0994,76.1
42,76,1095,592896.0,676667.17,1761.9,154.3,0.4612,203.6967,73.5
42,77,1095,557794.56,644192.12,1790.4,72.5,0.4566,199.1469,74.9
42,78,1095,542094.6,631437.51,1840.5,157.4,0.452,196.2841,76.3
42,79,1095,552066.2,634807.78,1790.4,104.5,0.4475,194.1829,75.3
42,80,1095,553598.25,631901.11,1805.7,171.4,0.443,195.2738,72.4
42,81,1095,563923.3,645439.81,1707.0,150.2,0.4386,204.1736,74.3
42,82,1095,558486.2,634403.41,1830.2,102.6,0.4342,197.7003,73.4
42,83,1095,564379.2,641639.3,1761.0,117.5,0.4299,197.0441,75.8
42,84,1095,554349.1,636710.9,1859.9,89.2,0.4256,197.6317,76.0
42,85,1095,612632.75,678610.25,1629.7,257.5,0.4213,196.8236,74.4
42,86,1095,587742.4,663708.91,1737.3,231.6,0.4171,209.1807,77.2
42,87,1095,568132.94,638722.94,1641.5,71.2,0.4129,201.4206,73.9
42,88,1095,565579.8,644173.35,1774.5,88.2,0.4088,200.6898,74.2
42,89,1095,592778.75,669412.48,1792.7,170.4,0.4047,203.9339,76.0
42,90,1095,591937.56,672062.15,1768.7,187.3,0.4007,199.8053,76.0
42,91,1095,579318.75,655398.35,1738.6,188.2,0.3967,211.4084,74.6
42,92,1095,573909.3,639971.39,1744.0,78.3,0.3927,205.0645,72.3
42,93,1095,556422.8,627092.47,1839.7,179.3,0.3888,201.506,74.4
42,94,1095,573400.44,646166.28,1793.5,112.3,0.3849,201.9123,74.9
42,95,1095,581716.6,645370.29,1797.7,72.1,0.381,199.3964,75.0
42,96,1095,579531.4,635928.99,1682.6,78.3,0.3772,211.0104,73.2
42,97,1095,575424.2,634819.16,1731.3,132.7,0.3735,205.5613,72.6
42,98,1095,590603.56,643595.78,1742.3,86.8,0.3697,205.8072,75.1
42,99,1095,576479.2,637894.86,1708.1,91.0,0.366,203.3038,75.6
42,100,1095,609175.6,670913.44,1701.9,240.5,0.3624,201.2374,75.7
42,101,1095,586688.0,641193.85,1738.5,96.0,0.3587,213.6909,72.3
42,102,1095,606747.06,664341.06,1806.2,147.4,0.3552,209.175,74.3
42,103,1095,611048.56,667664.19,1690.3,169.2,0.3516,203.5939,71.7
42,104,1095,579172.25,632903.37,1859.6,173.4,0.3481,205.7933,71.1
42,105,1095,565884.0,630712.93,1793.6,110.5,0.3446,203.3516,73.6
42,106,1095,593771.7,642705.62,1743.2,84.0,0.3412,213.2546,73.3
42,107,1095,598266.1,647621.53,1687.2,93.4,0.3378,207.022,71.1
42,108,1095,581957.2,630910.01,1767.5,168.6,0.3344,207.0132,70.6
42,109,1095,628352.94,668207.1,1576.0,203.2,0.331,207.1696,72.3
42,110,1095,625221.6,665065.01,1741.0,248.1,0.3277,203.1288,71.0
42,111,1095,578686.94,632468.56,1716.9,119.7,0.3244,215.0353,71.7
42,112,1095,590173.5,639188.86,1839.5,106.0,0.3212,208.6491,72.3
42,113,1095,591114.1,639703.61,1762.1,107.3,0.318,210.1276,73.6
42,114,1095,600288.44,641218.01,1817.3,82.1,0.3148,205.9587,69.9
42,115,1095,581098.06,629109.36,1786.7,156.3,0.3117,209.9861,71.3
42,116,1095,627749.25,668870.44,1626.1,202.8,0.3085,214.0464,70.7
42,117,1095,586998.0,635263.78,1832.0,80.8,0.3055,210.846,69.4
42,118,1095,603324.9,646159.58,1686.2,139.2,0.3024,209.8396,71.4
42,119,1095,595951.5,632991.81,1910.3,90.5,0.2994,208.4686,69.2
42,120,1095,601096.94,634741.02,1709.6,121.9,0.2964,211.6967,70.9
42,121,1095,603231.25,638816.43,1772.5,101.9,0.2934,220.0826,69.6
42,122,1095,615092.6,640840.24,1773.5,81.0,0.2905,213.7451,69.1
42,123,1095,598242.8,634825.77,1804.2,146.6,0.2876,213.4052,70.1
42,124,1095,613259.94,639915.3,1842.9,77.0,0.2847,209.2895,70.7
42,125,1095,609193.9,646189.3,1701.1,150.6,0.2819,209.9815,71.8
42,126,1095,606811.2,640782.51,1864.4,127.1,0.279,215.0993,70.6
42,127,1095,610673.25,641647.78,1780.0,103.9,0.2763,213.1559,69.9
42,128,1095,611507.9,636592.8,1707.6,181.9,0.2735,208.9872,70.7
42,129,1095,605235.44,633539.49,1766.4,67.5,0.2708,209.8906,70.6
42,130,1095,609942.5,635337.87,1789.0,91.9,0.268,211.4215,70.2
42,131,1095,638121.1,663978.09,1732.8,218.6,0.2654,217.0584,72.0
42,132,1095,634617.8,662971.63,1667.2,226.6,0.2627,214.5081,71.5
42,133,1095,611742.56,637952.76,1755.7,102.6,0.2601,213.5575,69.9
42,134,1095,618141.3,643179.95,1720.5,194.6,0.2575,210.2236,69.3
42,135,1095,610794.3,648907.35,1827.6,130.6,0.2549,213.8343,69.8
42,136,1095,623864.06,641081.46,1808.5,168.8,0.2524,221.4472,71.5
42,137,1095,618758.7,637683.08,1782.4,119.8,0.2498,211.9269,68.1
42,138,1095,612924.8,634736.86,1778.9,134.5,0.2473,213.5309,70.5
42,139,1095,633793.44,647657.09,1669.7,155.4,0.2449,207.6667,69.7
42,140,1095,616316.0,634432.89,1700.6,139.3,0.2424,212.2085,69.6
42,141,1095,605222.75,627444.08,1681.7,116.2,0.24,217.3633,69.4
42,142,1095,651075.06,667047.1,1652.9,329.9,0.2376,215.3706,67.6
42,143,1095,610279.75,631866.48,1777.2,87.2,0.2352,210.5857,69.0
42,144,1095,621938.94,639968.22,1870.2,135.4,0.2329,215.0792,70.0
42,145,1095,633159.94,646472.42,1818.7,86.8,0.2305,211.8121,68.9
42,146,1095,634853.1,642603.32,1734.2,126.9,0.2282,218.8687,71.0
42,147,1095,618219.7,629543.98,1829.6,164.9,0.2259,214.6473,70.6
42,148,1095,611845.0,638709.32,1841.1,138.7,0.2237,212.3945,71.1
42,149,1095,657324.6,661965.83,1653.1,237.2,0.2215,209.904,69.5
