produto_idx,categoria,intensidade,n,pct
13,gelo,combo,14115,25.78
5,chocolate_impulso,desc5%,7210,13.17
0,_sem_promo,desc5%,5621,10.27
20,vinho,desc5%,4594,8.39
16,refrigerante,desc5%,4159,7.6
6,chocolate_premium,desc5%,3436,6.28
2,biscoito,desc5%,2947,5.38
6,chocolate_premium,combo,2520,4.6
13,gelo,desc5%,2028,3.7
14,isotonico,desc5%,1765,3.22
9,cigarro_souza_cruz,desc5%,1731,3.16
19,suco,desc5%,1238,2.26
0,_sem_promo,combo,934,1.71
8,cigarro_philip_morris,desc5%,731,1.34
8,cigarro_philip_morris,combo,506,0.92
2,biscoito,combo,430,0.79
17,snack,desc5%,315,0.58
12,energetico,desc5%,176,0.32
12,energetico,combo,133,0.24
10,destilados,desc5%,64,0.12
2,biscoito,desc10%,39,0.07
0,_sem_promo,nada,20,0.04
9,cigarro_souza_cruz,combo,19,0.03
3,cafe,desc5%,13,0.02
10,destilados,combo,6,0.01
