produto,dia,turno,mes,fator_combinado,is_fraco,action,promove
energetico,0,0,0,0.714,True,3,True
energetico,0,1,0,0.756,True,3,True
energetico,0,2,0,0.809,True,3,True
energetico,1,0,0,0.755,True,0,False
energetico,1,1,0,0.799,True,0,False
energetico,1,2,0,0.855,False,3,True
energetico,2,0,0,0.795,True,0,False
energetico,2,1,0,0.842,False,0,False
energetico,2,2,0,0.9,False,3,True
energetico,3,0,0,0.882,False,0,False
energetico,3,1,0,0.934,False,0,False
energetico,3,2,0,0.998,False,3,True
energetico,4,0,0,1.093,False,0,False
energetico,4,1,0,1.157,False,0,False
energetico,4,2,0,1.237,False,0,False
energetico,5,0,0,1.302,False,0,False
energetico,5,1,0,1.378,False,0,False
energetico,5,2,0,1.473,False,0,False
energetico,6,0,0,1.029,False,0,False
energetico,6,1,0,1.089,False,0,False
energetico,6,2,0,1.165,False,0,False
energetico,0,0,1,0.788,True,3,True
energetico,0,1,1,0.834,False,3,True
energetico,0,2,1,0.891,False,3,True
energetico,1,0,1,0.832,False,0,False
energetico,1,1,1,0.881,False,0,False
energetico,1,2,1,0.942,False,3,True
energetico,2,0,1,0.877,False,0,False
energetico,2,1,1,0.928,False,0,False
energetico,2,2,1,0.992,False,0,False
energetico,3,0,1,0.972,False,0,False
energetico,3,1,1,1.029,False,0,False
energetico,3,2,1,1.1,False,3,True
energetico,4,0,1,1.205,False,0,False
energetico,4,1,1,1.275,False,0,False
energetico,4,2,1,1.364,False,0,False
energetico,5,0,1,1.435,False,0,False
energetico,5,1,1,1.519,False,0,False
energetico,5,2,1,1.624,False,0,False
energetico,6,0,1,1.134,False,0,False
energetico,6,1,1,1.201,False,0,False
energetico,6,2,1,1.284,False,0,False
energetico,0,0,2,0.84,False,3,True
energetico,0,1,2,0.889,False,3,True
energetico,0,2,2,0.95,False,3,True
energetico,1,0,2,0.888,False,0,False
energetico,1,1,2,0.94,False,0,False
energetico,1,2,2,1.005,False,3,True
energetico,2,0,2,0.935,False,0,False
energetico,2,1,2,0.989,False,0,False
energetico,2,2,2,1.058,False,0,False
energetico,3,0,2,1.037,False,0,False
energetico,3,1,2,1.097,False,0,False
energetico,3,2,2,1.173,False,3,True
energetico,4,0,2,1.285,False,0,False
energetico,4,1,2,1.36,False,0,False
energetico,4,2,2,1.454,False,0,False
energetico,5,0,2,1.53,False,0,False
energetico,5,1,2,1.62,False,0,False
energetico,5,2,2,1.732,False,0,False
energetico,6,0,2,1.21,False,0,False
energetico,6,1,2,1.28,False,0,False
energetico,6,2,2,1.369,False,0,False
energetico,0,0,3,0.779,True,3,True
energetico,0,1,3,0.825,True,3,True
energetico,0,2,3,0.882,False,3,True
energetico,1,0,3,0.824,True,0,False
energetico,1,1,3,0.872,False,0,False
energetico,1,2,3,0.932,False,3,True
energetico,2,0,3,0.868,False,0,False
energetico,2,1,3,0.918,False,0,False
energetico,2,2,3,0.982,False,3,True
energetico,3,0,3,0.962,False,0,False
energetico,3,1,3,1.018,False,0,False
energetico,3,2,3,1.089,False,3,True
energetico,4,0,3,1.192,False,0,False
energetico,4,1,3,1.262,False,0,False
energetico,4,2,3,1.349,False,0,False
energetico,5,0,3,1.42,False,0,False
energetico,5,1,3,1.503,False,0,False
energetico,5,2,3,1.607,False,0,False
energetico,6,0,3,1.123,False,0,False
energetico,6,1,3,1.188,False,0,False
energetico,6,2,3,1.27,False,0,False
energetico,0,0,4,0.667,True,3,True
