categoria,n_skus,preco_medio,margem_pct_media,tipo
BISCOITO,68,6.27,52.8,conveniencia
SORVETE JUNDIÁ,54,22.74,45.7,conveniencia
SNACK ELMA CHIPS,50,9.91,49.5,conveniencia
SORVETE KIBON,42,23.38,42.6,conveniencia
SOUZA CRUZ,38,11.24,11.1,conveniencia
REFRIGERANTE,33,8.23,60.9,conveniencia
DOCES DIVERSOS,29,7.05,59.8,conveniencia
SNACK DIVERSOS,27,8.79,50.9,conveniencia
SUCO,27,9.92,55.2,conveniencia
JTI,18,12.93,12.2,conveniencia
CERVEJA ESPECIAIS,17,8.11,53.7,conveniencia
ENERGÉTICO,16,17.11,58.9,conveniencia
MENTOS,16,12.36,56.7,conveniencia
ISOTÔNICO,15,10.59,60.5,conveniencia
CERVEJA AMBEV,14,11.2,61.9,conveniencia
CHOCOLATE LACTA,13,11.53,55.4,conveniencia
CHICLETE,13,15.61,62.4,conveniencia
CHOCOLATE NESTLE,11,9.76,60.7,conveniencia
PHILIP MORRIS,11,10.18,11.9,conveniencia
CHOCOLATE DIVERSOS,11,8.17,60.9,conveniencia
CEREAIS,10,8.09,58.2,conveniencia
BALA FINI,9,3.99,55.2,conveniencia
ACESSORIOS CELULAR,8,36.36,54.3,revisar
CAFÉ,8,6.94,-inf,conveniencia
HIGIENE PESSOAL,8,12.49,53.6,conveniencia
DESTILADOS DIVERSOS,8,33.99,51.1,conveniencia
CERVEJA FEMSA,7,8.99,48.3,conveniencia
SNACK TORCIDA,7,3.99,58.4,conveniencia
AGUARDENTES,7,14.13,60.5,conveniencia
AMENDOIN/NOZES,7,8.7,48.6,conveniencia
CHOCOLATE GAROTO,7,11.28,57.4,conveniencia
ACHOCOLATADO,6,8.35,75.6,conveniencia
CHOCOLATE M&M (MARS),6,7.32,59.6,conveniencia
PADARIA,6,10.78,40.8,conveniencia
CHOCOLATE FERRERO,6,18.66,50.1,conveniencia
PASTILHAS,6,4.66,61.9,conveniencia
UTILIDADES DOMESTICAS,5,13.09,48.0,revisar
BALA,5,3.99,63.1,conveniencia
SANDUÍCHE,5,14.9,35.6,conveniencia
ISQUEIROS,5,6.99,45.4,conveniencia
AGUA SABORIZADA,5,6.79,58.9,conveniencia
CHOCOLATE ARCOR,4,4.24,58.8,conveniencia
CHÁ,4,6.74,55.4,conveniencia
BEBIDA LÁCTEA,4,11.24,53.0,conveniencia
SALGADO ASSADO/FRITO,4,12.24,48.6,conveniencia
SNACK PRINGLES,4,19.99,43.0,conveniencia
MERCEARIA ALIMENTICIA,4,13.74,45.5,conveniencia
PILHAS,3,7.99,56.3,conveniencia
AGUA,3,6.66,62.0,conveniencia
VODKA,3,32.99,61.2,conveniencia
WHISK,3,140.99,62.9,conveniencia
SORVETE PERFETTO,3,32.24,38.6,conveniencia
PIPOCA,3,4.99,58.1,conveniencia
BOLO,2,3.99,53.5,conveniencia
ACESSÓRIOS DIVERSOS,1,6.99,61.5,revisar
BATERIA,1,3.99,58.4,revisar
CARVÃO,1,44.99,52.9,conveniencia
CIGARRILHAS,1,15.0,7.9,conveniencia
CONGELADOS,1,43.99,39.6,conveniencia
CERVEJA ITAIPAVA,1,9.99,53.5,conveniencia
IOGURTE,1,6.99,55.1,conveniencia
NESCAFÉ BEBIDAS,1,8.5,38.4,conveniencia
MERCEARIA MAT. LIMPEZA,1,3.99,22.3,revisar
VINHO,1,39.99,66.9,conveniencia
ÁGUA DE COCO,1,9.99,52.5,conveniencia
