categoria,n_skus_total,n_cronicos,n_eventuais,pct_cronicos
DESTILADOS DIVERSOS,8,8,0,100.0
VINHO,1,1,0,100.0
CIGARRILHAS,1,1,0,100.0
CERVEJA ITAIPAVA,1,1,0,100.0
WHISK,3,3,0,100.0
SALGADO ASSADO/FRITO,4,4,0,100.0
MERCEARIA ALIMENTICIA,4,4,0,100.0
NESCAFÉ BEBIDAS,1,1,0,100.0
MERCEARIA MAT. LIMPEZA,1,1,0,100.0
VODKA,3,3,0,100.0
SNACK DIVERSOS,27,21,0,77.8
CHOCOLATE GAROTO,7,5,1,71.4
PADARIA,6,4,0,66.7
AGUA,3,2,0,66.7
PILHAS,3,2,0,66.7
PIPOCA,3,2,0,66.7
SORVETE PERFETTO,3,2,0,66.7
HIGIENE PESSOAL,8,5,0,62.5
ISQUEIROS,5,3,0,60.0
BEBIDA LÁCTEA,4,2,1,50.0
SNACK PRINGLES,4,2,0,50.0
CEREAIS,10,5,2,50.0
CAFÉ,8,4,0,50.0
BOLO,2,1,0,50.0
ACHOCOLATADO,6,3,2,50.0
DOCES DIVERSOS,29,14,3,48.3
CHOCOLATE NESTLE,11,5,0,45.5
PHILIP MORRIS,11,5,1,45.5
SNACK ELMA CHIPS,50,22,2,44.0
AMENDOIN/NOZES,7,3,0,42.9
SUCO,27,10,6,37.0
CHOCOLATE DIVERSOS,11,4,1,36.4
CERVEJA AMBEV,14,5,3,35.7
CERVEJA ESPECIAIS,17,6,3,35.3
BISCOITO,68,24,7,35.3
SOUZA CRUZ,38,13,5,34.2
SNACK TORCIDA,7,2,0,28.6
AGUARDENTES,7,2,0,28.6
CHÁ,4,1,3,25.0
MENTOS,16,4,4,25.0
SORVETE JUNDIÁ,54,13,20,24.1
BALA FINI,9,2,0,22.2
JTI,18,4,7,22.2
REFRIGERANTE,33,7,11,21.2
AGUA SABORIZADA,5,1,1,20.0
UTILIDADES DOMESTICAS,5,1,0,20.0
BALA,5,1,0,20.0
SORVETE KIBON,42,8,12,19.0
CHICLETE,13,2,2,15.4
ISOTÔNICO,15,2,8,13.3
ACESSORIOS CELULAR,8,1,0,12.5
ENERGÉTICO,16,1,1,6.2
CHOCOLATE LACTA,13,0,3,0.0
CHOCOLATE ARCOR,4,0,2,0.0
CERVEJA FEMSA,7,0,1,0.0
BATERIA,1,0,0,0.0
CHOCOLATE M&M (MARS),6,0,0,0.0
IOGURTE,1,0,0,0.0
CHOCOLATE FERRERO,6,0,4,0.0
PASTILHAS,6,0,0,0.0
ÁGUA DE COCO,1,0,0,0.0
ACESSÓRIOS DIVERSOS,1,0,1,0.0
SANDUÍCHE,5,0,0,0.0
CONGELADOS,1,0,0,0.0
CARVÃO,1,0,1,0.0
