seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,0,500,221037.64,319477.01,716.4,24.6,0.99,0.0,95.4
42,1,500,211848.55,313547.96,691.6,117.7,0.9801,472.9275,96.8
42,2,500,201087.62,287158.17,761.2,121.2,0.9703,282.5086,91.0
42,3,500,201614.69,305930.32,658.3,103.1,0.9606,193.8656,93.0
42,4,500,216704.88,318068.24,656.7,140.7,0.951,180.154,91.2
42,5,500,166501.4,236083.62,1008.4,6.1,0.9415,177.6802,92.8
42,6,500,227321.9,315574.46,797.1,56.2,0.9321,214.9893,88.6
42,7,500,218131.81,318668.66,661.8,35.3,0.9227,168.9384,87.2
42,8,500,182934.2,261099.82,889.9,15.7,0.9135,163.9237,86.4
42,9,500,232862.9,320902.86,636.1,58.0,0.9044,163.5065,86.2
42,10,500,171042.9,232573.2,967.5,2.9,0.8953,161.3119,86.0
42,11,500,187047.1,252937.76,858.7,10.8,0.8864,196.5481,83.6
42,12,500,172070.5,239074.08,942.7,7.1,0.8775,170.0446,83.2
42,13,500,219991.48,312819.05,716.3,24.6,0.8687,170.0263,81.8
42,14,500,199086.1,276617.34,734.0,6.1,0.8601,166.593,80.8
42,15,500,216145.0,296196.51,774.8,88.9,0.8515,163.7195,81.2
42,16,500,236044.6,327092.33,656.9,42.1,0.8429,196.5958,80.2
42,17,500,227672.9,314524.68,706.6,21.1,0.8345,174.2496,79.8
42,18,500,208528.78,303024.08,748.6,71.7,0.8262,169.263,79.6
42,19,500,214870.1,290562.07,780.0,30.0,0.8179,167.0476,80.8
42,20,500,215298.2,274959.84,779.5,10.4,0.8097,166.1743,75.6
42,21,500,229756.16,326493.78,669.2,42.7,0.8016,196.7387,78.6
42,22,500,202134.14,280032.27,783.0,14.9,0.7936,176.743,76.6
42,23,500,203936.88,276276.42,840.6,23.8,0.7857,174.2365,78.2
42,24,500,181238.69,234108.29,979.3,6.2,0.7778,172.8882,79.6
42,25,500,215751.69,264665.46,841.8,23.8,0.77,171.0889,82.2
42,26,500,240311.73,315946.8,658.2,135.6,0.7623,204.6995,76.2
42,27,500,228158.55,299176.64,759.9,114.5,0.7547,183.4978,78.2
42,28,500,222223.62,292600.18,727.5,21.8,0.7472,181.4753,78.6
42,29,500,223297.5,285522.36,769.3,21.5,0.7397,178.6391,74.0
42,30,500,204529.23,266400.17,804.0,16.1,0.7323,179.292,81.4
42,31,500,219139.7,275913.87,838.7,28.0,0.725,204.0268,80.0
42,32,500,247494.9,313841.11,695.2,47.0,0.7177,188.4853,76.4
42,33,500,207585.31,246967.64,855.0,7.5,0.7106,186.8089,80.6
42,34,500,204682.0,246537.65,972.1,14.5,0.7034,186.2804,79.2
42,35,500,245214.98,314714.19,726.1,41.2,0.6964,184.9893,76.0
42,36,500,215852.05,275336.58,701.8,5.1,0.6894,203.5583,74.0
42,37,500,204816.45,239772.16,976.8,5.7,0.6826,191.519,77.2
42,38,500,227016.55,302677.39,733.9,28.6,0.6757,189.5677,73.0
42,39,500,222806.9,278620.18,852.5,78.1,0.669,187.8769,76.4
42,40,500,226325.55,255909.38,876.0,8.4,0.6623,187.2229,78.0
42,41,500,197449.28,233908.8,894.6,4.0,0.6557,209.2877,79.6
42,42,500,217519.02,257571.26,900.3,8.8,0.6491,194.2875,74.6
42,43,500,240198.73,300561.39,743.6,67.6,0.6426,195.1377,71.0
42,44,500,208331.02,272298.55,811.0,10.8,0.6362,191.63,71.0
42,45,500,242691.38,298131.14,798.3,23.7,0.6298,190.1414,71.2
42,46,500,253767.22,322904.33,644.4,114.5,0.6235,212.5344,71.0
42,47,500,255958.8,316329.4,660.2,63.7,0.6173,203.8876,73.4
42,48,500,213062.28,253028.55,845.5,6.3,0.6111,199.9455,78.0
42,49,500,197355.44,244284.29,951.5,4.1,0.605,198.0687,77.4
