data_jogo,descricao,categoria,venda_jogo_R$,venda_baseline_R$,uplift,n_baseline
2022-11-24,Brasil 2×0 Sérvia (estreia),cerveja,313.86,113.47,2.766,17
2022-11-24,Brasil 2×0 Sérvia (estreia),snack,101.6,88.43,1.149,17
2022-11-24,Brasil 2×0 Sérvia (estreia),refrigerante,130.96,74.79,1.751,17
2022-11-24,Brasil 2×0 Sérvia (estreia),gelo,102.0,22.66,4.501,12
2022-11-24,Brasil 2×0 Sérvia (estreia),energetico,94.48,96.95,0.975,17
2022-11-24,Brasil 2×0 Sérvia (estreia),isotonico,39.84,26.76,1.489,14
2022-11-24,Brasil 2×0 Sérvia (estreia),agua,55.34,91.18,0.607,17
2022-11-24,Brasil 2×0 Sérvia (estreia),padaria,32.7,28.23,1.158,9
2022-11-28,Brasil 1×0 Suíça,cerveja,193.21,109.98,1.757,18
2022-11-28,Brasil 1×0 Suíça,snack,122.32,92.04,1.329,18
2022-11-28,Brasil 1×0 Suíça,refrigerante,57.4,86.46,0.664,18
2022-11-28,Brasil 1×0 Suíça,gelo,48.0,33.41,1.437,12
2022-11-28,Brasil 1×0 Suíça,energetico,97.63,75.46,1.294,17
2022-11-28,Brasil 1×0 Suíça,isotonico,25.56,27.61,0.926,16
2022-11-28,Brasil 1×0 Suíça,agua,69.49,108.07,0.643,18
2022-12-02,Brasil 1×1 Camarões,cerveja,442.54,256.19,1.727,18
2022-12-02,Brasil 1×1 Camarões,snack,209.44,123.35,1.698,18
2022-12-02,Brasil 1×1 Camarões,refrigerante,135.56,114.83,1.181,18
2022-12-02,Brasil 1×1 Camarões,gelo,138.0,174.81,0.789,17
2022-12-02,Brasil 1×1 Camarões,energetico,156.74,155.12,1.01,18
2022-12-02,Brasil 1×1 Camarões,isotonico,54.46,32.02,1.701,17
2022-12-02,Brasil 1×1 Camarões,agua,137.77,122.48,1.125,18
2022-12-05,Brasil 4×1 Coréia (oitavas),cerveja,105.04,132.73,0.791,17
2022-12-05,Brasil 4×1 Coréia (oitavas),snack,71.9,102.26,0.703,17
2022-12-05,Brasil 4×1 Coréia (oitavas),refrigerante,90.76,110.15,0.824,17
2022-12-05,Brasil 4×1 Coréia (oitavas),gelo,36.0,28.86,1.247,15
2022-12-05,Brasil 4×1 Coréia (oitavas),energetico,61.7,89.83,0.687,17
2022-12-05,Brasil 4×1 Coréia (oitavas),isotonico,34.99,38.07,0.919,17
2022-12-05,Brasil 4×1 Coréia (oitavas),agua,60.87,119.21,0.511,17
2022-12-05,Brasil 4×1 Coréia (oitavas),padaria,27.25,30.56,0.892,5
2022-12-09,Brasil 1×1 Croácia (eliminação),cerveja,329.45,256.19,1.286,18
2022-12-09,Brasil 1×1 Croácia (eliminação),snack,143.59,123.35,1.164,18
2022-12-09,Brasil 1×1 Croácia (eliminação),refrigerante,122.6,114.83,1.068,18
2022-12-09,Brasil 1×1 Croácia (eliminação),gelo,84.0,174.81,0.481,17
2022-12-09,Brasil 1×1 Croácia (eliminação),energetico,208.97,155.12,1.347,18
2022-12-09,Brasil 1×1 Croácia (eliminação),isotonico,67.94,32.02,2.122,17
2022-12-09,Brasil 1×1 Croácia (eliminação),agua,191.66,122.48,1.565,18
2022-12-09,Brasil 1×1 Croácia (eliminação),padaria,16.35,52.85,0.309,8
