evento,tipo_evento,data,ano,categoria,media_janela_R$,media_baseline_R$,uplift_real_posto,uplift_prior_calendario,n_dias_janela,n_dias_baseline
Dia dos Pais,data_comercial,2020-08-09,2020,destilados,36.75,18.85,1.95,1.9,3,75
Dia dos Pais,data_comercial,2020-08-09,2020,snack,73.73,83.46,0.883,1.9,11,190
Dia dos Pais,data_comercial,2020-08-09,2020,biscoito,9.45,8.82,1.072,1.9,9,165
Dia dos Pais,data_comercial,2020-08-09,2020,cerveja,142.9,131.39,1.088,1.9,11,190
Dia das Crianças,data_comercial,2020-10-12,2020,chocolate_premium,60.54,61.1,0.991,1.7,8,230
Dia das Crianças,data_comercial,2020-10-12,2020,suco,22.49,17.39,1.293,1.7,6,219
Dia das Crianças,data_comercial,2020-10-12,2020,refrigerante,100.61,80.83,1.245,1.7,8,232
Dia das Crianças,data_comercial,2020-10-12,2020,snack,76.79,84.62,0.907,1.7,8,230
Dia das Crianças,data_comercial,2020-10-12,2020,sorvete,307.29,184.63,1.664,1.7,8,229
Dia das Crianças,data_comercial,2020-10-12,2020,chocolate_impulso,10.93,14.87,0.735,1.7,6,198
Black Friday,data_comercial,2020-11-27,2020,chocolate_premium,46.94,60.64,0.774,1.5,11,272
Black Friday,data_comercial,2020-11-27,2020,cigarro_philip_morris,328.52,335.64,0.979,1.5,11,268
Black Friday,data_comercial,2020-11-27,2020,suco,22.03,16.25,1.356,1.5,11,255
Black Friday,data_comercial,2020-11-27,2020,cigarro_souza_cruz,456.68,395.85,1.154,1.5,11,268
Black Friday,data_comercial,2020-11-27,2020,doce,71.08,72.68,0.978,1.5,11,273
Black Friday,data_comercial,2020-11-27,2020,gelo,89.45,70.42,1.27,1.5,11,182
Black Friday,data_comercial,2020-11-27,2020,destilados,26.24,17.75,1.478,1.5,5,91
Black Friday,data_comercial,2020-11-27,2020,agua,113.4,85.12,1.332,1.5,11,273
Black Friday,data_comercial,2020-11-27,2020,biscoito,8.29,8.72,0.951,1.5,7,239
Black Friday,data_comercial,2020-11-27,2020,cerveja,137.7,116.54,1.182,1.5,11,272
Black Friday,data_comercial,2020-11-27,2020,sorvete,264.24,170.78,1.547,1.5,11,269
Black Friday,data_comercial,2020-11-27,2020,cafe,9.23,11.37,0.812,1.5,6,127
Black Friday,data_comercial,2020-11-27,2020,energetico,69.89,45.19,1.547,1.5,11,254
Black Friday,data_comercial,2020-11-27,2020,isotonico,23.96,20.35,1.177,1.5,11,231
Black Friday,data_comercial,2020-11-27,2020,snack,87.67,80.06,1.095,1.5,11,272
Black Friday,data_comercial,2020-11-27,2020,chocolate_impulso,11.45,14.69,0.779,1.5,10,230
Black Friday,data_comercial,2020-11-27,2020,refrigerante,80.79,75.65,1.068,1.5,11,274
Black Friday,data_comercial,2020-11-27,2020,cigarro_jti,151.7,156.93,0.967,1.5,11,272
Cyber Monday,data_comercial,2020-11-30,2020,chocolate_premium,43.26,61.07,0.708,1.3,9,277
Cyber Monday,data_comercial,2020-11-30,2020,cigarro_philip_morris,344.75,335.29,1.028,1.3,9,273
Cyber Monday,data_comercial,2020-11-30,2020,suco,22.75,16.44,1.384,1.3,9,260
Cyber Monday,data_comercial,2020-11-30,2020,cigarro_souza_cruz,453.19,398.2,1.138,1.3,9,273
Cyber Monday,data_comercial,2020-11-30,2020,doce,63.26,73.55,0.86,1.3,9,278
Cyber Monday,data_comercial,2020-11-30,2020,gelo,57.33,71.61,0.801,1.3,9,186
Cyber Monday,data_comercial,2020-11-30,2020,destilados,23.79,17.82,1.335,1.3,5,92
Cyber Monday,data_comercial,2020-11-30,2020,agua,117.89,85.19,1.384,1.3,9,278
Cyber Monday,data_comercial,2020-11-30,2020,biscoito,8.23,8.69,0.948,1.3,6,241
Cyber Monday,data_comercial,2020-11-30,2020,cerveja,132.41,118.21,1.12,1.3,9,277
Cyber Monday,data_comercial,2020-11-30,2020,sorvete,275.92,170.87,1.615,1.3,9,274
Cyber Monday,data_comercial,2020-11-30,2020,cafe,7.28,11.48,0.634,1.3,5,130
Cyber Monday,data_comercial,2020-11-30,2020,energetico,57.26,45.94,1.246,1.3,9,259
Cyber Monday,data_comercial,2020-11-30,2020,isotonico,27.21,20.44,1.331,1.3,9,236
Cyber Monday,data_comercial,2020-11-30,2020,snack,81.99,80.31,1.021,1.3,9,277
Cyber Monday,data_comercial,2020-11-30,2020,chocolate_impulso,14.1,14.75,0.956,1.3,8,236
Cyber Monday,data_comercial,2020-11-30,2020,refrigerante,80.39,76.03,1.057,1.3,9,279
Cyber Monday,data_comercial,2020-11-30,2020,cigarro_jti,146.89,158.93,0.924,1.3,9,277
Véspera de Natal,data_comercial,2020-12-24,2020,chocolate_premium,55.37,61.57,0.899,2.8,11,294
Véspera de Natal,data_comercial,2020-12-24,2020,destilados,17.72,18.2,0.973,2.8,6,91
Véspera de Natal,data_comercial,2020-12-24,2020,refrigerante,105.71,73.26,1.443,2.8,11,296
Véspera de Natal,data_comercial,2020-12-24,2020,cerveja,167.94,112.24,1.496,2.8,11,294
Véspera de Natal,data_comercial,2020-12-24,2020,chocolate_impulso,18.13,13.78,1.316,2.8,10,254
Réveillon,data_comercial,2020-12-31,2020,gelo,330.0,60.31,5.471,3.0,8,191
Réveillon,data_comercial,2020-12-31,2020,destilados,17.23,18.63,0.925,3.0,5,90
Réveillon,data_comercial,2020-12-31,2020,energetico,73.86,47.03,1.571,3.0,8,279
Réveillon,data_comercial,2020-12-31,2020,refrigerante,90.01,73.34,1.227,3.0,8,299
Réveillon,data_comercial,2020-12-31,2020,cerveja,177.52,112.6,1.577,3.0,8,297
Aniversário de São Paulo,evento_local,2021-01-25,2021,refrigerante,92.36,72.15,1.28,1.1,8,299
Aniversário de São Paulo,evento_local,2021-01-25,2021,cerveja,82.69,113.58,0.728,1.1,8,297
