seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,0,1095,479341.62,646825.85,1795.0,75.6,0.985,443.3521,95.7
42,1,1095,479915.12,644863.32,1849.3,156.3,0.9702,241.414,93.7
42,2,1095,442532.47,631740.26,1832.9,188.0,0.9557,213.6877,91.6
42,3,1095,469189.1,650719.61,1684.2,170.5,0.9413,209.1223,90.7
42,4,1095,475035.6,649902.62,1719.8,140.3,0.9272,205.9548,89.8
42,5,1095,466781.8,640138.23,1708.7,115.3,0.9133,205.3739,91.9
42,6,1095,481889.88,648592.45,1760.6,85.9,0.8996,210.304,90.5
42,7,1095,450556.44,633623.56,1733.6,89.9,0.8861,194.5974,90.5
42,8,1095,462476.62,637235.07,1880.2,121.9,0.8728,185.9333,89.5
42,9,1095,447974.16,632989.31,1847.1,66.1,0.8597,184.3669,90.0
42,10,1095,485735.53,635872.29,1749.7,149.5,0.8468,181.6286,95.5
42,11,1095,492666.62,664805.9,1743.4,219.2,0.8341,206.5835,95.5
42,12,1095,487983.9,641003.33,1799.3,58.9,0.8216,188.7775,93.6
42,13,1095,489295.38,647297.78,1704.7,72.4,0.8093,187.978,93.6
42,14,1095,488617.38,636456.05,1873.7,86.6,0.7972,187.0582,93.8
42,15,1095,484632.16,632411.75,1804.2,149.3,0.7852,184.4192,90.5
42,16,1095,501772.38,643760.95,1771.3,87.4,0.7734,200.6562,86.7
42,17,1095,497216.97,638809.27,1664.1,117.7,0.7618,190.6449,85.9
42,18,1095,482228.8,638122.94,1771.4,145.5,0.7504,189.3525,90.0
42,19,1095,508497.3,646415.56,1738.4,104.7,0.7391,187.6433,85.0
42,20,1095,505279.28,649142.19,1723.0,106.5,0.728,185.6777,86.5
42,21,1095,494561.56,644097.34,1679.0,122.4,0.7171,205.1948,91.4
42,22,1095,505742.8,637494.04,1830.3,105.4,0.7064,196.0383,91.2
42,23,1095,502506.72,629665.68,1844.7,169.0,0.6958,194.6489,91.4
42,24,1095,514980.47,630085.2,1735.4,152.2,0.6853,192.1346,91.9
42,25,1095,567563.75,677702.1,1573.8,233.7,0.6751,192.5729,91.8
42,26,1095,528970.0,644986.91,1661.8,161.5,0.6649,212.4719,94.3
42,27,1095,533333.3,635660.65,1806.3,189.6,0.655,202.9202,93.5
42,28,1095,550396.3,643410.07,1739.6,104.7,0.6451,199.7498,95.3
42,29,1095,511025.3,637775.27,1776.1,185.0,0.6355,199.241,94.3
42,30,1095,530621.4,632182.72,1730.6,169.5,0.6259,197.3336,94.8
42,31,1095,548342.2,643352.72,1777.8,114.0,0.6165,217.4066,93.2
42,32,1095,570370.4,643731.38,1783.0,110.3,0.6073,207.8796,94.0
42,33,1095,591289.1,675165.4,1697.8,168.9,0.5982,207.0079,95.1
42,34,1095,586213.75,670157.83,1660.4,165.4,0.5892,205.8235,95.0
42,35,1095,584775.1,651975.89,1677.4,100.6,0.5804,205.9715,96.2
42,36,1095,582038.5,663407.23,1732.0,229.0,0.5717,221.7281,94.0
42,37,1095,587278.2,643838.57,1865.1,152.0,0.5631,214.564,94.0
42,38,1095,572450.9,638976.27,1795.2,101.9,0.5546,212.4568,93.7
42,39,1095,570351.06,629606.81,1796.3,156.1,0.5463,213.694,94.2
42,40,1095,619171.5,677573.86,1651.1,237.9,0.5381,212.9303,95.5
42,41,1095,583672.1,631385.32,1822.2,140.9,0.5301,230.5412,94.4
42,42,1095,625883.44,676379.13,1600.3,190.2,0.5221,224.3592,93.6
42,43,1095,592171.5,644228.69,1702.2,98.1,0.5143,221.0936,95.6
42,44,1095,614915.0,663698.08,1767.7,285.5,0.5066,220.5755,93.7
42,45,1095,607795.56,646087.06,1605.4,88.2,0.499,221.4958,93.2
42,46,1095,606163.0,650329.83,1781.9,134.6,0.4915,235.7329,90.8
42,47,1095,616397.94,647349.58,1780.6,127.8,0.4841,229.714,95.2
42,48,1095,592540.3,630426.09,1859.3,124.2,0.4768,227.4946,92.3
42,49,1095,606452.44,647431.51,1799.1,86.5,0.4697,227.817,89.8
42,50,1095,633265.56,643065.77,1645.2,202.9,0.4626,227.4427,89.8
42,51,1095,652123.75,669631.32,1668.3,220.0,0.4557,243.2008,93.0
42,52,1095,622598.56,642982.3,1814.8,80.9,0.4489,236.2497,90.2
42,53,1095,626916.2,641853.17,1741.0,113.7,0.4421,235.0654,91.6
42,54,1095,615410.1,639562.42,1743.7,124.6,0.4355,232.3278,88.8
42,55,1095,635309.56,647354.83,1723.4,144.0,0.429,231.0511,92.3
42,56,1095,649932.9,660465.3,1692.0,245.1,0.4225,246.9236,94.9
42,57,1095,635267.25,634128.68,1801.1,139.7,0.4162,240.0504,94.4
42,58,1095,629751.25,642297.84,1757.6,79.9,0.41,237.7616,93.8
42,59,1095,653616.8,641338.89,1681.1,119.2,0.4038,236.7743,95.6
42,60,1095,644096.5,638803.08,1797.5,154.6,0.3977,235.6603,94.6
42,61,1095,653065.75,648725.8,1743.0,151.6,0.3918,253.6746,96.3
42,62,1095,639504.8,630831.03,1711.2,174.9,0.3859,246.7411,95.9
42,63,1095,640086.8,636640.85,1743.4,76.5,0.3801,244.4251,93.7
42,64,1095,659544.06,634914.54,1708.5,109.4,0.3744,243.4268,95.3
42,65,1095,671156.0,648691.12,1736.9,117.3,0.3688,244.1176,93.5
42,66,1095,667088.5,643073.07,1830.9,84.2,0.3633,261.8406,91.0
42,67,1095,667879.1,643444.72,1713.9,105.4,0.3578,248.5899,91.2
42,68,1095,646862.0,639880.01,1819.4,109.5,0.3525,252.4904,92.5
42,69,1095,666702.94,633074.37,1715.9,133.9,0.3472,248.8036,93.0
42,70,1095,682244.56,650287.76,1776.8,149.8,0.342,246.187,91.1
42,71,1095,656738.7,639654.14,1809.7,137.4,0.3368,261.1565,92.1
42,72,1095,682802.75,634845.57,1736.5,157.1,0.3318,251.9747,90.9
42,73,1095,672434.2,631698.36,1771.7,198.7,0.3268,249.9339,92.0
42,74,1095,722919.06,685410.48,1579.1,266.7,0.3219,247.8919,94.3
42,75,1095,675023.06,644815.93,1796.9,110.1,0.3171,246.9886,90.3
42,76,1095,719623.25,678521.06,1634.2,179.4,0.3123,259.9765,91.0
42,77,1095,679398.56,649710.19,1783.7,117.3,0.3076,251.5638,87.7
42,78,1095,688888.0,635356.91,1801.2,169.3,0.303,248.6321,89.3
42,79,1095,693065.75,639708.54,1892.3,88.9,0.2985,246.9618,89.4
42,80,1095,696660.2,635526.54,1904.5,162.1,0.294,247.1639,89.2
42,81,1095,722716.8,651910.94,1670.3,178.9,0.2896,261.9745,93.3
42,82,1095,708439.8,640560.0,1804.5,115.4,0.2852,256.0595,92.2
42,83,1095,712073.2,650814.63,1743.5,105.4,0.281,251.8107,89.3
42,84,1095,708823.75,638739.13,1670.6,115.2,0.2767,250.4275,89.5
42,85,1095,762054.94,680942.82,1682.3,246.9,0.2726,245.3319,87.3
42,86,1095,745568.5,665870.13,1611.7,207.2,0.2685,266.4399,87.0
42,87,1095,711538.0,643493.12,1679.0,90.2,0.2645,253.8934,92.9
42,88,1095,733285.6,653887.23,1770.4,83.1,0.2605,252.1978,87.3
42,89,1095,747529.44,671919.43,1794.5,251.3,0.2566,253.3672,89.6
42,90,1095,752361.6,671251.68,1686.1,211.4,0.2528,251.2627,92.6
42,91,1095,741419.25,654667.05,1752.7,183.5,0.249,265.1085,84.0
42,92,1095,711328.9,641775.06,1722.3,101.0,0.2452,252.6252,87.2
42,93,1095,726207.44,634273.81,1721.7,119.5,0.2415,249.0289,88.3
42,94,1095,738394.75,652344.08,1642.5,75.7,0.2379,248.8437,87.6
42,95,1095,726184.6,644633.75,1776.5,112.1,0.2344,249.0358,85.8
42,96,1095,735671.94,645959.48,1696.2,129.3,0.2308,266.1857,84.0
42,97,1095,721159.06,638123.47,1799.2,179.1,0.2274,255.2752,85.9
42,98,1095,743488.94,649636.04,1692.9,83.0,0.224,250.97,85.5
42,99,1095,728702.56,643231.51,1664.6,99.8,0.2206,250.9972,83.8
42,100,1095,783483.44,675459.86,1702.2,275.5,0.2173,250.1527,83.6
