seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,0,200,87985.77,119943.43,290.5,10.7,0.985,0.0,96.0
42,1,200,80470.44,119916.93,283.8,21.9,0.9702,0.0,94.5
42,2,200,62465.94,98420.99,388.7,4.4,0.9557,0.0,95.0
42,3,200,83195.74,129717.29,269.8,63.5,0.9413,0.0,96.5
42,4,200,94431.74,136748.79,238.1,164.7,0.9272,399.6173,95.0
42,5,200,70063.46,89722.22,413.0,6.1,0.9133,335.0752,86.5
42,6,200,85494.13,111997.86,324.2,9.3,0.8996,268.3961,85.0
42,7,200,88258.85,126276.3,245.1,24.4,0.8861,226.2089,83.0
42,8,200,86516.33,129181.27,276.4,24.2,0.8728,222.0778,84.0
42,9,200,89146.59,134254.18,239.1,18.9,0.8597,212.0357,80.5
