seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,0,1095,455877.38,638484.91,1799.5,75.2,0.985,431.9467,95.2
42,1,1095,454562.1,634427.95,1909.9,164.1,0.9702,247.9494,92.1
42,2,1095,425259.75,622346.32,1734.3,180.2,0.9557,221.3543,90.5
42,3,1095,452287.88,641121.24,1733.6,139.4,0.9413,215.4427,89.0
42,4,1095,446594.47,640558.46,1846.8,179.8,0.9272,213.3872,88.7
42,5,1095,458652.4,630515.4,1728.1,67.5,0.9133,212.0552,86.8
42,6,1095,463816.4,636296.91,1747.3,68.9,0.8996,214.7421,85.8
42,7,1095,447228.75,623794.67,1773.8,107.5,0.8861,199.8504,83.4
42,8,1095,452706.8,626756.83,1857.1,81.4,0.8728,192.7699,84.2
42,9,1095,447634.75,623464.69,1750.5,83.4,0.8597,190.4139,85.3
42,10,1095,468214.1,624477.47,1656.0,156.2,0.8468,186.6309,84.6
42,11,1095,484021.2,654624.58,1644.5,172.9,0.8341,214.4048,85.8
42,12,1095,470206.28,629492.19,1768.9,86.0,0.8216,196.592,83.7
42,13,1095,460395.8,633623.63,1859.3,89.0,0.8093,193.4973,86.0
42,14,1095,485753.62,627856.56,1808.6,77.0,0.7972,191.2704,86.2
42,15,1095,482634.75,623889.04,1784.9,141.8,0.7852,186.624,86.2
42,16,1095,477484.84,632166.9,1813.6,83.3,0.7734,206.9081,83.1
42,17,1095,472767.47,629355.5,1797.9,71.0,0.7618,195.7703,83.2
42,18,1095,459279.4,626906.77,1795.0,115.6,0.7504,192.4606,84.7
42,19,1095,487142.9,634772.02,1752.6,71.5,0.7391,189.9503,82.9
42,20,1095,504378.8,641243.2,1708.8,70.3,0.728,190.2139,83.0
42,21,1095,484857.8,633172.51,1833.7,67.2,0.7171,204.2071,83.9
42,22,1095,484605.6,627508.48,1722.1,74.8,0.7064,195.0615,84.1
42,23,1095,484989.62,620957.65,1752.8,143.2,0.6958,192.5227,83.7
42,24,1095,471406.44,622971.16,1841.3,138.6,0.6853,189.4685,85.5
42,25,1095,536123.06,667736.54,1686.6,165.1,0.6751,187.6442,85.0
42,26,1095,507655.84,633361.03,1735.7,131.5,0.6649,203.566,86.6
42,27,1095,504036.1,623789.33,1746.5,104.9,0.655,198.7671,85.3
42,28,1095,504852.0,632367.38,1776.5,97.2,0.6451,194.4769,82.5
42,29,1095,495116.12,630377.3,1717.5,102.7,0.6355,195.7191,85.4
42,30,1095,505584.25,625786.3,1768.5,125.1,0.6259,193.6017,84.7
42,31,1095,515786.28,636700.06,1735.3,80.0,0.6165,207.7254,82.6
42,32,1095,521665.56,632640.18,1765.5,57.7,0.6073,200.759,82.6
42,33,1095,552196.75,661930.5,1610.5,200.3,0.5982,199.7428,84.2
42,34,1095,562574.8,660994.15,1688.0,113.1,0.5892,198.4541,83.3
42,35,1095,534736.2,636693.15,1735.7,85.6,0.5804,198.35,83.6
42,36,1095,544707.8,652145.88,1737.7,210.4,0.5717,211.3921,83.3
42,37,1095,534367.3,633639.74,1804.5,79.3,0.5631,205.4964,84.3
42,38,1095,520040.7,629911.74,1845.8,93.6,0.5546,202.8431,83.9
42,39,1095,525492.75,623927.2,1780.7,183.8,0.5463,203.4261,84.6
42,40,1095,575749.4,669897.15,1637.0,213.5,0.5381,202.6185,84.6
42,41,1095,532107.6,619430.19,1729.1,158.6,0.5301,215.4941,84.6
42,42,1095,582217.1,666904.55,1715.2,145.7,0.5221,212.3088,82.5
42,43,1095,538552.5,631315.01,1701.8,93.9,0.5143,208.4684,84.7
42,44,1095,553317.94,651183.16,1838.8,122.1,0.5066,208.5988,79.9
42,45,1095,559510.75,634344.11,1675.5,55.7,0.499,208.1494,81.8
42,46,1095,562320.94,637293.89,1774.4,181.8,0.4915,220.4491,82.3
42,47,1095,564062.0,640504.36,1784.8,113.1,0.4841,213.9404,83.4
42,48,1095,544088.56,623137.55,1809.0,140.6,0.4768,212.6853,82.0
42,49,1095,569936.5,637889.23,1734.1,71.2,0.4697,211.6447,83.3
42,50,1095,570600.8,633831.09,1697.4,152.7,0.4626,210.5474,85.0
42,51,1095,603630.5,657395.01,1722.4,156.1,0.4557,223.1791,82.6
42,52,1095,564964.3,632590.2,1727.6,75.3,0.4489,217.0071,82.9
