seed,episodio,phase,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
123,0,1,1095,507014.25,636382.25,1767.4,67.0,0.985,142.9338,94.0,0.402
123,1,1,1095,507981.9,626815.3,1776.2,102.1,0.9702,81.5139,92.6,0.424
123,2,1,1095,535028.4,656913.74,1701.6,200.2,0.9557,76.6751,90.9,0.446
123,3,1,1095,519004.47,637121.72,1689.3,84.1,0.9413,72.4208,87.3,0.468
123,4,1,1095,506226.47,625162.76,1839.7,145.4,0.9272,69.4006,88.9,0.49
123,5,1,1095,510292.2,628090.9,1771.1,88.1,0.9133,67.3919,87.4,0.511
123,6,1,1095,509530.1,624315.83,1681.6,151.6,0.8996,57.228,87.2,0.533
123,7,1,1095,501425.1,617613.01,1744.1,92.3,0.8861,50.6912,85.8,0.555
123,8,1,1095,506671.9,621945.94,1809.0,114.2,0.8728,48.3006,82.6,0.577
123,9,1,1095,509695.3,625165.41,1746.8,103.5,0.8597,45.9459,84.2,0.599
123,10,1,1095,521637.72,631475.83,1735.8,69.8,0.8468,44.4352,79.8,0.621
123,11,1,1095,507400.97,627660.55,1894.6,97.5,0.8341,46.3412,83.8,0.643
123,12,1,1095,517926.38,632200.75,1803.3,86.3,0.8216,41.8194,83.2,0.665
123,13,1,1095,519542.47,632432.2,1864.9,59.4,0.8093,39.6444,81.4,0.687
123,14,1,1095,512311.9,625575.32,1834.7,206.7,0.7972,37.1564,78.2,0.709
123,15,1,1095,530017.25,641157.91,1780.2,113.8,0.7852,35.0207,78.9,0.73
123,16,1,1095,517002.03,626607.0,1800.8,67.8,0.7734,37.2093,80.8,0.752
123,17,1,1095,547102.6,651312.84,1676.0,149.1,0.7618,34.2284,75.4,0.774
123,18,1,1095,549610.94,653435.57,1757.6,158.8,0.7504,33.6306,72.4,0.796
123,19,1,1095,513957.53,620040.7,1712.5,137.3,0.7391,31.8896,76.3,0.818
123,20,1,1095,515786.75,626948.47,1802.9,152.4,0.728,30.224,76.3,0.84
123,21,1,1095,521638.8,624871.93,1771.7,131.0,0.7171,32.4741,78.8,0.862
123,22,1,1095,528681.4,632499.92,1756.5,69.3,0.7064,29.6642,73.1,0.884
123,23,1,1095,533563.2,631935.47,1720.2,97.5,0.6958,29.6765,81.4,0.906
123,24,1,1095,523909.44,629087.56,1791.3,112.1,0.6853,27.3045,79.6,0.928
123,25,1,1095,530762.4,629742.3,1783.4,83.7,0.6751,27.1707,72.2,0.949
123,26,1,1095,523914.84,625108.15,1739.8,73.2,0.6649,28.522,73.8,0.971
123,27,1,1095,553064.5,654913.05,1731.9,157.2,0.655,26.5929,74.1,0.993
123,28,1,1095,533794.44,636315.85,1774.6,57.2,0.6451,25.7339,79.5,1.0
123,29,1,1095,524809.3,624605.56,1757.8,95.5,0.6355,24.4056,74.4,1.0
123,30,1,1095,546628.06,641024.78,1667.7,89.4,0.6259,24.3405,73.3,1.0
123,31,1,1095,537786.4,631087.79,1749.7,81.2,0.6165,27.6343,75.9,1.0
123,32,1,1095,561009.5,659074.73,1717.8,179.7,0.6073,25.8519,78.3,1.0
123,33,1,1095,537278.1,633770.96,1757.9,75.8,0.5982,25.933,83.7,1.0
123,34,1,1095,564551.44,658833.54,1742.1,220.6,0.5892,26.0353,76.4,1.0
123,35,1,1095,525424.6,622112.14,1813.1,144.2,0.5804,25.9518,81.4,1.0
