seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
2025,0,1095,414177.03,619399.34,1783.1,69.7,0.988,141.0573,94.2,0.401
2025,1,1095,470925.7,657264.88,1745.8,173.4,0.9761,129.1576,91.5,0.418
2025,2,1095,432201.2,619899.69,1802.1,133.0,0.9644,136.4967,93.0,0.434
2025,3,1095,457370.75,654844.45,1683.1,201.9,0.9529,130.7573,89.2,0.451
2025,4,1095,435856.62,632773.35,1808.6,60.2,0.9414,125.0222,88.3,0.467
2025,5,1095,462900.38,628743.25,1767.5,75.2,0.9301,118.9292,87.9,0.484
2025,6,1095,449440.84,631844.54,1840.2,70.4,0.919,110.2967,88.7,0.5
2025,7,1095,486397.12,647750.41,1617.6,208.6,0.9079,100.3314,89.0,0.516
2025,8,1095,448068.7,626654.57,1816.9,159.8,0.897,97.4942,89.8,0.533
2025,9,1095,439626.3,623817.18,1864.5,57.6,0.8863,91.4316,91.2,0.549
2025,10,1095,467298.2,639558.58,1667.4,227.0,0.8756,88.051,90.2,0.566
2025,11,1095,469629.8,633489.57,1714.7,95.7,0.8651,88.059,88.1,0.582
2025,12,1095,455317.53,622622.12,1767.2,122.8,0.8548,82.3602,89.8,0.599
2025,13,1095,474399.56,632825.79,1653.3,94.2,0.8445,79.2674,91.0,0.615
2025,14,1095,474510.72,624894.82,1913.1,156.0,0.8344,76.7783,89.3,0.631
2025,15,1095,469615.8,628050.06,1810.5,70.0,0.8243,73.5407,91.3,0.648
2025,16,1095,474514.0,631756.8,1734.5,101.6,0.8145,75.0355,89.1,0.664
2025,17,1095,476580.0,631981.36,1745.3,149.3,0.8047,70.3123,88.5,0.681
2025,18,1095,505305.2,665047.02,1711.4,172.6,0.795,68.524,89.6,0.697
2025,19,1095,515660.84,657430.81,1640.9,210.1,0.7855,64.6242,87.1,0.714
2025,20,1095,478926.2,624764.95,1835.6,133.6,0.7761,62.7628,87.7,0.73
2025,21,1095,487365.8,632178.76,1691.2,78.6,0.7667,65.0191,88.4,0.746
2025,22,1095,521360.25,629723.97,1849.2,79.8,0.7575,59.5638,86.2,0.763
2025,23,1095,493097.53,634952.03,1878.2,98.2,0.7485,59.5299,88.3,0.779
2025,24,1095,507628.16,634149.69,1695.5,85.8,0.7395,57.496,87.8,0.796
2025,25,1095,483281.3,626242.27,1695.2,87.5,0.7306,54.748,88.9,0.812
2025,26,1095,508921.53,634709.58,1800.3,67.0,0.7218,56.5435,85.5,0.828
2025,27,1095,501845.8,623409.57,1815.4,93.6,0.7132,54.8663,88.9,0.845
2025,28,1095,548842.7,658711.64,1671.2,159.2,0.7046,52.4014,86.7,0.861
2025,29,1095,504263.0,622805.09,1848.6,133.4,0.6962,48.9598,89.0,0.878
2025,30,1095,515461.7,631630.15,1822.8,78.5,0.6878,48.2347,87.4,0.894
2025,31,1095,493350.1,620060.51,1865.7,211.8,0.6796,49.2212,86.9,0.911
2025,32,1095,523780.2,637113.95,1753.9,59.2,0.6714,46.5601,89.2,0.927
2025,33,1095,500998.03,628046.03,1777.0,75.4,0.6633,45.0011,89.0,0.943
2025,34,1095,519951.84,629618.52,1754.5,116.7,0.6554,44.0179,85.5,0.96
2025,35,1095,521357.9,632335.55,1825.7,97.1,0.6475,42.788,86.4,0.976
2025,36,1095,526267.3,629190.08,1725.8,85.2,0.6397,42.0147,86.1,0.993
2025,37,1095,526244.75,634277.42,1803.3,164.5,0.6321,41.3382,89.8,1.0
2025,38,1095,544974.3,636883.33,1749.0,71.8,0.6245,41.0087,88.0,1.0
2025,39,1095,510444.16,621972.8,1775.8,92.4,0.617,40.8616,86.8,1.0
2025,40,1095,518014.16,635665.84,1666.9,86.2,0.6096,40.8659,86.6,1.0
2025,41,1095,523628.4,623219.25,1809.2,102.9,0.6023,42.1757,87.4,1.0
2025,42,1095,544622.56,652644.93,1610.5,107.0,0.595,41.6589,82.2,1.0
2025,43,1095,535127.75,631823.78,1837.5,68.4,0.5879,42.4313,86.4,1.0
2025,44,1095,550413.94,655068.77,1653.5,122.9,0.5808,40.8589,85.8,1.0
2025,45,1095,518855.38,621831.85,1761.8,95.9,0.5739,40.9933,83.9,1.0
2025,46,1095,529890.5,633731.99,1779.8,93.4,0.567,41.4782,85.0,1.0
2025,47,1095,525086.3,620484.08,1862.4,64.0,0.5602,41.5934,86.8,1.0
2025,48,1095,554590.0,620248.2,1771.9,179.5,0.5535,41.6212,87.4,1.0
2025,49,1095,548116.44,619785.43,1763.1,120.8,0.5468,41.2831,87.4,1.0
2025,50,1095,581348.1,667144.57,1751.7,190.4,0.5403,40.8365,86.3,1.0
2025,51,1095,547458.8,634338.47,1737.0,74.1,0.5338,44.3334,84.7,1.0
2025,52,1095,544883.06,633219.23,1808.0,68.3,0.5274,43.1571,83.5,1.0
2025,53,1095,553493.1,635784.22,1808.1,58.5,0.521,43.4032,86.0,1.0
2025,54,1095,546362.1,626265.12,1798.3,77.1,0.5148,42.4521,83.4,1.0
2025,55,1095,574823.75,656424.27,1675.9,160.6,0.5086,42.5037,85.1,1.0
2025,56,1095,585839.06,657128.34,1664.0,160.7,0.5025,43.4877,88.2,1.0
2025,57,1095,548263.0,626231.92,1814.4,100.3,0.4965,42.8441,88.0,1.0
2025,58,1095,563634.5,622197.4,1792.9,137.6,0.4905,42.815,88.8,1.0
2025,59,1095,544918.44,631323.97,1772.2,99.9,0.4846,42.1061,85.8,1.0
2025,60,1095,563366.8,618862.82,1850.0,159.3,0.4788,43.405,85.7,1.0
2025,61,1095,579452.4,629222.04,1766.5,105.2,0.4731,43.8973,87.9,1.0
2025,62,1095,560941.2,622569.1,1715.3,207.9,0.4674,44.8339,85.0,1.0
2025,63,1095,587896.06,646636.69,1740.4,239.6,0.4618,43.7081,86.9,1.0
2025,64,1095,594045.7,657443.66,1680.1,125.0,0.4562,43.5526,87.2,1.0
2025,65,1095,584756.5,634958.46,1761.7,99.9,0.4508,42.2149,86.3,1.0
2025,66,1095,575297.6,636185.94,1732.1,112.2,0.4454,44.5888,86.1,1.0
2025,67,1095,586519.44,629563.58,1795.4,89.9,0.44,43.5828,87.1,1.0
2025,68,1095,598706.0,624873.96,1842.3,124.1,0.4347,42.5658,89.5,1.0
2025,69,1095,592869.3,636728.54,1803.2,77.6,0.4295,41.9119,89.6,1.0
2025,70,1095,626632.4,668316.48,1607.0,167.9,0.4244,43.847,88.9,1.0
2025,71,1095,582529.44,626713.12,1747.5,64.7,0.4193,45.8473,90.3,1.0
2025,72,1095,588695.06,637111.52,1751.5,77.6,0.4142,44.0627,91.1,1.0
2025,73,1095,574050.0,630696.51,1729.5,100.4,0.4093,44.9561,90.6,1.0
2025,74,1095,584618.44,627576.9,1730.7,72.4,0.4044,43.6778,91.1,1.0
2025,75,1095,594198.8,630381.98,1757.5,95.2,0.3995,42.1813,86.5,1.0
2025,76,1095,578250.4,634669.67,1784.9,74.0,0.3947,46.7526,88.9,1.0
2025,77,1095,627021.1,661254.23,1682.9,158.2,0.39,44.7337,90.1,1.0
2025,78,1095,596077.5,637525.13,1882.8,106.7,0.3853,45.2228,91.4,1.0
2025,79,1095,601774.7,622392.66,1777.7,122.9,0.3807,44.6911,90.9,1.0
2025,80,1095,594510.3,619170.72,1720.5,142.7,0.3761,45.4499,90.3,1.0
2025,81,1095,605603.25,632825.96,1788.7,89.4,0.3716,45.7005,93.4,1.0
2025,82,1095,596919.06,624155.82,1786.5,117.1,0.3671,45.419,93.3,1.0
2025,83,1095,620963.4,623752.04,1752.1,159.2,0.3627,45.2136,89.4,1.0
2025,84,1095,622764.0,621096.76,1816.3,130.5,0.3584,45.0425,93.3,1.0
2025,85,1095,627666.2,623278.68,1780.4,117.5,0.3541,44.5815,91.0,1.0
2025,86,1095,648620.06,638757.55,1657.5,173.4,0.3498,45.4014,91.3,1.0
2025,87,1095,657490.9,666791.41,1568.8,217.4,0.3456,45.287,92.8,1.0
2025,88,1095,609538.44,632873.63,1666.4,68.0,0.3415,45.4917,91.5,1.0
2025,89,1095,607903.2,634000.83,1761.9,70.8,0.3374,45.5603,91.1,1.0
2025,90,1095,648694.06,639564.84,1793.9,141.3,0.3333,45.2453,92.0,1.0
2025,91,1095,623678.75,630211.95,1719.0,109.3,0.3293,47.9545,91.4,1.0
2025,92,1095,648866.06,632013.52,1666.8,80.2,0.3254,45.8092,94.6,1.0
2025,93,1095,621121.25,622889.33,1804.8,188.7,0.3215,46.5698,90.6,1.0
2025,94,1095,644281.6,623069.7,1785.5,154.4,0.3176,45.1026,92.1,1.0
2025,95,1095,685314.5,658132.69,1651.2,191.5,0.3138,43.8446,92.5,1.0
2025,96,1095,661496.8,628739.07,1698.8,100.2,0.31,48.6545,92.6,1.0
2025,97,1095,667517.94,642729.57,1757.6,146.0,0.3063,46.68,94.2,1.0
2025,98,1095,664691.94,625866.33,1717.1,164.7,0.3026,45.5136,92.5,1.0
2025,99,1095,669349.7,638582.8,1758.3,105.1,0.299,45.3856,91.4,1.0
2025,100,1095,673195.06,640364.87,1654.3,130.5,0.2954,46.5363,93.4,1.0
2025,101,1095,655938.06,631565.08,1823.2,101.2,0.2919,48.0416,91.0,1.0
2025,102,1095,667051.1,624345.95,1741.5,112.7,0.2884,46.542,91.9,1.0
2025,103,1095,709664.9,652985.81,1779.5,228.7,0.2849,46.7167,91.1,1.0
2025,104,1095,655815.7,627226.07,1820.3,69.1,0.2815,45.8757,91.7,1.0
2025,105,1095,698982.2,651395.91,1594.9,172.0,0.2781,45.1751,92.1,1.0
2025,106,1095,711952.8,659416.71,1714.9,229.3,0.2748,48.2634,91.0,1.0
2025,107,1095,704159.4,644600.82,1708.2,209.3,0.2715,47.4067,92.0,1.0
2025,108,1095,686874.56,636499.48,1710.7,68.2,0.2682,45.9533,92.0,1.0
2025,109,1095,713207.8,652548.34,1637.3,171.9,0.265,45.6831,90.2,1.0
2025,110,1095,676112.2,624616.38,1767.3,209.9,0.2618,46.18,91.1,1.0
2025,111,1095,692880.9,634750.23,1756.7,80.4,0.2587,45.2236,92.4,1.0
2025,112,1095,696755.44,640053.29,1695.4,67.2,0.2556,45.5629,92.5,1.0
2025,113,1095,692700.4,626170.45,1725.0,125.9,0.2525,45.278,93.2,1.0
2025,114,1095,690445.4,634505.71,1800.2,73.9,0.2495,44.4996,92.0,1.0
2025,115,1095,733209.8,667582.09,1688.9,139.7,0.2465,45.0829,92.4,1.0
2025,116,1095,679279.6,626416.2,1760.6,98.6,0.2435,46.7302,90.8,1.0
2025,117,1095,712629.6,644832.17,1789.4,166.1,0.2406,45.9615,93.9,1.0
2025,118,1095,746527.8,672650.32,1539.2,186.9,0.2377,46.5308,93.0,1.0
2025,119,1095,735900.0,657230.44,1651.0,221.3,0.2349,45.3626,93.0,1.0
2025,120,1095,706498.8,623077.09,1779.4,159.4,0.2321,46.4196,91.2,1.0
2025,121,1095,707076.6,643415.09,1755.5,83.4,0.2293,48.8873,94.6,1.0
2025,122,1095,701249.8,641771.14,1650.4,88.8,0.2265,46.2998,92.8,1.0
2025,123,1095,728674.75,660877.25,1717.3,200.4,0.2238,46.8315,92.1,1.0
2025,124,1095,735196.94,661308.55,1606.3,177.4,0.2211,46.4407,93.8,1.0
2025,125,1095,705775.75,637396.94,1769.7,108.1,0.2185,46.3434,92.1,1.0
2025,126,1095,677877.6,626491.14,1741.8,104.7,0.2158,48.4406,93.8,1.0
2025,127,1095,734563.94,657924.24,1642.1,184.4,0.2132,46.7086,92.5,1.0
2025,128,1095,708813.44,625900.16,1716.2,159.2,0.2107,46.6133,93.7,1.0
2025,129,1095,706459.7,626370.52,1802.7,122.1,0.2082,45.0553,95.1,1.0
2025,130,1095,714172.06,639422.56,1764.6,82.9,0.2057,45.544,93.8,1.0
2025,131,1095,712046.94,626597.3,1812.8,208.6,0.2032,46.8699,93.6,1.0
2025,132,1095,724079.7,619269.33,1818.9,153.2,0.2008,46.2271,90.9,1.0
2025,133,1095,728179.44,652642.79,1675.0,189.3,0.1983,45.186,92.5,1.0
2025,134,1095,725644.2,633413.33,1729.4,71.9,0.196,45.2121,94.4,1.0
2025,135,1095,711208.56,628742.79,1786.1,94.8,0.1936,45.5084,95.8,1.0
2025,136,1095,712113.4,632606.76,1693.9,102.7,0.1913,45.9551,92.0,1.0
2025,137,1095,711224.94,621528.5,1686.4,156.3,0.189,47.2815,94.1,1.0
2025,138,1095,705981.7,622274.5,1765.7,201.6,0.1867,45.624,94.6,1.0
2025,139,1095,713687.7,634515.49,1748.3,97.5,0.1845,45.9723,95.5,1.0
2025,140,1095,746482.2,638596.83,1590.6,159.4,0.1823,45.8592,93.1,1.0
2025,141,1095,724238.9,633446.25,1754.0,109.5,0.1801,47.0975,94.2,1.0
2025,142,1095,748669.8,650406.63,1723.8,192.5,0.1779,45.357,94.0,1.0
2025,143,1095,723091.06,625360.41,1821.7,120.6,0.1758,46.2295,93.3,1.0
2025,144,1095,717496.75,623576.56,1790.9,149.5,0.1737,46.6799,94.8,1.0
2025,145,1095,735006.3,638664.7,1740.7,97.0,0.1716,45.2732,94.1,1.0
2025,146,1095,724302.2,629874.7,1784.8,108.8,0.1695,47.9707,94.2,1.0
2025,147,1095,731203.1,625890.45,1822.4,171.6,0.1675,45.7513,94.4,1.0
2025,148,1095,718964.75,624721.11,1697.5,181.5,0.1655,44.3876,95.7,1.0
2025,149,1095,763482.56,656997.3,1733.9,159.7,0.1635,46.2826,93.4,1.0
2025,150,1095,734860.5,632339.02,1700.4,149.4,0.1615,45.2465,96.1,1.0
2025,151,1095,734564.5,633728.25,1551.4,182.7,0.1596,47.2981,92.9,1.0
2025,152,1095,733450.4,624016.23,1761.0,177.7,0.1577,46.7678,94.0,1.0
2025,153,1095,725248.75,629692.87,1782.9,161.3,0.1558,44.5947,95.7,1.0
2025,154,1095,724196.94,627525.49,1806.7,165.1,0.1539,47.5447,96.0,1.0
2025,155,1095,718560.9,624267.52,1751.1,165.1,0.1521,45.62,93.7,1.0
2025,156,1095,727451.4,626554.54,1872.7,96.3,0.1503,47.4942,92.7,1.0
2025,157,1095,723287.6,629883.98,1777.8,78.2,0.1485,45.2659,94.0,1.0
2025,158,1095,754892.25,631595.29,1637.6,76.0,0.1467,45.8321,92.7,1.0
2025,159,1095,758402.3,637540.41,1751.8,160.7,0.1449,45.2261,94.9,1.0
2025,160,1095,735723.6,629345.48,1794.2,202.1,0.1432,45.9336,93.4,1.0
2025,161,1095,758076.2,652101.72,1776.8,279.0,0.1415,46.6337,97.4,1.0
2025,162,1095,731512.75,625997.27,1630.7,201.5,0.1398,45.7981,94.2,1.0
2025,163,1095,740752.2,629874.39,1758.6,96.9,0.1381,45.4637,95.5,1.0
2025,164,1095,741292.2,623801.91,1720.6,185.5,0.1364,46.5757,96.3,1.0
2025,165,1095,780450.4,666381.08,1623.0,213.4,0.1348,46.7354,95.4,1.0
2025,166,1095,754290.75,626314.7,1621.6,129.7,0.1332,47.6737,95.8,1.0
2025,167,1095,735557.6,623416.34,1724.7,141.8,0.1316,48.8354,96.4,1.0
2025,168,1095,728386.0,652563.42,1725.9,115.8,0.13,47.9784,96.9,1.0
2025,169,1095,731847.06,627807.53,1773.9,150.0,0.1284,47.9805,95.6,1.0
2025,170,1095,733641.75,641039.31,1835.8,84.5,0.1269,47.8053,95.4,1.0
2025,171,1095,767507.6,661895.33,1729.6,248.9,0.1254,48.7693,96.3,1.0
2025,172,1095,784408.0,667812.01,1643.5,243.3,0.1239,48.2815,93.8,1.0
2025,173,1095,766619.94,651857.04,1685.4,152.3,0.1224,47.7192,94.1,1.0
2025,174,1095,772167.1,648251.81,1748.3,180.9,0.1209,47.0031,94.3,1.0
2025,175,1095,743980.56,641209.24,1730.4,70.2,0.1195,48.0312,95.4,1.0
2025,176,1095,751531.4,634149.59,1707.7,77.1,0.118,48.759,97.1,1.0
2025,177,1095,751675.94,636978.21,1728.8,91.8,0.1166,46.6358,97.1,1.0
2025,178,1095,757936.56,637567.08,1836.2,140.3,0.1152,47.0074,96.8,1.0
2025,179,1095,760832.9,631839.65,1689.1,84.3,0.1138,47.4038,96.4,1.0
2025,180,1095,785209.44,660701.27,1660.4,167.9,0.1125,47.0549,95.5,1.0
2025,181,1095,782837.2,658237.65,1669.4,183.3,0.1111,48.6635,94.0,1.0
2025,182,1095,745523.25,629760.41,1757.7,71.1,0.1098,46.6645,94.1,1.0
2025,183,1095,739159.8,626188.11,1810.0,97.7,0.1085,47.6424,98.1,1.0
2025,184,1095,749885.75,621278.72,1789.0,179.3,0.1072,46.8527,96.9,1.0
2025,185,1095,764812.4,629757.64,1732.9,187.6,0.1059,46.6674,96.3,1.0
2025,186,1095,740738.5,631830.41,1790.0,94.6,0.1046,50.2845,94.2,1.0
2025,187,1095,757470.6,636504.37,1758.5,52.7,0.1033,48.5494,96.0,1.0
2025,188,1095,745270.4,630403.6,1692.1,102.5,0.1021,47.451,96.3,1.0
2025,189,1095,752705.44,641234.29,1790.8,75.5,0.1009,48.3973,97.2,1.0
2025,190,1095,765702.4,639695.55,1721.0,85.2,0.0997,47.0644,96.3,1.0
2025,191,1095,759281.2,634328.48,1706.9,82.0,0.0985,49.4941,97.3,1.0
2025,192,1095,741958.2,628904.1,1741.1,122.2,0.0973,47.8058,96.2,1.0
2025,193,1095,746693.25,637267.74,1760.2,90.4,0.0961,47.045,97.8,1.0
2025,194,1095,768584.75,634826.85,1746.8,86.1,0.095,46.5261,95.8,1.0
2025,195,1095,772729.25,640927.51,1745.3,80.2,0.0938,46.9183,95.4,1.0
2025,196,1095,762313.1,634213.71,1799.6,85.2,0.0927,49.2903,96.1,1.0
2025,197,1095,766515.7,630405.28,1683.4,111.9,0.0916,49.0841,96.9,1.0
2025,198,1095,755484.94,627150.56,1664.1,90.2,0.0905,47.8964,97.0,1.0
2025,199,1095,767535.1,635619.59,1880.4,102.0,0.0894,48.1436,96.5,1.0
