tipo,campanha,categoria_principal,par_combo,preco_combo,desconto_efetivo_pct,data_inicio,data_fim,dias_semana_validos,observacao
estrutural,Esquenta de Sexta,cerveja,snack,14.9,10,2026-05-13,2027-05-12,ver_padrao,"CERVEJA + AMENDOIM • R$ 14,90 • Sex-Sáb"
estrutural,Café da Manhã,cafe,padaria,9.9,10,2026-05-13,2027-05-12,ver_padrao,"CAFÉ + PÃO • R$ 9,90 • Manhãs Seg-Sex"
estrutural,Verão Gelado,gelo,refrigerante,12.9,10,2026-05-13,2027-05-12,ver_padrao,"GELO + REFRI • R$ 12,90 • Fins de semana"
estrutural,Drink de Sábado,destilados,gelo,39.9,10,2026-05-13,2027-05-12,ver_padrao,"DRINK COMPLETO: WHISKY/CACHAÇA + GELO • R$ 39,90"
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-05-16,2026-05-17,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-05-23,2026-05-24,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-06-06,2026-06-07,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-06-13,2026-06-14,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-08-01,2026-08-02,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-08-08,2026-08-09,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + CERVEJA • R$ 17.90,gelo,cerveja,17.9,10,2026-09-05,2026-09-06,todos,COMBO GELO + CERVEJA • R$ 17.90
eventual,COMBO GELO + CERVEJA • R$ 17.90,gelo,cerveja,17.9,10,2026-09-12,2026-09-13,todos,COMBO GELO + CERVEJA • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-10-10,2026-10-11,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-10-17,2026-10-18,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + CERVEJA • R$ 17.90,gelo,cerveja,17.9,10,2026-11-07,2026-11-08,todos,COMBO GELO + CERVEJA • R$ 17.90
eventual,COMBO GELO + CERVEJA • R$ 17.90,gelo,cerveja,17.9,10,2026-11-14,2026-11-15,todos,COMBO GELO + CERVEJA • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-12-05,2026-12-06,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2026-12-25,2026-12-31,todos,COMBO GELO + DESTILADOS • R$ 17.90
eventual,COMBO GELO + DESTILADOS • R$ 17.90,gelo,destilados,17.9,10,2027-01-02,2027-01-03,todos,COMBO GELO + DESTILADOS • R$ 17.90
