episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,2,3046.6100000000006,0.0,0.997,3046.6100000000006,0.8,0.2,0,6,6,4,3,5,6
1,2,1285.1499999999999,0.0,0.994009,2165.88,0.8666666666666667,0.1,0,4,9,3,4,7,3
2,2,9291.600000000002,703.8645494249132,0.991026973,4541.120000000001,0.9333333333333333,0.2,0,2,5,7,5,5,6
3,2,4541.960000000001,803.863525390625,0.988053892081,4541.330000000001,0.8,0.1,0,6,3,6,6,6,3
4,2,-1298.0100000000004,757.8748697916667,0.985089730404757,3373.4620000000004,0.8333333333333334,0.06666666666666667,0,5,7,7,4,5,2
5,2,2936.05,690.9643310546875,0.9821344612135428,3300.56,0.8333333333333334,0.3,0,5,2,6,4,4,9
6,2,3459.4799999999996,710.6487284342448,0.9791880578299021,3323.2628571428572,0.7333333333333333,0.26666666666666666,0,8,6,2,4,2,8
7,2,763.0500000000002,632.113203938802,0.9762504936564125,3003.2362500000004,0.8666666666666667,0.06666666666666667,0,4,6,8,5,5,2
8,2,8355.54,643.7286753336589,0.9733217421754432,3597.936666666667,0.9666666666666667,0.2,0,1,6,4,6,7,6
9,2,4688.8099999999995,721.7019470214843,0.9704017769489168,3707.0240000000003,0.9,0.2,0,3,6,2,7,6,6
10,2,4023.5499999999997,643.1743876139323,0.9674905716180701,3735.799090909092,0.8,0.2,0,6,7,4,3,4,6
11,2,4340.18,634.753130086263,0.9645880999032158,3786.1641666666674,0.8333333333333334,0.23333333333333334,0,5,5,3,4,6,7
12,2,3392.38,643.8584391276041,0.9616943356035061,3755.8730769230774,1.0,0.23333333333333334,0,0,6,7,5,5,7
13,2,1399.1799999999996,704.6643188476562,0.9588092525966956,3587.537857142858,0.8333333333333334,0.16666666666666666,0,5,4,4,8,4,5
14,2,6529.65,640.6498463948568,0.9559328248389055,3783.678666666667,0.6666666666666666,0.26666666666666666,0,10,5,3,3,1,8
15,2,1243.33,609.6090555826823,0.9530650263643888,3624.9068749999997,0.7666666666666667,0.06666666666666667,0,7,2,9,6,4,2
16,2,4813.080000000001,606.8243743896485,0.9502058312852957,3694.799411764706,0.8,0.13333333333333333,0,6,9,4,3,4,4
17,2,2739.25,632.6858367919922,0.9473552137914398,3641.713333333333,0.8666666666666667,0.13333333333333333,0,4,5,4,6,7,4
18,2,2422.7299999999996,722.9975850423177,0.9445131481500655,3577.5563157894735,0.8333333333333334,0.3333333333333333,0,5,3,2,5,5,10
19,2,3553.0499999999997,1037.4955891927084,0.9416796087056153,3576.3309999999997,0.8333333333333334,0.16666666666666666,0,5,8,5,3,4,5
20,2,679.5499999999998,808.8916625976562,0.9388545698794984,3438.3890476190477,0.7666666666666667,0.16666666666666666,0,7,4,3,3,8,5
21,2,374.10000000000025,748.0370015462239,0.93603800616986,3299.103181818182,0.7333333333333333,0.2,0,8,5,3,6,2,6
22,2,128.4399999999996,670.4797770182291,0.9332298921513504,3161.2482608695655,0.7666666666666667,0.2,0,7,5,4,4,4,6
23,2,2645.0,692.445878092448,0.9304302024748964,3139.737916666667,0.8333333333333334,0.16666666666666666,1,5,6,3,7,4,5
