episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,2,-749.3499999999999,0.0,0.995,-749.3499999999999,0.8666666666666667,0.16666666666666666,0,4,4,3,6,8,5
1,2,-1638.6,0.0,0.990025,-1193.975,0.8666666666666667,0.2,0,4,4,4,8,4,6
2,2,842.7799999999996,318.84305148654516,0.985074875,-515.0566666666667,0.8333333333333334,0.16666666666666666,0,5,3,7,4,6,5
3,2,-758.96,311.19748840332034,0.9801495006250001,-576.0325,0.7,0.23333333333333334,1,9,6,3,1,4,7
4,2,-2899.3100000000004,283.7866678873698,0.9752487531218751,-1040.688,0.8666666666666667,0.06666666666666667,0,4,4,8,8,4,2
5,2,-1120.6600000000005,244.80810139973957,0.9703725093562657,-1054.0166666666669,0.8,0.13333333333333333,0,6,3,5,9,3,4
6,2,-320.30999999999995,238.49747721354166,0.9655206468094844,-949.2014285714288,0.7666666666666667,0.1,0,7,3,4,8,5,3
7,2,-1762.7600000000002,216.81696370442708,0.960693043575437,-1050.8962500000002,0.9,0.23333333333333334,1,3,3,7,6,4,7
8,2,3222.3599999999997,211.38038686116536,0.9558895783575597,-576.0900000000003,0.8,0.1,0,6,3,1,9,8,3
9,2,-493.5400000000002,230.53341929117838,0.9511101304657719,-567.8350000000003,0.7666666666666667,0.16666666666666666,0,7,3,7,5,3,5
10,2,-1314.1599999999996,240.962543741862,0.946354579813443,-635.6827272727274,0.9,0.16666666666666666,0,3,9,4,3,6,5
11,2,-2259.65,252.59150187174478,0.9416228069143757,-771.0133333333334,0.7333333333333333,0.13333333333333333,0,8,6,3,6,3,4
12,2,-433.3100000000002,232.48316090901693,0.9369146928798039,-745.036153846154,0.8333333333333334,0.2,1,5,5,5,3,6,6
13,2,-957.4300000000001,231.76591796875,0.9322301194154049,-760.2071428571429,0.6666666666666666,0.1,0,10,2,5,6,4,3
14,2,355.68000000000006,223.6298100789388,0.9275689688183278,-685.8146666666668,0.9,0.26666666666666666,1,3,5,3,4,7,8
15,2,-1908.32,219.90454813639323,0.9229311239742362,-762.2212500000002,0.8333333333333334,0.13333333333333333,0,5,6,7,4,4,4
16,2,-296.0099999999999,213.48177795410157,0.918316468354365,-734.7970588235296,0.7333333333333333,0.1,0,8,4,5,2,8,3
17,2,-99.26999999999991,217.1041295369466,0.9137248860125932,-699.4900000000002,0.8666666666666667,0.3,0,4,5,4,5,3,9
18,2,-1687.4200000000005,221.92839457194012,0.9091562615825302,-751.4863157894739,0.7,0.16666666666666666,0,9,1,9,5,1,5
19,2,234.3099999999998,243.82095235188802,0.9046104802746175,-702.1965000000002,0.8333333333333334,0.26666666666666666,1,5,7,3,5,2,8
20,2,-2527.4600000000005,221.90647735595704,0.9000874278732445,-789.1138095238097,0.7333333333333333,0.1,0,8,7,6,3,3,3
21,2,-139.23,224.00335795084635,0.8955869907338783,-759.5736363636365,0.7333333333333333,0.23333333333333334,0,8,1,4,6,4,7
22,2,-421.7499999999999,228.39327545166014,0.8911090557802088,-744.8856521739132,0.8333333333333334,0.26666666666666666,0,5,4,5,5,3,8
23,2,-562.27,217.42023569742838,0.8866535105013078,-737.2766666666668,0.8,0.2,0,6,6,2,5,5,6
24,2,-1813.8299999999997,233.13475850423177,0.8822202429488013,-780.3388,0.8333333333333334,0.1,0,5,5,9,5,3,3
25,2,-850.79,227.00841166178387,0.8778091417340573,-783.0484615384617,0.8,0.36666666666666664,0,6,4,3,4,2,11
26,2,-290.09999999999974,219.6791035970052,0.8734200960253871,-764.7911111111111,0.8333333333333334,0.23333333333333334,0,5,2,5,4,7,7
27,2,-1119.13,227.13683268229167,0.8690529955452602,-777.4460714285715,0.8,0.2,1,6,7,4,2,5,6
28,2,-1442.6000000000004,228.698562113444,0.8647077305675338,-800.3824137931035,0.8,0.13333333333333333,0,6,7,5,5,3,4
29,2,-1119.75,226.06063181559244,0.8603841919146962,-811.0280000000001,0.5666666666666667,0.16666666666666666,0,13,5,0,5,2,5
30,2,44.50999999999997,223.71849568684897,0.8560822709551227,-784.5660000000003,0.8,0.26666666666666666,0,6,3,3,6,4,8
31,2,-1256.58,225.38321177164713,0.851801859600347,-771.8320000000002,0.8666666666666667,0.26666666666666666,0,4,5,6,6,1,8
32,2,-857.72,223.79633280436198,0.8475428503023453,-828.5153333333335,0.8666666666666667,0.26666666666666666,0,4,4,4,2,8,8
33,2,706.5000000000001,222.43473307291666,0.8433051360508336,-779.6666666666666,0.7666666666666667,0.23333333333333334,0,7,2,3,6,5,7
34,2,-1001.5700000000003,221.3747080485026,0.8390886103705794,-716.4086666666667,0.8,0.3,0,6,4,3,6,2,9
35,2,1858.03,257.4572296142578,0.8348931673187264,-617.1190000000003,0.7666666666666667,0.4,0,7,3,4,0,4,12
36,2,-21.309999999999718,271.3356506347656,0.8307187014821328,-607.1523333333334,0.9333333333333333,0.43333333333333335,1,2,2,5,6,2,13
37,2,2881.6000000000004,260.9622614542643,0.8265651079747222,-452.3403333333334,0.9333333333333333,0.36666666666666664,0,2,3,2,7,5,11
38,2,-601.6199999999997,265.1405624389648,0.8224322824348486,-579.8063333333333,0.8666666666666667,0.16666666666666666,0,4,4,5,7,5,5
39,2,-1516.6100000000006,260.8618448893229,0.8183201210226743,-613.9086666666667,0.8,0.13333333333333333,0,6,6,5,4,5,4
40,2,418.61,259.1263707478841,0.8142285204175609,-556.1496666666668,0.8,0.26666666666666666,0,6,4,2,6,4,8
41,2,-1018.9900000000002,242.69011433919272,0.810157377815473,-514.7943333333333,0.8,0.3333333333333333,1,6,3,5,5,1,10
42,2,-290.73000000000013,262.8434794108073,0.8061065909263957,-510.04166666666663,0.8,0.16666666666666666,1,6,3,5,5,6,5
43,2,214.08000000000007,258.33695322672526,0.8020760579717637,-470.9913333333333,0.8666666666666667,0.4,0,4,3,6,5,0,12
44,2,-384.24999999999994,257.18784586588544,0.798065677681905,-495.6556666666667,0.7,0.16666666666666666,0,9,1,5,4,6,5
45,2,3308.7299999999996,242.8153844197591,0.7940753492934954,-321.75399999999996,0.7,0.3333333333333333,0,9,4,2,2,3,10
46,2,-969.16,260.85242716471356,0.7901049725470279,-344.19233333333335,0.8333333333333334,0.3333333333333333,0,5,3,4,7,1,10
47,2,-1051.5000000000005,250.38626251220703,0.7861544476842928,-375.93333333333334,0.8,0.23333333333333334,0,6,4,7,1,5,7
48,2,-1483.4499999999998,242.9116465250651,0.7822236754458713,-369.1343333333333,0.8,0.16666666666666666,0,6,1,2,9,7,5
49,2,-68.69999999999993,255.76986287434895,0.778312557068642,-379.23466666666667,0.7666666666666667,0.3333333333333333,0,7,3,4,4,2,10
50,2,734.23,253.31360778808593,0.7744209942832988,-270.5116666666667,0.6666666666666666,0.16666666666666666,0,10,2,7,3,3,5
51,2,-971.3899999999999,253.80674641927084,0.7705488893118823,-298.2503333333333,0.9,0.13333333333333333,0,3,5,6,8,4,4
52,2,-598.7699999999999,308.36929372151695,0.7666961448653229,-304.15100000000007,0.8666666666666667,0.23333333333333334,0,4,3,6,5,5,7
53,2,-226.25000000000006,302.91243133544924,0.7628626641409962,-292.95033333333333,0.8666666666666667,0.3333333333333333,0,4,4,5,5,2,10
54,2,-489.75000000000006,308.3701904296875,0.7590483508202912,-248.8143333333333,0.8666666666666667,0.3,0,4,4,4,4,5,9
55,2,11.060000000000036,297.8451146443685,0.7552531090661897,-220.08599999999998,0.7,0.23333333333333334,0,9,2,5,4,3,7
56,2,467.73000000000036,296.361105855306,0.7514768435208588,-194.82499999999996,0.8333333333333334,0.4,0,5,4,4,3,2,12
57,2,669.2099999999999,292.03950653076174,0.7477194593032545,-135.21366666666665,0.6333333333333333,0.3,0,11,2,5,1,2,9
58,2,-414.8799999999999,287.2608357747396,0.7439808620067382,-100.95633333333332,0.6333333333333333,0.16666666666666666,0,11,3,3,4,4,5
59,2,44.279999999999944,287.37696584065753,0.7402609576967045,-62.15533333333336,0.8666666666666667,0.43333333333333335,0,4,1,3,4,5,13
60,2,1912.0900000000001,305.7563191731771,0.736559652908221,0.09733333333335091,0.9,0.36666666666666664,0,3,3,5,2,6,11
61,2,339.4100000000002,296.4989995320638,0.7328768546436799,53.297,0.9666666666666667,0.36666666666666664,1,1,4,5,6,3,11
62,2,2047.02,292.73074798583986,0.7292124703704616,150.1216666666667,0.9333333333333333,0.36666666666666664,0,2,6,7,2,2,11
63,2,-295.07000000000016,295.8676081339518,0.7255664080186093,116.736,0.9666666666666667,0.5,2,1,4,2,5,3,15
64,2,-160.58999999999963,292.6977747599284,0.7219385759785162,144.76866666666675,0.9333333333333333,0.3,0,2,8,3,2,6,9
65,2,-337.05999999999983,298.09373677571614,0.7183288830986236,71.599,0.9,0.3,0,3,3,6,3,6,9
66,2,271.9900000000001,289.6491343180339,0.7147372386831305,81.3756666666667,0.8666666666666667,0.3333333333333333,0,4,4,3,3,6,10
67,2,1702.6600000000003,282.31894938151044,0.7111635524897149,42.077666666666694,0.8666666666666667,0.23333333333333334,0,4,6,5,4,4,7
68,2,-501.7099999999998,311.3928649902344,0.7076077347272662,45.408000000000044,0.8,0.26666666666666666,1,6,8,2,4,2,8
69,2,-383.2800000000001,346.259678141276,0.7040696960536299,83.1856666666667,0.9,0.36666666666666664,1,3,4,6,1,5,11
70,2,189.20000000000002,317.4161595662435,0.7005493475733617,75.53866666666671,1.0,0.5,0,0,7,3,1,4,15
71,2,172.53000000000023,310.9965092976888,0.697046600835495,115.25600000000004,0.7666666666666667,0.3,0,7,2,7,2,3,9
72,2,785.0100000000002,326.9905705769857,0.6935613678313175,151.11400000000006,0.9333333333333333,0.5,0,2,1,5,4,3,15
73,2,2276.86,327.6955912272135,0.6900935609921609,219.87333333333342,0.9,0.43333333333333335,0,3,5,2,4,3,13
74,2,1375.95,306.67887318929036,0.6866430931872001,278.5466666666668,0.8,0.5,1,6,2,3,2,2,15
75,2,-826.6900000000003,331.5486602783203,0.6832098777212641,140.69933333333339,0.8333333333333334,0.3333333333333333,0,5,4,2,7,2,10
76,2,3335.96,317.48168792724607,0.6797938283326578,284.20333333333343,0.9666666666666667,0.5333333333333333,0,1,3,4,1,5,16
77,2,2377.1900000000005,323.4727752685547,0.6763948591909945,398.4930000000001,1.0,0.5666666666666667,0,0,3,2,1,7,17
78,2,-1215.57,325.4221476236979,0.6730128848950395,407.4223333333335,0.8333333333333334,0.3333333333333333,1,5,2,4,3,6,10
79,2,-862.5199999999999,326.3010965983073,0.6696478204705644,380.9616666666668,0.8333333333333334,0.23333333333333334,0,5,1,6,5,6,7
80,2,-267.11,325.2522816975912,0.6662995813682115,347.5836666666667,0.9,0.26666666666666666,0,3,9,4,2,4,8
81,2,382.06000000000006,321.81435139973956,0.6629680834613705,392.6986666666667,0.7,0.36666666666666664,0,9,3,0,4,3,11
82,2,-1216.3699999999997,323.98167317708334,0.6596532430440636,372.112,0.7,0.1,0,9,3,4,4,7,3
83,2,2100.3300000000004,316.09303894042966,0.6563549768288433,449.66466666666673,0.7666666666666667,0.36666666666666664,0,7,2,3,1,6,11
84,2,1720.5200000000004,325.3923817952474,0.653073201944699,523.3403333333334,0.8666666666666667,0.3333333333333333,0,4,4,5,2,5,10
85,2,178.97000000000003,347.4180033365885,0.6498078359349755,528.9373333333334,0.7666666666666667,0.23333333333333334,0,7,5,5,3,3,7
86,2,405.92999999999995,347.81695861816405,0.6465587967553006,526.8773333333334,0.9,0.5,1,3,1,5,5,1,15
87,2,-488.1700000000001,343.72291564941406,0.6433260027715241,488.29800000000006,0.7666666666666667,0.36666666666666664,1,7,3,1,4,4,11
88,2,579.6200000000001,336.3429290771484,0.6401093727576664,521.4480000000001,0.8666666666666667,0.5,0,4,1,5,1,4,15
89,2,3662.26,344.5223846435547,0.6369088258938781,642.0473333333334,0.9333333333333333,0.5,0,2,2,6,3,2,15
90,2,-199.31000000000012,348.3322062174479,0.6337242817644086,571.6673333333333,0.7333333333333333,0.3,0,8,4,4,1,4,9
91,2,787.5899999999999,337.2501159667969,0.6305556603555866,586.6066666666667,0.9,0.4666666666666667,0,3,0,5,4,4,14
92,2,417.5,319.73436177571614,0.6274028820538087,532.2893333333335,0.7666666666666667,0.4,0,7,2,2,1,6,12
93,2,3476.7200000000003,335.56269022623695,0.6242658676435396,658.0156666666668,0.9666666666666667,0.6,0,1,3,5,2,1,18
94,2,219.03000000000023,330.5882843017578,0.6211445383053219,670.6696666666668,0.8666666666666667,0.4,0,4,5,2,3,4,12
95,2,1559.9999999999998,339.0738006591797,0.6180388156137953,733.9050000000001,0.8666666666666667,0.4,0,4,2,3,4,5,12
96,2,-146.26,326.6606180826823,0.6149486215357263,719.9633333333335,1.0,0.5,1,0,2,2,5,6,15
97,2,167.66000000000008,328.43493194580077,0.6118738784280476,668.7966666666667,0.6666666666666666,0.3333333333333333,1,10,2,4,2,2,10
98,2,151.39999999999986,329.7776153564453,0.6088145090359074,690.5670000000002,0.5666666666666667,0.23333333333333334,0,13,2,3,2,3,7
99,2,-623.1799999999998,338.4261912027995,0.6057704364907278,682.5703333333333,0.9,0.43333333333333335,0,3,3,2,4,5,13
100,2,-7.26000000000019,342.11261393229165,0.6027415843082742,676.021666666667,0.7333333333333333,0.36666666666666664,0,8,4,1,3,3,11
101,2,1445.5099999999998,330.54906005859374,0.5997278763867329,718.4543333333335,0.9,0.5333333333333333,0,3,6,2,2,1,16
102,2,1482.3799999999999,385.5052124023438,0.5967292370047992,741.7000000000002,0.8333333333333334,0.5333333333333333,1,5,2,1,3,3,16
