sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct,tipo
CABO MICRO USB SJX-08-V8 SHINKA,ACESSORIOS CELULAR,31.99,14.8264,38,2022-1,2026-12,2026-03-22,17.16,53.6,revisar
CABO TYPE C MAMMOTH,ACESSORIOS CELULAR,39.99,18.0,38,2022-1,2025-12,2026-05-10,21.99,55.0,revisar
CABO TYPE C SJX-08-TPC SHINKA,ACESSORIOS CELULAR,39.99,18.0,36,2022-1,2026-12,2024-07-23,21.99,55.0,revisar
CARREGADOR INTELIGENTE KA-5003 KAPBOM,ACESSORIOS CELULAR,34.99,16.0,42,2022-1,2026-12,2025-05-04,18.99,54.3,revisar
CARREGADOR VEICULAR USB SHINKA,ACESSORIOS CELULAR,39.99,18.0,28,2022-1,2026-12,2026-05-06,21.99,55.0,revisar
ELECTRONIC MUSIC HEADSET SH-FO-669 SHINKA,ACESSORIOS CELULAR,31.99,14.8894,39,2022-1,2026-11,2026-03-03,17.1,53.5,revisar
SHINKA MACARON SERIES CABO DE DADOS LIGHTNING CB-IP-99,ACESSORIOS CELULAR,39.99,18.0,16,2022-1,2023-11,2026-05-06,21.99,55.0,revisar
SUPORTE VEICULAR UNIVERSAL TOMATE MTG-006,ACESSORIOS CELULAR,31.99,14.9684,40,2022-1,2026-12,2026-02-07,17.02,53.2,revisar
GITANES AGUA PARA BATERIA 1LT,ACESSÓRIOS DIVERSOS,6.99,2.69,1,2022-2,2022-2,2026-05-10,4.3,61.5,revisar
"ACHOCOLATADO NESCAU EM PÓ 1,3KG",ACHOCOLATADO,5.2,0.098,51,2022-1,2026-12,,5.1,98.1,conveniencia
"ACHOCOLATADO NESTLE DOIS FRADES 1,3KG",ACHOCOLATADO,5.2,0.1965,50,2022-1,2026-12,2025-10-11,5.0,96.2,conveniencia
NESCAFÉ ALEGRIA. NESCAU.,ACHOCOLATADO,8.5,3.3322,22,2022-1,2026-11,2026-05-03,5.17,60.8,conveniencia
"NESTLE ALPINO CHOCOLATE AO LEITE 1,3KG",ACHOCOLATADO,5.2,0.2249,51,2022-1,2026-12,,4.98,95.8,conveniencia
NESTLE ALPINO FAST 280ML,ACHOCOLATADO,12.99,6.33,2,2025-1,2026-8,2026-05-05,6.66,51.3,conveniencia
NESTLE NESCAU FAST 270ML,ACHOCOLATADO,12.99,6.3504,5,2024-2,2026-11,2026-05-09,6.64,51.1,conveniencia
