categoria,mes_aprox,pct_com_desconto_medio,desconto_medio_pct_medio
agua,1,46.3,25.5
agua,2,48.3,26.9
agua,3,53.2,25.4
agua,4,46.7,22.5
agua,5,39.6,22.8
agua,6,41.9,28.7
agua,7,35.4,25.6
agua,8,30.2,22.4
agua,9,27.5,22.6
agua,10,33.6,21.9
agua,11,39.5,23.9
agua,12,42.0,28.0
biscoito,1,67.6,28.1
biscoito,2,64.2,28.5
biscoito,3,63.3,30.9
biscoito,4,64.3,29.6
biscoito,5,63.7,28.7
biscoito,6,61.4,28.2
biscoito,7,60.8,29.4
biscoito,8,62.0,27.6
biscoito,9,58.1,29.5
biscoito,10,59.7,30.0
biscoito,11,58.2,29.0
biscoito,12,57.3,26.2
cafe,1,52.3,21.4
cafe,2,41.2,21.4
cafe,3,42.8,19.9
cafe,4,55.0,20.5
cafe,5,39.4,17.1
cafe,6,44.0,18.3
cafe,7,46.1,21.3
cafe,8,56.2,23.0
cafe,9,59.1,22.5
cafe,10,44.4,22.0
cafe,11,42.4,20.1
cafe,12,45.4,20.7
cerveja,1,1.2,4.6
cerveja,2,1.2,5.2
cerveja,3,0.8,9.9
cerveja,4,0.4,10.1
cerveja,5,0.4,5.2
cerveja,6,0.3,4.4
cerveja,7,0.5,3.0
cerveja,8,0.4,3.7
cerveja,9,0.3,3.5
cerveja,10,0.6,17.7
cerveja,11,0.2,5.7
cerveja,12,0.1,1.6
cha,1,42.7,14.9
cha,2,38.5,21.2
cha,3,50.7,15.9
cha,4,43.4,21.1
cha,5,35.7,21.2
cha,6,42.5,20.3
cha,7,40.9,21.9
cha,8,46.4,21.0
cha,9,56.0,22.6
cha,10,45.1,21.6
cha,11,46.5,13.4
cha,12,60.7,19.6
chocolate_doce,1,48.9,39.2
chocolate_doce,2,51.1,37.7
chocolate_doce,3,52.2,41.8
chocolate_doce,4,50.2,43.2
chocolate_doce,5,53.0,35.6
chocolate_doce,6,43.2,40.7
chocolate_doce,7,39.9,41.7
chocolate_doce,8,48.8,40.0
chocolate_doce,9,51.5,36.7
chocolate_doce,10,52.6,42.0
chocolate_doce,11,44.1,43.1
chocolate_doce,12,44.9,40.4
cigarro,1,0.1,2.7
cigarro,2,0.1,3.4
cigarro,3,0.9,12.5
cigarro,4,1.6,18.5
cigarro,5,0.3,5.4
cigarro,6,0.8,13.7
cigarro,7,0.3,5.2
cigarro,8,0.8,14.0
cigarro,9,0.5,15.7
cigarro,10,0.1,4.7
cigarro,11,0.3,25.5
cigarro,12,0.5,15.8
destilados,1,6.2,8.8
destilados,2,1.4,4.4
destilados,3,4.1,6.0
destilados,4,0.4,1.2
destilados,5,0.8,2.5
destilados,6,1.3,3.7
destilados,7,1.7,2.6
destilados,8,8.2,7.8
destilados,9,7.4,10.2
destilados,10,7.4,10.6
destilados,11,3.6,9.1
destilados,12,4.4,18.2
gelo,1,0.0,0.0
gelo,2,0.0,0.0
gelo,3,0.0,0.0
gelo,4,0.0,0.0
gelo,5,0.0,0.0
gelo,6,0.0,0.0
gelo,7,0.0,0.0
gelo,8,0.0,0.0
gelo,9,0.0,0.0
gelo,10,0.0,0.0
gelo,11,0.0,0.0
gelo,12,0.0,0.0
padaria,1,66.4,25.8
padaria,2,61.0,25.9
padaria,3,59.6,25.3
padaria,4,55.4,24.8
padaria,5,54.2,25.9
padaria,6,61.9,25.6
padaria,7,63.3,26.8
padaria,8,63.0,26.8
padaria,9,63.5,26.3
padaria,10,67.6,27.0
padaria,11,64.5,26.1
padaria,12,64.2,26.1
refrigerante,1,73.0,30.2
refrigerante,2,57.8,27.2
refrigerante,3,69.3,29.2
refrigerante,4,70.7,28.7
refrigerante,5,62.2,28.8
refrigerante,6,67.3,26.0
refrigerante,7,57.1,23.2
refrigerante,8,63.9,22.4
refrigerante,9,64.6,28.6
refrigerante,10,54.4,30.4
refrigerante,11,64.7,29.6
refrigerante,12,69.9,28.0
sanduiche,1,63.2,33.1
sanduiche,2,57.1,31.4
sanduiche,3,61.4,29.4
sanduiche,4,61.9,30.4
sanduiche,5,52.6,30.2
sanduiche,6,59.4,30.3
sanduiche,7,67.1,29.0
sanduiche,8,71.2,30.5
sanduiche,9,69.7,33.0
sanduiche,10,59.8,30.6
sanduiche,11,70.4,29.6
sanduiche,12,63.8,29.4
snack,1,49.6,23.4
snack,2,56.5,23.9
snack,3,52.7,24.9
snack,4,56.6,26.1
snack,5,52.8,24.2
snack,6,46.9,23.4
snack,7,47.7,22.7
snack,8,47.5,22.0
snack,9,44.7,22.0
snack,10,55.0,25.1
snack,11,52.7,25.8
snack,12,43.4,22.3
sorvete,1,80.3,29.9
sorvete,2,80.6,32.7
sorvete,3,80.3,35.0
sorvete,4,81.9,32.3
sorvete,5,83.0,36.9
sorvete,6,76.6,35.8
sorvete,7,77.8,35.2
sorvete,8,73.1,35.1
sorvete,9,70.0,34.5
sorvete,10,68.5,36.5
sorvete,11,69.8,35.5
sorvete,12,72.0,33.4
suco,1,63.3,29.3
suco,2,66.4,29.3
suco,3,67.4,32.1
suco,4,57.2,33.4
suco,5,57.2,30.2
suco,6,53.8,27.1
suco,7,53.4,24.5
suco,8,56.2,26.8
suco,9,55.4,26.3
suco,10,56.4,24.0
suco,11,48.7,20.3
suco,12,49.0,26.3
vinho,1,0.2,1.5
vinho,2,0.5,3.6
vinho,3,0.7,10.6
vinho,4,1.1,8.5
vinho,5,1.1,9.4
vinho,6,0.8,15.2
vinho,7,0.3,5.4
vinho,8,1.0,11.2
vinho,9,1.3,20.8
vinho,10,0.2,6.7
vinho,11,0.8,11.4
vinho,12,0.0,0.0
