categoria,faixa_desc,pct_min,pct_max,qtd_media,uplift_qtd,n_trans
agua,0%,0,1,1.44,1.0,13979
agua,1-5%,1,5,3.86,2.68,50
agua,5-10%,5,10,1.205,0.836,836
agua,10-15%,10,15,1.533,1.064,1358
agua,15-25%,15,25,1.366,0.948,2721
agua,>25%,25,100,1.474,1.023,4478
biscoito,0%,0,1,1.112,1.0,21897
biscoito,1-5%,1,5,1.138,1.024,325
biscoito,5-10%,5,10,1.115,1.003,2235
biscoito,10-15%,10,15,1.114,1.002,3750
biscoito,15-25%,15,25,1.112,1.0,6576
biscoito,>25%,25,100,1.143,1.029,22335
cafe,0%,0,1,1.083,1.0,6797
cafe,1-5%,1,5,1.069,0.988,331
cafe,5-10%,5,10,1.114,1.029,1459
cafe,10-15%,10,15,1.171,1.081,1271
cafe,15-25%,15,25,1.118,1.033,1601
cafe,>25%,25,100,1.171,1.082,2213
cerveja,0%,0,1,1.118,1.0,17690
cerveja,1-5%,1,5,1.111,0.994,9
cerveja,5-10%,5,10,1.143,1.023,21
cerveja,10-15%,10,15,1.292,1.156,24
cerveja,15-25%,15,25,1.0,0.895,23
cerveja,>25%,25,100,1.0,0.895,3
cha,0%,0,1,1.055,1.0,2081
cha,1-5%,1,5,1.06,1.005,134
cha,5-10%,5,10,1.065,1.01,445
cha,10-15%,10,15,1.137,1.078,335
cha,15-25%,15,25,1.149,1.089,275
cha,>25%,25,100,1.107,1.049,741
chocolate_doce,0%,0,1,1.295,1.0,35345
chocolate_doce,1-5%,1,5,6.567,5.071,90
chocolate_doce,5-10%,5,10,1.234,0.953,539
chocolate_doce,10-15%,10,15,1.271,0.982,1663
chocolate_doce,15-25%,15,25,1.221,0.943,2367
chocolate_doce,>25%,25,100,1.707,1.318,29388
cigarro,0%,0,1,1.374,1.0,11801
cigarro,1-5%,1,5,1.0,0.728,3
cigarro,5-10%,5,10,1.101,0.801,129
cigarro,10-15%,10,15,1.358,0.988,151
cigarro,15-25%,15,25,1.69,1.23,84
cigarro,>25%,25,100,1.7,1.237,80
destilados,0%,0,1,1.09,1.0,2550
destilados,1-5%,1,5,1.083,0.994,12
destilados,5-10%,5,10,1.0,0.918,15
destilados,10-15%,10,15,1.197,1.098,66
destilados,15-25%,15,25,1.065,0.977,31
destilados,>25%,25,100,1.5,1.376,12
gelo,0%,0,1,1.227,1.0,2372
refrigerante,0%,0,1,1.227,1.0,40899
refrigerante,1-5%,1,5,1.446,1.179,1682
refrigerante,5-10%,5,10,1.309,1.067,3587
refrigerante,10-15%,10,15,1.191,0.97,8573
refrigerante,15-25%,15,25,1.329,1.083,22519
refrigerante,>25%,25,100,1.581,1.288,39955
snack,0%,0,1,1.272,1.0,41380
snack,1-5%,1,5,1.145,0.9,724
snack,5-10%,5,10,1.099,0.864,5590
snack,10-15%,10,15,1.1,0.865,4648
snack,15-25%,15,25,1.111,0.873,14088
snack,>25%,25,100,1.153,0.906,15675
sorvete,0%,0,1,1.14,1.0,5430
sorvete,1-5%,1,5,1.043,0.915,348
sorvete,5-10%,5,10,1.034,0.907,1664
sorvete,10-15%,10,15,1.037,0.91,1255
sorvete,15-25%,15,25,1.098,0.963,1030
sorvete,>25%,25,100,1.102,0.966,18082
suco,0%,0,1,1.177,1.0,26796
suco,1-5%,1,5,1.111,0.944,685
suco,5-10%,5,10,1.154,0.981,3620
suco,10-15%,10,15,1.162,0.987,2656
suco,15-25%,15,25,1.176,0.999,9818
suco,>25%,25,100,1.307,1.111,18064
vinho,0%,0,1,1.163,1.0,9214
vinho,1-5%,1,5,1.0,0.86,1
vinho,5-10%,5,10,1.143,0.982,7
vinho,10-15%,10,15,1.0,0.86,9
vinho,15-25%,15,25,1.1,0.946,20
vinho,>25%,25,100,1.182,1.016,33
