dunnhumby_commodity,nossa_categoria
BEERS/ALES,cerveja
DOMESTIC WINE,vinho
IMPORTED WINE,vinho
MISC WINE,vinho
LIQUOR,destilados
SOFT DRINKS,refrigerante
WATER,agua
WATER - CARBONATED/FLVRD DRINK,agua
COFFEE,cafe
COFFEE SHOP,cafe
COFFEE SHOP SWEET GOODS&RETAIL,cafe
DRY TEA/COFFEE/COCO MIX,cafe
TEAS,cha
CANDY - PACKAGED,chocolate_doce
CANDY - CHECKLANE,chocolate_doce
COOKIES/CONES,biscoito
COOKIES,biscoito
CRACKERS/MISC BKD FD,biscoito
BAG SNACKS,snack
CHIPS&SNACKS,snack
SNACKS,snack
SWEET GOODS & SNACKS,snack
WAREHOUSE SNACKS,snack
PACKAGED NATURAL SNACKS,snack
SNACK NUTS,snack
NUTS,snack
POPCORN,snack
CONVENIENT BRKFST/WHLSM SNACKS,snack
ICE CREAM/MILK/SHERBTS,sorvete
FRZN NOVELTIES/WTR ICE,sorvete
FRZN ICE,gelo
CIGARETTES,cigarro
CIGARS,cigarro
TOBACCO OTHER,cigarro
BAKED BREAD/BUNS/ROLLS,padaria
BAKED SWEET GOODS,padaria
BREAD,padaria
SANDWICHES,sanduiche
BREAKFAST SAUSAGE/SANDWICHES,sanduiche
CANNED JUICES,suco
REFRGRATD JUICES/DRNKS,suco
JUICE,suco
