categoria,WEEK_NO,n_observacoes,pct_display,pct_mailer,pct_promo_qualquer,semana_ciclo,mes_aprox
agua,9,3697,87.4,25.9,100.0,9,2
agua,10,5282,59.1,58.7,100.0,10,3
agua,11,5331,61.5,58.3,100.0,11,3
agua,12,4894,77.8,33.2,100.0,12,3
agua,13,3470,100.0,0.0,100.0,13,3
agua,14,4440,69.3,41.7,100.0,14,3
agua,15,3255,90.9,22.8,100.0,15,4
agua,16,2864,86.7,25.9,100.0,16,4
agua,17,3474,87.2,33.0,100.0,17,4
agua,18,3204,95.7,26.7,100.0,18,4
agua,19,3177,92.6,47.1,100.0,19,5
agua,20,2849,100.0,0.0,100.0,20,5
agua,21,3127,100.0,0.0,100.0,21,5
agua,22,3228,95.4,9.0,100.0,22,5
agua,23,3316,94.3,5.7,100.0,23,6
agua,24,3419,93.9,15.6,100.0,24,6
agua,25,3959,88.3,40.4,100.0,25,6
agua,26,3230,97.6,13.3,100.0,26,6
agua,27,3284,91.2,8.8,100.0,27,6
agua,28,3081,92.8,10.6,100.0,28,7
agua,29,5211,58.1,56.9,100.0,29,7
agua,30,4881,63.1,47.6,100.0,30,7
agua,31,3088,100.0,0.0,100.0,31,7
agua,32,3356,85.4,18.2,100.0,32,8
agua,33,2568,100.0,0.0,100.0,33,8
agua,34,3191,87.2,35.3,100.0,34,8
agua,35,2844,96.1,30.1,100.0,35,8
agua,36,2927,86.8,13.8,100.0,36,9
agua,37,2766,78.3,34.5,100.0,37,9
agua,38,2673,82.4,42.3,100.0,38,9
agua,39,2125,100.0,0.0,100.0,39,9
agua,40,2268,88.4,12.0,100.0,40,9
agua,41,2385,79.2,29.7,100.0,41,10
agua,42,2178,100.0,0.0,100.0,42,10
agua,43,3441,88.6,39.8,100.0,43,10
agua,44,2993,100.0,0.0,100.0,44,10
agua,45,3141,93.5,16.4,100.0,45,11
agua,46,3407,79.6,32.9,100.0,46,11
agua,47,2840,88.9,18.5,100.0,47,11
agua,48,2624,87.4,40.8,100.0,48,11
agua,49,2766,91.3,11.3,100.0,49,12
agua,50,2851,88.6,13.7,100.0,50,12
agua,51,3278,89.2,12.5,100.0,51,12
agua,52,3324,95.2,13.0,100.0,52,12
agua,53,5653,63.5,66.6,100.0,1,1
agua,54,3517,85.4,24.0,100.0,2,1
agua,55,3562,84.2,28.6,100.0,3,1
agua,56,2908,100.0,0.0,100.0,4,1
agua,57,3354,91.1,18.4,100.0,5,1
agua,58,3174,94.0,6.0,100.0,6,2
agua,59,3461,100.0,0.0,100.0,7,2
agua,60,3858,89.8,22.4,100.0,8,2
agua,61,5455,66.0,69.8,100.0,9,2
agua,62,3415,96.7,25.8,100.0,10,3
agua,63,3618,92.8,30.3,100.0,11,3
agua,64,3541,100.0,0.0,100.0,12,3
agua,65,3362,93.3,26.2,100.0,13,3
agua,66,3462,99.7,0.5,100.0,14,3
agua,67,3592,93.3,24.5,100.0,15,4
agua,68,3790,94.5,23.0,100.0,16,4
agua,69,3244,95.8,13.4,100.0,17,4
agua,70,3875,95.6,14.1,100.0,18,4
agua,71,3760,87.9,36.6,100.0,19,5
agua,72,3135,100.0,0.0,100.0,20,5
agua,73,4192,80.5,25.5,100.0,21,5
agua,74,3894,84.0,22.6,100.0,22,5
agua,75,5624,60.0,52.3,100.0,23,6
agua,76,3363,96.2,13.0,100.0,24,6
agua,77,3261,94.8,13.4,100.0,25,6
agua,78,3906,77.9,29.8,100.0,26,6
agua,79,3372,87.3,16.5,100.0,27,6
agua,80,3242,96.3,4.8,100.0,28,7
agua,81,3674,82.0,28.7,100.0,29,7
agua,82,4220,84.4,24.8,100.0,30,7
agua,83,5195,68.1,56.2,100.0,31,7
agua,84,3703,95.5,4.5,100.0,32,8
agua,85,3395,90.9,32.7,100.0,33,8
agua,86,3143,81.2,27.7,100.0,34,8
agua,87,2343,93.4,6.6,100.0,35,8
agua,88,1975,100.0,0.0,100.0,36,9
agua,89,3654,62.0,64.3,100.0,37,9
agua,90,2207,100.0,0.0,100.0,38,9
agua,91,2758,80.4,24.8,100.0,39,9
agua,92,2219,88.6,11.6,100.0,40,9
agua,93,3053,74.3,34.2,100.0,41,10
agua,94,5088,67.9,51.1,100.0,42,10
agua,95,6410,53.2,83.2,100.0,43,10
agua,96,3769,93.4,6.6,100.0,44,10
agua,97,3827,93.5,6.5,100.0,45,11
agua,98,2891,100.0,0.0,100.0,46,11
agua,99,5944,54.7,51.6,100.0,47,11
agua,100,6123,51.3,68.5,100.0,48,11
agua,101,3476,97.7,6.0,100.0,49,12
biscoito,9,16480,74.6,46.3,100.0,9,2
biscoito,10,18654,54.3,62.8,100.0,10,3
biscoito,11,22828,43.6,75.9,100.0,11,3
biscoito,12,13319,72.3,48.6,100.0,12,3
biscoito,13,12849,75.8,38.8,100.0,13,3
biscoito,14,17919,56.5,57.0,100.0,14,3
biscoito,15,18412,55.0,58.7,100.0,15,4
biscoito,16,22444,37.8,75.4,100.0,16,4
biscoito,17,17643,59.4,60.8,100.0,17,4
biscoito,18,14978,74.1,49.5,100.0,18,4
biscoito,19,18556,61.7,55.8,100.0,19,5
biscoito,20,15692,69.1,39.2,100.0,20,5
biscoito,21,14802,73.3,46.8,100.0,21,5
biscoito,22,18983,67.0,57.1,100.0,22,5
biscoito,23,15964,78.0,35.4,100.0,23,6
biscoito,24,23523,50.8,58.3,100.0,24,6
biscoito,25,25672,43.7,71.6,100.0,25,6
biscoito,26,12364,71.9,39.6,100.0,26,6
biscoito,27,18918,52.4,66.8,100.0,27,6
biscoito,28,14459,74.1,37.8,100.0,28,7
biscoito,29,21670,52.7,62.3,100.0,29,7
biscoito,30,21385,52.9,65.6,100.0,30,7
biscoito,31,14721,65.6,52.3,100.0,31,7
biscoito,32,12802,75.4,42.5,100.0,32,8
biscoito,33,14346,66.7,50.1,100.0,33,8
biscoito,34,16289,56.6,58.7,100.0,34,8
biscoito,35,20495,43.7,72.4,100.0,35,8
biscoito,36,13798,62.8,49.7,100.0,36,9
