categoria,mes_aprox,pct_desconto,mag_desconto,n_trans
agua,1,46.33,25.509999999999998,1413
agua,2,48.2875,26.8875,1401
agua,3,53.21,25.44,2277
agua,4,46.675,22.5375,2244
agua,5,39.6375,22.8,2253
agua,6,41.93,28.68,2692
agua,7,35.4,25.575,1975
agua,8,30.1625,22.4,1683
agua,9,27.54,22.57,1949
agua,10,33.6,21.9375,2042
agua,11,39.4625,23.9125,2049
agua,12,42.016666666666666,28.05,1552
biscoito,1,67.63,28.07,3430
biscoito,2,64.175,28.462500000000002,3433
biscoito,3,63.260000000000005,30.9,5031
biscoito,4,64.3,29.55,4608
biscoito,5,63.6875,28.725,4757
biscoito,6,61.36,28.160000000000004,6316
biscoito,7,60.8375,29.375,5032
biscoito,8,61.9875,27.625,4881
biscoito,9,58.089999999999996,29.49,6327
biscoito,10,59.6875,29.962500000000002,4755
biscoito,11,58.2,28.975,5249
biscoito,12,57.333333333333336,26.21666666666667,3404
cafe,1,52.3,21.380000000000003,829
cafe,2,41.2375,21.45,836
cafe,3,42.83,19.89,1116
cafe,4,54.9875,20.5,1076
cafe,5,39.425,17.1375,1056
cafe,6,44.04,18.3,1475
cafe,7,46.125,21.3125,1259
cafe,8,56.212500000000006,23.0125,1354
cafe,9,59.08,22.5,1845
cafe,10,44.3625,22.025,1245
cafe,11,42.35,20.0625,1267
cafe,12,45.38333333333333,20.683333333333334,869
cerveja,1,1.15,4.55,983
cerveja,2,1.2125,5.2125,996
cerveja,3,0.8099999999999999,9.92,1851
cerveja,4,0.425,10.0625,1769
cerveja,5,0.35,5.175,1633
cerveja,6,0.32,4.38,1930
cerveja,7,0.4625,2.975,1413
cerveja,8,0.35,3.7125000000000004,1431
cerveja,9,0.32999999999999996,3.47,1898
cerveja,10,0.6,17.7,1421
cerveja,11,0.2375,5.7,1536
cerveja,12,0.11666666666666665,1.6333333333333335,949
cha,1,42.68,14.930000000000001,261
cha,2,38.5375,21.1875,227
cha,3,50.69,15.9,331
cha,4,43.425,21.1125,357
cha,5,35.6625,21.1875,351
cha,6,42.510000000000005,20.27,338
cha,7,40.9,21.8875,330
cha,8,46.4375,20.975,401
cha,9,55.96,22.65,437
cha,10,45.1125,21.587500000000002,362
cha,11,46.5125,13.4125,361
cha,12,60.666666666666664,19.55,268
chocolate_doce,1,48.93,39.15,5397
chocolate_doce,2,51.1125,37.6875,4177
chocolate_doce,3,52.21,41.75,6147
chocolate_doce,4,50.1875,43.2,5489
chocolate_doce,5,53.025,35.5875,5856
chocolate_doce,6,43.25,40.71,6939
chocolate_doce,7,39.8625,41.725,5698
chocolate_doce,8,48.85,39.9875,5898
chocolate_doce,9,51.489999999999995,36.71,7876
chocolate_doce,10,52.625,41.9875,5110
chocolate_doce,11,44.075,43.075,6769
chocolate_doce,12,44.949999999999996,40.416666666666664,4377
cigarro,1,0.06999999999999999,2.73,828
cigarro,2,0.0875,3.3875,782
cigarro,3,0.9299999999999999,12.48,1213
cigarro,4,1.625,18.4625,1241
cigarro,5,0.32499999999999996,5.3625,1239
cigarro,6,0.8,13.74,1552
cigarro,7,0.275,5.2375,1117
cigarro,8,0.7625,13.975,1070
cigarro,9,0.45999999999999996,15.710000000000003,1466
cigarro,10,0.1,4.6625,1077
cigarro,11,0.2875,25.4625,1087
cigarro,12,0.5333333333333333,15.85,762
destilados,1,6.220000000000001,8.8,162
destilados,2,1.375,4.425,162
destilados,3,4.1,6.04,258
destilados,4,0.3625,1.25,227
destilados,5,0.825,2.5,234
destilados,6,1.28,3.6700000000000004,231
destilados,7,1.7375,2.5999999999999996,210
destilados,8,8.15,7.75,199
destilados,9,7.43,10.17,376
destilados,10,7.4125,10.5875,258
destilados,11,3.6125,9.1,229
destilados,12,4.416666666666667,18.216666666666665,153
gelo,1,0.0,0.0,130
gelo,2,0.0,0.0,163
gelo,3,0.0,0.0,390
gelo,4,0.0,0.0,378
gelo,5,0.0,0.0,296
gelo,6,0.0,0.0,291
gelo,7,0.0,0.0,157
gelo,8,0.0,0.0,131
gelo,9,0.0,0.0,185
gelo,10,0.0,0.0,154
gelo,11,0.0,0.0,104
gelo,12,0.0,0.0,90
padaria,1,66.39,25.79,7616
padaria,2,61.0125,25.875,7215
padaria,3,59.6,25.32,10766
