categoria,semana_ciclo,pct_desconto,mag_desconto,n_trans
agua,1,58.099999999999994,25.5,241
agua,2,33.099999999999994,25.85,277
agua,3,51.900000000000006,27.799999999999997,259
agua,4,43.55,27.45,303
agua,5,45.0,20.95,333
agua,6,50.9,29.1,332
agua,7,43.45,28.549999999999997,394
agua,8,47.3,25.15,326
agua,9,51.5,24.75,349
agua,10,55.849999999999994,25.4,391
agua,11,51.75,24.799999999999997,481
agua,12,45.45,25.35,450
agua,13,58.2,25.1,455
agua,14,54.8,26.549999999999997,500
agua,15,46.3,23.3,538
agua,16,49.849999999999994,22.799999999999997,603
agua,17,45.099999999999994,22.55,518
agua,18,45.45,21.5,585
agua,19,35.6,21.6,511
agua,20,42.45,20.6,596
agua,21,35.45,22.65,562
agua,22,45.05,26.35,584
agua,23,44.3,26.45,557
agua,24,41.55,29.05,531
agua,25,43.55,30.2,619
agua,26,42.9,30.900000000000002,544
agua,27,37.349999999999994,26.8,441
agua,28,35.4,28.9,464
agua,29,34.3,25.95,522
agua,30,35.05,22.700000000000003,518
agua,31,36.85,24.75,471
agua,32,38.35,23.450000000000003,437
agua,33,28.3,23.049999999999997,465
agua,34,24.5,22.6,431
agua,35,29.5,20.5,350
agua,36,28.450000000000003,21.65,352
agua,37,23.25,21.3,430
agua,38,30.35,23.85,414
agua,39,30.549999999999997,23.85,393
agua,40,25.1,22.200000000000003,360
agua,41,31.85,21.2,397
agua,42,28.549999999999997,21.700000000000003,586
agua,43,36.75,23.25,538
agua,44,37.25,21.6,521
agua,45,47.15,22.3,497
agua,46,38.349999999999994,25.549999999999997,509
agua,47,38.400000000000006,25.25,566
agua,48,33.95,22.55,477
agua,49,37.7,27.65,522
agua,50,45.95,27.65,549
agua,51,40.6,29.4,239
agua,52,44.2,28.3,242
biscoito,1,70.55,25.799999999999997,646
biscoito,2,64.8,27.799999999999997,692
biscoito,3,72.7,29.1,720
biscoito,4,65.80000000000001,28.200000000000003,698
biscoito,5,64.3,29.450000000000003,674
biscoito,6,62.15,34.85,831
biscoito,7,64.45,26.85,909
biscoito,8,67.9,26.65,826
biscoito,9,62.2,25.5,867
biscoito,10,60.45,28.6,793
biscoito,11,60.9,31.75,1008
biscoito,12,61.849999999999994,33.15,1155
biscoito,13,63.2,30.25,1003
biscoito,14,69.9,30.75,1072
biscoito,15,70.4,28.6,1123
biscoito,16,65.6,28.65,1263
biscoito,17,64.05,31.55,1154
biscoito,18,57.15,29.4,1068
biscoito,19,56.8,29.45,1021
biscoito,20,61.3,27.5,1240
biscoito,21,66.9,27.95,1181
biscoito,22,69.75,30.0,1315
biscoito,23,67.05,29.1,1224
biscoito,24,67.75,30.45,1300
biscoito,25,66.35,30.5,1461
biscoito,26,51.05,24.55,1130
biscoito,27,54.6,26.200000000000003,1201
biscoito,28,56.7,27.65,1194
biscoito,29,62.0,30.35,1394
biscoito,30,63.7,30.65,1223
biscoito,31,60.95,28.85,1221
biscoito,32,59.45,28.95,1170
biscoito,33,66.65,25.6,1322
biscoito,34,63.199999999999996,26.2,1162
biscoito,35,58.650000000000006,29.75,1227
biscoito,36,60.85,28.9,1084
biscoito,37,54.4,31.2,1319
biscoito,38,58.900000000000006,29.95,1428
biscoito,39,58.75,29.1,1211
biscoito,40,57.55,28.3,1285
biscoito,41,57.55,30.05,967
biscoito,42,55.2,30.3,1310
biscoito,43,59.7,29.35,1241
biscoito,44,66.3,30.15,1237
biscoito,45,64.35,32.7,1219
biscoito,46,58.15,31.700000000000003,1458
biscoito,47,53.5,24.200000000000003,1373
biscoito,48,56.8,27.3,1199
biscoito,49,55.599999999999994,24.9,1080
biscoito,50,56.25,26.95,1161
biscoito,51,55.8,25.9,552
biscoito,52,64.5,27.7,611
cafe,1,38.95,26.3,146
cafe,2,57.45,21.3,199
cafe,3,47.650000000000006,21.15,177
cafe,4,60.55,16.95,160
cafe,5,56.9,21.2,147
cafe,6,37.900000000000006,16.85,182
cafe,7,37.400000000000006,22.35,212
cafe,8,46.0,19.700000000000003,229
cafe,9,43.65,26.9,213
cafe,10,39.150000000000006,21.1,170
cafe,11,38.3,19.15,249
cafe,12,43.45,16.75,235
cafe,13,48.25,18.9,246
cafe,14,45.0,23.549999999999997,216
cafe,15,60.25,20.35,283
cafe,16,57.8,23.15,269
cafe,17,56.2,21.65,266
cafe,18,45.7,16.85,258
cafe,19,40.65,16.6,220
cafe,20,40.1,18.55,292
cafe,21,35.2,13.95,253
cafe,22,41.75,19.450000000000003,291
cafe,23,46.650000000000006,16.25,291
cafe,24,40.0,16.15,278
cafe,25,34.2,14.35,301
cafe,26,50.95,20.3,285
cafe,27,48.4,24.45,320
cafe,28,44.55,21.85,290
cafe,29,43.5,22.799999999999997,333
cafe,30,46.8,21.1,318
cafe,31,49.65,19.5,318
cafe,32,57.0,24.25,337
cafe,33,61.2,24.6,345
cafe,34,46.5,19.6,325
cafe,35,60.150000000000006,23.6,347
cafe,36,58.8,23.8,372
cafe,37,56.05,18.35,363
cafe,38,54.599999999999994,19.55,386
cafe,39,65.35,23.85,336
cafe,40,60.599999999999994,26.950000000000003,388
cafe,41,57.8,22.7,265
cafe,42,38.7,21.4,345
cafe,43,38.45,21.6,317
cafe,44,42.5,22.4,318
cafe,45,56.349999999999994,21.45,316
cafe,46,40.2,19.35,332
cafe,47,34.45,20.75,330
cafe,48,38.400000000000006,18.7,289
cafe,49,45.95,18.25,316
cafe,50,49.75,20.75,281
cafe,51,40.4,19.9,141
cafe,52,40.5,26.2,131
cerveja,1,0.0,0.0,166
cerveja,2,0.0,0.0,151
cerveja,3,2.1,13.7,192
cerveja,4,1.45,5.35,231
cerveja,5,2.2,3.7,243
cerveja,6,2.75,2.05,215
cerveja,7,0.0,0.0,272
cerveja,8,0.9,5.4,249
cerveja,9,1.2000000000000002,13.399999999999999,260
cerveja,10,0.2,2.5,389
cerveja,11,1.2,11.45,365
cerveja,12,0.25,10.0,363
cerveja,13,1.0,13.55,369
cerveja,14,1.4,12.1,365
cerveja,15,1.0,11.649999999999999,485
cerveja,16,0.45,15.65,466
cerveja,17,0.0,0.0,418
cerveja,18,0.25,12.95,400
cerveja,19,0.25,7.9,430
cerveja,20,0.6,4.7,400
cerveja,21,0.0,0.0,404
cerveja,22,0.55,8.1,399
cerveja,23,0.25,9.25,398
cerveja,24,0.0,0.0,409
cerveja,25,0.25,2.95,406
cerveja,26,0.25,6.8,354
cerveja,27,0.85,2.9,363
cerveja,28,0.5,5.25,375
cerveja,29,0.3,2.8,347
cerveja,30,0.0,0.0,372
cerveja,31,1.05,3.85,319
cerveja,32,0.0,0.0,371
cerveja,33,0.0,0.0,367
cerveja,34,0.3,6.25,345
cerveja,35,1.1,8.600000000000001,348
cerveja,36,0.75,5.85,418
cerveja,37,0.3,8.0,321
cerveja,38,0.0,0.0,352
cerveja,39,0.0,0.0,356
cerveja,40,0.6,3.5,451
cerveja,41,0.2,5.2,451
cerveja,42,0.3,6.2,317
cerveja,43,1.25,13.45,333
cerveja,44,0.6499999999999999,45.95,320
cerveja,45,0.0,0.0,374
cerveja,46,0.4,6.7,476
cerveja,47,0.3,9.8,334
cerveja,48,0.25,6.3,352
cerveja,49,0.0,0.0,327
cerveja,50,0.35,4.9,288
cerveja,51,0.0,0.0,172
cerveja,52,0.0,0.0,162
cha,1,77.25,21.450000000000003,38
cha,2,19.4,5.6,55
cha,3,28.25,13.55,62
cha,4,54.75,22.85,56
cha,5,33.75,11.2,50
cha,6,43.45,18.35,52
cha,7,34.0,25.35,60
cha,8,49.35,21.549999999999997,58
cha,9,27.35,19.5,57
cha,10,36.65,14.75,45
cha,11,51.45,14.0,78
cha,12,57.849999999999994,14.9,65
cha,13,52.5,15.399999999999999,78
cha,14,55.0,20.450000000000003,65
cha,15,45.5,21.2,86
cha,16,52.85,21.0,106
cha,17,44.1,22.549999999999997,82
cha,18,31.25,19.7,83
cha,19,25.0,26.4,89
cha,20,40.25,15.649999999999999,107
cha,21,32.25,16.8,71
cha,22,45.150000000000006,25.9,84
cha,23,39.75,21.799999999999997,73
cha,24,42.45,21.45,66
cha,25,47.95,20.85,70
cha,26,34.95,20.75,55
cha,27,47.45,16.5,74
cha,28,45.05,24.1,68
cha,29,37.2,20.6,78
cha,30,34.7,21.25,91
cha,31,46.65,21.6,93
cha,32,53.449999999999996,21.75,89
cha,33,40.35,22.6,113
cha,34,40.0,19.65,97
cha,35,51.95,19.9,102
cha,36,48.2,22.9,75
cha,37,57.150000000000006,20.95,93
cha,38,57.5,23.85,103
cha,39,51.0,21.75,72
cha,40,65.94999999999999,23.8,94
cha,41,67.75,22.700000000000003,82
cha,42,38.05,23.700000000000003,115
cha,43,27.9,21.25,83
cha,44,46.75,18.7,82
cha,45,41.3,20.799999999999997,78
cha,46,44.35,8.95,104
cha,47,51.65,11.149999999999999,99
cha,48,48.75,12.75,80
cha,49,65.55,18.5,85
cha,50,60.599999999999994,21.85,106
cha,51,53.8,16.0,39
cha,52,57.9,20.6,38
chocolate_doce,1,35.0,37.95,872
chocolate_doce,2,62.55,45.400000000000006,984
chocolate_doce,3,51.2,40.55,1046
chocolate_doce,4,44.900000000000006,34.95,1624
chocolate_doce,5,51.0,36.900000000000006,871
chocolate_doce,6,47.4,39.6,910
chocolate_doce,7,53.05,37.1,1142
chocolate_doce,8,49.25,35.8,1032
chocolate_doce,9,54.75,38.25,1093
chocolate_doce,10,51.3,36.95,1118
chocolate_doce,11,57.150000000000006,43.45,1193
chocolate_doce,12,54.25,38.6,1278
chocolate_doce,13,52.15,44.35,1398
chocolate_doce,14,46.2,45.4,1160
chocolate_doce,15,51.85,41.7,1223
chocolate_doce,16,48.35,42.400000000000006,1416
chocolate_doce,17,49.7,43.35,1401
chocolate_doce,18,50.849999999999994,45.35,1449
chocolate_doce,19,55.65,37.6,1412
chocolate_doce,20,50.45,35.85,1577
chocolate_doce,21,51.9,30.8,1418
chocolate_doce,22,54.1,38.1,1449
chocolate_doce,23,49.900000000000006,41.05,1305
chocolate_doce,24,39.95,38.05,1370
chocolate_doce,25,36.75,41.45,1416
chocolate_doce,26,44.95,40.45,1460
chocolate_doce,27,44.7,42.55,1388
chocolate_doce,28,38.0,42.9,1366
chocolate_doce,29,44.9,41.3,1528
chocolate_doce,30,39.25,41.7,1447
chocolate_doce,31,37.3,41.0,1357
chocolate_doce,32,41.1,36.8,1649
chocolate_doce,33,44.349999999999994,35.45,1645
chocolate_doce,34,53.65,45.0,1323
chocolate_doce,35,56.3,42.7,1281
chocolate_doce,36,47.75,41.150000000000006,1278
chocolate_doce,37,56.0,41.25,1558
