categoria,semana_ano,receita,uplift
agua,1,349.995,0.527
agua,2,418.43,0.63
agua,3,399.09000000000003,0.601
agua,4,429.65000000000003,0.647
agua,5,493.98,0.744
agua,6,480.985,0.724
agua,7,548.675,0.826
agua,8,454.775,0.685
agua,9,492.855,0.742
agua,10,591.365,0.891
agua,11,741.575,1.117
agua,12,668.465,1.007
agua,13,651.325,0.981
agua,14,732.695,1.103
agua,15,792.995,1.194
agua,16,909.775,1.37
agua,17,784.9200000000001,1.182
agua,18,832.065,1.253
agua,19,771.97,1.163
agua,20,828.4300000000001,1.248
agua,21,789.5699999999999,1.189
agua,22,797.655,1.201
agua,23,802.7650000000001,1.209
agua,24,710.11,1.069
agua,25,854.0799999999999,1.286
agua,26,811.7650000000001,1.222
agua,27,641.135,0.965
agua,28,676.9000000000001,1.019
agua,29,748.2950000000001,1.127
agua,30,778.1700000000001,1.172
agua,31,613.89,0.924
agua,32,608.96,0.917
agua,33,646.405,0.973
agua,34,633.6600000000001,0.954
agua,35,513.595,0.773
agua,36,518.3299999999999,0.781
agua,37,685.6600000000001,1.033
agua,38,620.135,0.934
agua,39,545.235,0.821
agua,40,572.0550000000001,0.861
agua,41,568.2,0.856
agua,42,820.875,1.236
agua,43,749.01,1.128
agua,44,749.5699999999999,1.129
agua,45,710.365,1.07
agua,46,725.455,1.092
agua,47,771.255,1.161
agua,48,659.83,0.994
agua,49,773.58,1.165
agua,50,775.9950000000001,1.169
agua,51,605.9300000000001,0.912
agua,52,678.52,1.022
biscoito,1,734.47,0.557
biscoito,2,795.465,0.603
biscoito,3,809.855,0.614
biscoito,4,819.53,0.622
biscoito,5,783.5,0.594
biscoito,6,962.41,0.73
biscoito,7,1078.915,0.818
biscoito,8,1000.415,0.759
biscoito,9,1077.44,0.817
biscoito,10,967.78,0.734
biscoito,11,1200.58,0.911
biscoito,12,1368.5149999999999,1.038
biscoito,13,1201.185,0.911
biscoito,14,1180.615,0.895
biscoito,15,1284.1100000000001,0.974
biscoito,16,1454.355,1.103
biscoito,17,1343.49,1.019
biscoito,18,1244.03,0.944
biscoito,19,1214.21,0.921
biscoito,20,1411.8249999999998,1.071
biscoito,21,1372.2150000000001,1.041
biscoito,22,1504.355,1.141
biscoito,23,1423.0749999999998,1.079
biscoito,24,1434.045,1.088
biscoito,25,1622.325,1.23
biscoito,26,1386.475,1.052
biscoito,27,1417.1799999999998,1.075
biscoito,28,1438.7,1.091
biscoito,29,1590.63,1.206
biscoito,30,1393.47,1.057
biscoito,31,1432.5,1.086
biscoito,32,1400.245,1.062
biscoito,33,1563.43,1.186
biscoito,34,1357.0700000000002,1.029
biscoito,35,1521.58,1.154
biscoito,36,1318.96,1.0
biscoito,37,1572.025,1.192
biscoito,38,1670.16,1.267
biscoito,39,1482.645,1.124
biscoito,40,1595.51,1.21
biscoito,41,1083.675,0.822
biscoito,42,1485.115,1.126
biscoito,43,1456.685,1.105
biscoito,44,1436.66,1.09
biscoito,45,1417.675,1.075
biscoito,46,1707.35,1.295
biscoito,47,1691.94,1.283
biscoito,48,1441.425,1.093
biscoito,49,1321.81,1.003
biscoito,50,1378.7,1.046
biscoito,51,1317.51,0.999
biscoito,52,1394.39,1.058
cafe,1,329.565,0.52
cafe,2,435.78999999999996,0.688
cafe,3,410.50500000000005,0.648
cafe,4,371.78999999999996,0.587
cafe,5,323.12,0.51
cafe,6,401.07,0.633
cafe,7,476.69000000000005,0.753
