data,indice,termo,categoria,datas_alvo
2021-05-09,58,cerveja,cerveja,fim_ano;copa;carnaval
2021-05-16,59,cerveja,cerveja,fim_ano;copa;carnaval
2021-05-23,59,cerveja,cerveja,fim_ano;copa;carnaval
2021-05-30,70,cerveja,cerveja,fim_ano;copa;carnaval
2021-06-06,62,cerveja,cerveja,fim_ano;copa;carnaval
2021-06-13,59,cerveja,cerveja,fim_ano;copa;carnaval
2021-06-20,62,cerveja,cerveja,fim_ano;copa;carnaval
2021-06-27,55,cerveja,cerveja,fim_ano;copa;carnaval
2021-07-04,64,cerveja,cerveja,fim_ano;copa;carnaval
2021-07-11,63,cerveja,cerveja,fim_ano;copa;carnaval
2021-07-18,60,cerveja,cerveja,fim_ano;copa;carnaval
2021-07-25,57,cerveja,cerveja,fim_ano;copa;carnaval
2021-08-01,74,cerveja,cerveja,fim_ano;copa;carnaval
2021-08-08,68,cerveja,cerveja,fim_ano;copa;carnaval
2021-08-15,69,cerveja,cerveja,fim_ano;copa;carnaval
2021-08-22,67,cerveja,cerveja,fim_ano;copa;carnaval
2021-08-29,62,cerveja,cerveja,fim_ano;copa;carnaval
2021-09-05,67,cerveja,cerveja,fim_ano;copa;carnaval
2021-09-12,65,cerveja,cerveja,fim_ano;copa;carnaval
2021-09-19,62,cerveja,cerveja,fim_ano;copa;carnaval
2021-09-26,66,cerveja,cerveja,fim_ano;copa;carnaval
2021-10-03,61,cerveja,cerveja,fim_ano;copa;carnaval
2021-10-10,64,cerveja,cerveja,fim_ano;copa;carnaval
2021-10-17,60,cerveja,cerveja,fim_ano;copa;carnaval
2021-10-24,60,cerveja,cerveja,fim_ano;copa;carnaval
2021-10-31,60,cerveja,cerveja,fim_ano;copa;carnaval
2021-11-07,59,cerveja,cerveja,fim_ano;copa;carnaval
2021-11-14,65,cerveja,cerveja,fim_ano;copa;carnaval
2021-11-21,66,cerveja,cerveja,fim_ano;copa;carnaval
2021-11-28,64,cerveja,cerveja,fim_ano;copa;carnaval
2021-12-05,71,cerveja,cerveja,fim_ano;copa;carnaval
2021-12-12,78,cerveja,cerveja,fim_ano;copa;carnaval
2021-12-19,100,cerveja,cerveja,fim_ano;copa;carnaval
2021-12-26,93,cerveja,cerveja,fim_ano;copa;carnaval
2022-01-02,65,cerveja,cerveja,fim_ano;copa;carnaval
2022-01-09,64,cerveja,cerveja,fim_ano;copa;carnaval
2022-01-16,65,cerveja,cerveja,fim_ano;copa;carnaval
2022-01-23,65,cerveja,cerveja,fim_ano;copa;carnaval
2022-01-30,65,cerveja,cerveja,fim_ano;copa;carnaval
2022-02-06,63,cerveja,cerveja,fim_ano;copa;carnaval
2022-02-13,66,cerveja,cerveja,fim_ano;copa;carnaval
2022-02-20,71,cerveja,cerveja,fim_ano;copa;carnaval
2022-02-27,77,cerveja,cerveja,fim_ano;copa;carnaval
2022-03-06,61,cerveja,cerveja,fim_ano;copa;carnaval
2022-03-13,61,cerveja,cerveja,fim_ano;copa;carnaval
2022-03-20,61,cerveja,cerveja,fim_ano;copa;carnaval
2022-03-27,57,cerveja,cerveja,fim_ano;copa;carnaval
2022-04-03,58,cerveja,cerveja,fim_ano;copa;carnaval
2022-04-10,62,cerveja,cerveja,fim_ano;copa;carnaval
2022-04-17,62,cerveja,cerveja,fim_ano;copa;carnaval
2022-04-24,61,cerveja,cerveja,fim_ano;copa;carnaval
2022-05-01,57,cerveja,cerveja,fim_ano;copa;carnaval
2022-05-08,59,cerveja,cerveja,fim_ano;copa;carnaval
2022-05-15,50,cerveja,cerveja,fim_ano;copa;carnaval
2022-05-22,55,cerveja,cerveja,fim_ano;copa;carnaval
2022-05-29,56,cerveja,cerveja,fim_ano;copa;carnaval
2022-06-05,58,cerveja,cerveja,fim_ano;copa;carnaval
2022-06-12,59,cerveja,cerveja,fim_ano;copa;carnaval
2022-06-19,56,cerveja,cerveja,fim_ano;copa;carnaval
2022-06-26,57,cerveja,cerveja,fim_ano;copa;carnaval
2022-07-03,59,cerveja,cerveja,fim_ano;copa;carnaval
2022-07-10,62,cerveja,cerveja,fim_ano;copa;carnaval
2022-07-17,64,cerveja,cerveja,fim_ano;copa;carnaval
2022-07-24,61,cerveja,cerveja,fim_ano;copa;carnaval
2022-07-31,68,cerveja,cerveja,fim_ano;copa;carnaval
2022-08-07,64,cerveja,cerveja,fim_ano;copa;carnaval
2022-08-14,58,cerveja,cerveja,fim_ano;copa;carnaval
2022-08-21,61,cerveja,cerveja,fim_ano;copa;carnaval
2022-08-28,57,cerveja,cerveja,fim_ano;copa;carnaval
2022-09-04,61,cerveja,cerveja,fim_ano;copa;carnaval
2022-09-11,60,cerveja,cerveja,fim_ano;copa;carnaval
2022-09-18,59,cerveja,cerveja,fim_ano;copa;carnaval
2022-09-25,55,cerveja,cerveja,fim_ano;copa;carnaval
2022-10-02,51,cerveja,cerveja,fim_ano;copa;carnaval
2022-10-09,65,cerveja,cerveja,fim_ano;copa;carnaval
2022-10-16,59,cerveja,cerveja,fim_ano;copa;carnaval
2022-10-23,64,cerveja,cerveja,fim_ano;copa;carnaval
2022-10-30,56,cerveja,cerveja,fim_ano;copa;carnaval
2022-11-06,60,cerveja,cerveja,fim_ano;copa;carnaval
2022-11-13,71,cerveja,cerveja,fim_ano;copa;carnaval
2022-11-20,77,cerveja,cerveja,fim_ano;copa;carnaval
2022-11-27,65,cerveja,cerveja,fim_ano;copa;carnaval
2022-12-04,62,cerveja,cerveja,fim_ano;copa;carnaval
2022-12-11,67,cerveja,cerveja,fim_ano;copa;carnaval
2022-12-18,82,cerveja,cerveja,fim_ano;copa;carnaval
2022-12-25,97,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-01,61,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-08,60,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-15,61,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-22,60,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-29,61,cerveja,cerveja,fim_ano;copa;carnaval
2023-02-05,59,cerveja,cerveja,fim_ano;copa;carnaval
2023-02-12,65,cerveja,cerveja,fim_ano;copa;carnaval
2023-02-19,64,cerveja,cerveja,fim_ano;copa;carnaval
2023-02-26,55,cerveja,cerveja,fim_ano;copa;carnaval
2023-03-05,57,cerveja,cerveja,fim_ano;copa;carnaval
