data,indice,termo,categoria,datas_alvo
2021-05-09,46,chocolate,chocolate,pascoa;namorados;maes
2021-05-16,47,chocolate,chocolate,pascoa;namorados;maes
2021-05-23,50,chocolate,chocolate,pascoa;namorados;maes
2021-05-30,48,chocolate,chocolate,pascoa;namorados;maes
2021-06-06,49,chocolate,chocolate,pascoa;namorados;maes
2021-06-13,47,chocolate,chocolate,pascoa;namorados;maes
2021-06-20,47,chocolate,chocolate,pascoa;namorados;maes
2021-06-27,54,chocolate,chocolate,pascoa;namorados;maes
2021-07-04,51,chocolate,chocolate,pascoa;namorados;maes
2021-07-11,43,chocolate,chocolate,pascoa;namorados;maes
2021-07-18,46,chocolate,chocolate,pascoa;namorados;maes
2021-07-25,53,chocolate,chocolate,pascoa;namorados;maes
2021-08-01,47,chocolate,chocolate,pascoa;namorados;maes
2021-08-08,42,chocolate,chocolate,pascoa;namorados;maes
2021-08-15,38,chocolate,chocolate,pascoa;namorados;maes
2021-08-22,39,chocolate,chocolate,pascoa;namorados;maes
2021-08-29,37,chocolate,chocolate,pascoa;namorados;maes
2021-09-05,40,chocolate,chocolate,pascoa;namorados;maes
2021-09-12,37,chocolate,chocolate,pascoa;namorados;maes
2021-09-19,36,chocolate,chocolate,pascoa;namorados;maes
2021-09-26,37,chocolate,chocolate,pascoa;namorados;maes
2021-10-03,36,chocolate,chocolate,pascoa;namorados;maes
2021-10-10,40,chocolate,chocolate,pascoa;namorados;maes
2021-10-17,37,chocolate,chocolate,pascoa;namorados;maes
2021-10-24,36,chocolate,chocolate,pascoa;namorados;maes
2021-10-31,36,chocolate,chocolate,pascoa;namorados;maes
2021-11-07,34,chocolate,chocolate,pascoa;namorados;maes
2021-11-14,35,chocolate,chocolate,pascoa;namorados;maes
2021-11-21,34,chocolate,chocolate,pascoa;namorados;maes
2021-11-28,34,chocolate,chocolate,pascoa;namorados;maes
2021-12-05,39,chocolate,chocolate,pascoa;namorados;maes
2021-12-12,41,chocolate,chocolate,pascoa;namorados;maes
2021-12-19,58,chocolate,chocolate,pascoa;namorados;maes
2021-12-26,45,chocolate,chocolate,pascoa;namorados;maes
2022-01-02,36,chocolate,chocolate,pascoa;namorados;maes
