data,indice,termo,categoria,datas_alvo
2021-05-09,39,energético,energetico,cotidiano
2021-05-16,37,energético,energetico,cotidiano
2021-05-23,42,energético,energetico,cotidiano
2021-05-30,43,energético,energetico,cotidiano
2021-06-06,40,energético,energetico,cotidiano
2021-06-13,44,energético,energetico,cotidiano
2021-06-20,46,energético,energetico,cotidiano
2021-06-27,40,energético,energetico,cotidiano
2021-07-04,35,energético,energetico,cotidiano
2021-07-11,37,energético,energetico,cotidiano
2021-07-18,36,energético,energetico,cotidiano
2021-07-25,34,energético,energetico,cotidiano
2021-08-01,37,energético,energetico,cotidiano
2021-08-08,42,energético,energetico,cotidiano
2021-08-15,42,energético,energetico,cotidiano
2021-08-22,43,energético,energetico,cotidiano
2021-08-29,44,energético,energetico,cotidiano
2021-09-05,46,energético,energetico,cotidiano
2021-09-12,46,energético,energetico,cotidiano
2021-09-19,47,energético,energetico,cotidiano
2021-09-26,45,energético,energetico,cotidiano
2021-10-03,42,energético,energetico,cotidiano
2021-10-10,37,energético,energetico,cotidiano
2021-10-17,40,energético,energetico,cotidiano
2021-10-24,41,energético,energetico,cotidiano
2021-10-31,42,energético,energetico,cotidiano
2021-11-07,44,energético,energetico,cotidiano
2021-11-14,46,energético,energetico,cotidiano
2021-11-21,44,energético,energetico,cotidiano
2021-11-28,49,energético,energetico,cotidiano
2021-12-05,48,energético,energetico,cotidiano
2021-12-12,48,energético,energetico,cotidiano
2021-12-19,66,energético,energetico,cotidiano
2021-12-26,82,energético,energetico,cotidiano
2022-01-02,46,energético,energetico,cotidiano
2022-01-09,44,energético,energetico,cotidiano
2022-01-16,41,energético,energetico,cotidiano
2022-01-23,44,energético,energetico,cotidiano
2022-01-30,45,energético,energetico,cotidiano
2022-02-06,43,energético,energetico,cotidiano
2022-02-13,45,energético,energetico,cotidiano
2022-02-20,54,energético,energetico,cotidiano
2022-02-27,54,energético,energetico,cotidiano
2022-03-06,49,energético,energetico,cotidiano
2022-03-13,50,energético,energetico,cotidiano
2022-03-20,51,energético,energetico,cotidiano
2022-03-27,48,energético,energetico,cotidiano
2022-04-03,53,energético,energetico,cotidiano
2022-04-10,56,energético,energetico,cotidiano
2022-04-17,51,energético,energetico,cotidiano
2022-04-24,53,energético,energetico,cotidiano
2022-05-01,53,energético,energetico,cotidiano
2022-05-08,52,energético,energetico,cotidiano
2022-05-15,46,energético,energetico,cotidiano
2022-05-22,49,energético,energetico,cotidiano
2022-05-29,51,energético,energetico,cotidiano
2022-06-05,49,energético,energetico,cotidiano
2022-06-12,49,energético,energetico,cotidiano
2022-06-19,51,energético,energetico,cotidiano
2022-06-26,50,energético,energetico,cotidiano
2022-07-03,46,energético,energetico,cotidiano
2022-07-10,50,energético,energetico,cotidiano
2022-07-17,47,energético,energetico,cotidiano
2022-07-24,47,energético,energetico,cotidiano
2022-07-31,53,energético,energetico,cotidiano
2022-08-07,51,energético,energetico,cotidiano
2022-08-14,51,energético,energetico,cotidiano
2022-08-21,53,energético,energetico,cotidiano
2022-08-28,51,energético,energetico,cotidiano
2022-09-04,52,energético,energetico,cotidiano
2022-09-11,52,energético,energetico,cotidiano
2022-09-18,52,energético,energetico,cotidiano
2022-09-25,48,energético,energetico,cotidiano
2022-10-02,45,energético,energetico,cotidiano
2022-10-09,54,energético,energetico,cotidiano
2022-10-16,52,energético,energetico,cotidiano
2022-10-23,54,energético,energetico,cotidiano
2022-10-30,41,energético,energetico,cotidiano
2022-11-06,53,energético,energetico,cotidiano
2022-11-13,54,energético,energetico,cotidiano
2022-11-20,51,energético,energetico,cotidiano
2022-11-27,50,energético,energetico,cotidiano
2022-12-04,49,energético,energetico,cotidiano
2022-12-11,52,energético,energetico,cotidiano
2022-12-18,61,energético,energetico,cotidiano
2022-12-25,82,energético,energetico,cotidiano
2023-01-01,61,energético,energetico,cotidiano
2023-01-08,46,energético,energetico,cotidiano
2023-01-15,47,energético,energetico,cotidiano
2023-01-22,46,energético,energetico,cotidiano
2023-01-29,45,energético,energetico,cotidiano
2023-02-05,46,energético,energetico,cotidiano
2023-02-12,55,energético,energetico,cotidiano
2023-02-19,52,energético,energetico,cotidiano
2023-02-26,50,energético,energetico,cotidiano
2023-03-05,51,energético,energetico,cotidiano
2023-03-12,54,energético,energetico,cotidiano
2023-03-19,52,energético,energetico,cotidiano
2023-03-26,53,energético,energetico,cotidiano
2023-04-02,51,energético,energetico,cotidiano
2023-04-09,48,energético,energetico,cotidiano
2023-04-16,47,energético,energetico,cotidiano
2023-04-23,48,energético,energetico,cotidiano
2023-04-30,52,energético,energetico,cotidiano
2023-05-07,46,energético,energetico,cotidiano
2023-05-14,47,energético,energetico,cotidiano
2023-05-21,50,energético,energetico,cotidiano
2023-05-28,48,energético,energetico,cotidiano
2023-06-04,52,energético,energetico,cotidiano
2023-06-11,48,energético,energetico,cotidiano
2023-06-18,50,energético,energetico,cotidiano
2023-06-25,48,energético,energetico,cotidiano
2023-07-02,46,energético,energetico,cotidiano
2023-07-09,43,energético,energetico,cotidiano
2023-07-16,43,energético,energetico,cotidiano
2023-07-23,43,energético,energetico,cotidiano
2023-07-30,46,energético,energetico,cotidiano
2023-08-06,46,energético,energetico,cotidiano
2023-08-13,46,energético,energetico,cotidiano
2023-08-20,47,energético,energetico,cotidiano
2023-08-27,45,energético,energetico,cotidiano
2023-09-03,52,energético,energetico,cotidiano
2023-09-10,52,energético,energetico,cotidiano
2023-09-17,55,energético,energetico,cotidiano
2023-09-24,53,energético,energetico,cotidiano
2023-10-01,48,energético,energetico,cotidiano
2023-10-08,49,energético,energetico,cotidiano
2023-10-15,47,energético,energetico,cotidiano
2023-10-22,53,energético,energetico,cotidiano
2023-10-29,49,energético,energetico,cotidiano
2023-11-05,59,energético,energetico,cotidiano
2023-11-12,70,energético,energetico,cotidiano
2023-11-19,54,energético,energetico,cotidiano
2023-11-26,51,energético,energetico,cotidiano
2023-12-03,58,energético,energetico,cotidiano
2023-12-10,60,energético,energetico,cotidiano
2023-12-17,65,energético,energetico,cotidiano
2023-12-24,91,energético,energetico,cotidiano
2023-12-31,78,energético,energetico,cotidiano
2024-01-07,57,energético,energetico,cotidiano
2024-01-14,56,energético,energetico,cotidiano
2024-01-21,47,energético,energetico,cotidiano
2024-01-28,43,energético,energetico,cotidiano
2024-02-04,52,energético,energetico,cotidiano
2024-02-11,51,energético,energetico,cotidiano
2024-02-18,42,energético,energetico,cotidiano
2024-02-25,46,energético,energetico,cotidiano
2024-03-03,46,energético,energetico,cotidiano
2024-03-10,51,energético,energetico,cotidiano
2024-03-17,49,energético,energetico,cotidiano
2024-03-24,43,energético,energetico,cotidiano
2024-03-31,50,energético,energetico,cotidiano
2024-04-07,49,energético,energetico,cotidiano
2024-04-14,46,energético,energetico,cotidiano
2024-04-21,47,energético,energetico,cotidiano
2024-04-28,50,energético,energetico,cotidiano
2024-05-05,45,energético,energetico,cotidiano
2024-05-12,47,energético,energetico,cotidiano
2024-05-19,44,energético,energetico,cotidiano
2024-05-26,44,energético,energetico,cotidiano
2024-06-02,49,energético,energetico,cotidiano
2024-06-09,50,energético,energetico,cotidiano
2024-06-16,49,energético,energetico,cotidiano
2024-06-23,47,energético,energetico,cotidiano
2024-06-30,44,energético,energetico,cotidiano
2024-07-07,41,energético,energetico,cotidiano
2024-07-14,45,energético,energetico,cotidiano
2024-07-21,42,energético,energetico,cotidiano
2024-07-28,40,energético,energetico,cotidiano
2024-08-04,48,energético,energetico,cotidiano
2024-08-11,48,energético,energetico,cotidiano
2024-08-18,47,energético,energetico,cotidiano
