data,indice,termo,categoria,datas_alvo
2021-05-09,10,espumante,espumante,reveillon;namorados
2021-05-16,10,espumante,espumante,reveillon;namorados
2021-05-23,10,espumante,espumante,reveillon;namorados
2021-05-30,11,espumante,espumante,reveillon;namorados
2021-06-06,14,espumante,espumante,reveillon;namorados
2021-06-13,10,espumante,espumante,reveillon;namorados
2021-06-20,10,espumante,espumante,reveillon;namorados
2021-06-27,9,espumante,espumante,reveillon;namorados
2021-07-04,11,espumante,espumante,reveillon;namorados
2021-07-11,11,espumante,espumante,reveillon;namorados
2021-07-18,11,espumante,espumante,reveillon;namorados
2021-07-25,11,espumante,espumante,reveillon;namorados
2021-08-01,11,espumante,espumante,reveillon;namorados
2021-08-08,11,espumante,espumante,reveillon;namorados
2021-08-15,12,espumante,espumante,reveillon;namorados
2021-08-22,12,espumante,espumante,reveillon;namorados
2021-08-29,12,espumante,espumante,reveillon;namorados
2021-09-05,13,espumante,espumante,reveillon;namorados
2021-09-12,12,espumante,espumante,reveillon;namorados
2021-09-19,12,espumante,espumante,reveillon;namorados
2021-09-26,13,espumante,espumante,reveillon;namorados
2021-10-03,12,espumante,espumante,reveillon;namorados
2021-10-10,13,espumante,espumante,reveillon;namorados
2021-10-17,13,espumante,espumante,reveillon;namorados
2021-10-24,13,espumante,espumante,reveillon;namorados
2021-10-31,16,espumante,espumante,reveillon;namorados
2021-11-07,17,espumante,espumante,reveillon;namorados
2021-11-14,20,espumante,espumante,reveillon;namorados
2021-11-21,25,espumante,espumante,reveillon;namorados
2021-11-28,26,espumante,espumante,reveillon;namorados
2021-12-05,33,espumante,espumante,reveillon;namorados
2021-12-12,40,espumante,espumante,reveillon;namorados
2021-12-19,58,espumante,espumante,reveillon;namorados
2021-12-26,88,espumante,espumante,reveillon;namorados
2022-01-02,25,espumante,espumante,reveillon;namorados
2022-01-09,16,espumante,espumante,reveillon;namorados
2022-01-16,13,espumante,espumante,reveillon;namorados
2022-01-23,13,espumante,espumante,reveillon;namorados
2022-01-30,12,espumante,espumante,reveillon;namorados
2022-02-06,12,espumante,espumante,reveillon;namorados
2022-02-13,12,espumante,espumante,reveillon;namorados
2022-02-20,12,espumante,espumante,reveillon;namorados
2022-02-27,14,espumante,espumante,reveillon;namorados
2022-03-06,12,espumante,espumante,reveillon;namorados
2022-03-13,12,espumante,espumante,reveillon;namorados
2022-03-20,11,espumante,espumante,reveillon;namorados
2022-03-27,10,espumante,espumante,reveillon;namorados
2022-04-03,11,espumante,espumante,reveillon;namorados
2022-04-10,11,espumante,espumante,reveillon;namorados
2022-04-17,12,espumante,espumante,reveillon;namorados
2022-04-24,12,espumante,espumante,reveillon;namorados
2022-05-01,12,espumante,espumante,reveillon;namorados
2022-05-08,11,espumante,espumante,reveillon;namorados
2022-05-15,10,espumante,espumante,reveillon;namorados
2022-05-22,11,espumante,espumante,reveillon;namorados
2022-05-29,12,espumante,espumante,reveillon;namorados
2022-06-05,13,espumante,espumante,reveillon;namorados
2022-06-12,13,espumante,espumante,reveillon;namorados
2022-06-19,9,espumante,espumante,reveillon;namorados
2022-06-26,11,espumante,espumante,reveillon;namorados
2022-07-03,11,espumante,espumante,reveillon;namorados
2022-07-10,12,espumante,espumante,reveillon;namorados
2022-07-17,12,espumante,espumante,reveillon;namorados
2022-07-24,12,espumante,espumante,reveillon;namorados
2022-07-31,12,espumante,espumante,reveillon;namorados
2022-08-07,12,espumante,espumante,reveillon;namorados
2022-08-14,12,espumante,espumante,reveillon;namorados
2022-08-21,12,espumante,espumante,reveillon;namorados
2022-08-28,12,espumante,espumante,reveillon;namorados
2022-09-04,12,espumante,espumante,reveillon;namorados
2022-09-11,10,espumante,espumante,reveillon;namorados
