data,indice,termo,categoria,datas_alvo
2021-05-09,61,refrigerante,refrigerante,verao;copa
2021-05-16,57,refrigerante,refrigerante,verao;copa
2021-05-23,56,refrigerante,refrigerante,verao;copa
2021-05-30,62,refrigerante,refrigerante,verao;copa
2021-06-06,62,refrigerante,refrigerante,verao;copa
2021-06-13,68,refrigerante,refrigerante,verao;copa
2021-06-20,65,refrigerante,refrigerante,verao;copa
2021-06-27,59,refrigerante,refrigerante,verao;copa
2021-07-04,63,refrigerante,refrigerante,verao;copa
2021-07-11,58,refrigerante,refrigerante,verao;copa
2021-07-18,63,refrigerante,refrigerante,verao;copa
2021-07-25,65,refrigerante,refrigerante,verao;copa
2021-08-01,67,refrigerante,refrigerante,verao;copa
2021-08-08,68,refrigerante,refrigerante,verao;copa
2021-08-15,66,refrigerante,refrigerante,verao;copa
2021-08-22,67,refrigerante,refrigerante,verao;copa
2021-08-29,67,refrigerante,refrigerante,verao;copa
2021-09-05,67,refrigerante,refrigerante,verao;copa
2021-09-12,69,refrigerante,refrigerante,verao;copa
2021-09-19,75,refrigerante,refrigerante,verao;copa
2021-09-26,72,refrigerante,refrigerante,verao;copa
2021-10-03,87,refrigerante,refrigerante,verao;copa
2021-10-10,74,refrigerante,refrigerante,verao;copa
2021-10-17,67,refrigerante,refrigerante,verao;copa
2021-10-24,71,refrigerante,refrigerante,verao;copa
2021-10-31,63,refrigerante,refrigerante,verao;copa
2021-11-07,74,refrigerante,refrigerante,verao;copa
2021-11-14,72,refrigerante,refrigerante,verao;copa
2021-11-21,72,refrigerante,refrigerante,verao;copa
2021-11-28,73,refrigerante,refrigerante,verao;copa
2021-12-05,71,refrigerante,refrigerante,verao;copa
2021-12-12,74,refrigerante,refrigerante,verao;copa
2021-12-19,72,refrigerante,refrigerante,verao;copa
2021-12-26,78,refrigerante,refrigerante,verao;copa
2022-01-02,75,refrigerante,refrigerante,verao;copa
2022-01-09,73,refrigerante,refrigerante,verao;copa
2022-01-16,71,refrigerante,refrigerante,verao;copa
2022-01-23,72,refrigerante,refrigerante,verao;copa
2022-01-30,65,refrigerante,refrigerante,verao;copa
2022-02-06,68,refrigerante,refrigerante,verao;copa
2022-02-13,63,refrigerante,refrigerante,verao;copa
2022-02-20,68,refrigerante,refrigerante,verao;copa
2022-02-27,74,refrigerante,refrigerante,verao;copa
2022-03-06,68,refrigerante,refrigerante,verao;copa
2022-03-13,76,refrigerante,refrigerante,verao;copa
2022-03-20,79,refrigerante,refrigerante,verao;copa
2022-03-27,75,refrigerante,refrigerante,verao;copa
2022-04-03,73,refrigerante,refrigerante,verao;copa
2022-04-10,67,refrigerante,refrigerante,verao;copa
2022-04-17,67,refrigerante,refrigerante,verao;copa
2022-04-24,75,refrigerante,refrigerante,verao;copa
2022-05-01,75,refrigerante,refrigerante,verao;copa
2022-05-08,76,refrigerante,refrigerante,verao;copa
2022-05-15,63,refrigerante,refrigerante,verao;copa
2022-05-22,63,refrigerante,refrigerante,verao;copa
2022-05-29,73,refrigerante,refrigerante,verao;copa
2022-06-05,69,refrigerante,refrigerante,verao;copa
2022-06-12,73,refrigerante,refrigerante,verao;copa
2022-06-19,71,refrigerante,refrigerante,verao;copa
2022-06-26,69,refrigerante,refrigerante,verao;copa
2022-07-03,62,refrigerante,refrigerante,verao;copa
2022-07-10,73,refrigerante,refrigerante,verao;copa
2022-07-17,73,refrigerante,refrigerante,verao;copa
2022-07-24,69,refrigerante,refrigerante,verao;copa
2022-07-31,73,refrigerante,refrigerante,verao;copa
2022-08-07,72,refrigerante,refrigerante,verao;copa
2022-08-14,77,refrigerante,refrigerante,verao;copa
2022-08-21,73,refrigerante,refrigerante,verao;copa
2022-08-28,74,refrigerante,refrigerante,verao;copa
2022-09-04,68,refrigerante,refrigerante,verao;copa
2022-09-11,71,refrigerante,refrigerante,verao;copa
2022-09-18,76,refrigerante,refrigerante,verao;copa
2022-09-25,69,refrigerante,refrigerante,verao;copa
2022-10-02,58,refrigerante,refrigerante,verao;copa
2022-10-09,76,refrigerante,refrigerante,verao;copa
2022-10-16,75,refrigerante,refrigerante,verao;copa
2022-10-23,75,refrigerante,refrigerante,verao;copa
2022-10-30,67,refrigerante,refrigerante,verao;copa
2022-11-06,71,refrigerante,refrigerante,verao;copa
2022-11-13,76,refrigerante,refrigerante,verao;copa
2022-11-20,65,refrigerante,refrigerante,verao;copa
2022-11-27,66,refrigerante,refrigerante,verao;copa
2022-12-04,69,refrigerante,refrigerante,verao;copa
2022-12-11,75,refrigerante,refrigerante,verao;copa
2022-12-18,68,refrigerante,refrigerante,verao;copa
2022-12-25,74,refrigerante,refrigerante,verao;copa
2023-01-01,70,refrigerante,refrigerante,verao;copa
2023-01-08,71,refrigerante,refrigerante,verao;copa
2023-01-15,69,refrigerante,refrigerante,verao;copa
2023-01-22,70,refrigerante,refrigerante,verao;copa
2023-01-29,70,refrigerante,refrigerante,verao;copa
2023-02-05,70,refrigerante,refrigerante,verao;copa
2023-02-12,73,refrigerante,refrigerante,verao;copa
2023-02-19,70,refrigerante,refrigerante,verao;copa
2023-02-26,73,refrigerante,refrigerante,verao;copa
2023-03-05,71,refrigerante,refrigerante,verao;copa
2023-03-12,73,refrigerante,refrigerante,verao;copa
2023-03-19,76,refrigerante,refrigerante,verao;copa
2023-03-26,75,refrigerante,refrigerante,verao;copa
2023-04-02,71,refrigerante,refrigerante,verao;copa
2023-04-09,67,refrigerante,refrigerante,verao;copa
2023-04-16,77,refrigerante,refrigerante,verao;copa
2023-04-23,64,refrigerante,refrigerante,verao;copa
2023-04-30,65,refrigerante,refrigerante,verao;copa
2023-05-07,67,refrigerante,refrigerante,verao;copa
