data,indice,termo,categoria,datas_alvo
2021-05-09,52,vinho,vinho,maes;namorados;natal
2021-05-16,50,vinho,vinho,maes;namorados;natal
2021-05-23,50,vinho,vinho,maes;namorados;natal
2021-05-30,56,vinho,vinho,maes;namorados;natal
2021-06-06,61,vinho,vinho,maes;namorados;natal
2021-06-13,61,vinho,vinho,maes;namorados;natal
2021-06-20,56,vinho,vinho,maes;namorados;natal
2021-06-27,62,vinho,vinho,maes;namorados;natal
2021-07-04,58,vinho,vinho,maes;namorados;natal
2021-07-11,52,vinho,vinho,maes;namorados;natal
2021-07-18,59,vinho,vinho,maes;namorados;natal
2021-07-25,56,vinho,vinho,maes;namorados;natal
2021-08-01,52,vinho,vinho,maes;namorados;natal
2021-08-08,49,vinho,vinho,maes;namorados;natal
2021-08-15,43,vinho,vinho,maes;namorados;natal
2021-08-22,42,vinho,vinho,maes;namorados;natal
2021-08-29,40,vinho,vinho,maes;namorados;natal
2021-09-05,39,vinho,vinho,maes;namorados;natal
2021-09-12,38,vinho,vinho,maes;namorados;natal
2021-09-19,36,vinho,vinho,maes;namorados;natal
2021-09-26,40,vinho,vinho,maes;namorados;natal
2021-10-03,37,vinho,vinho,maes;namorados;natal
2021-10-10,42,vinho,vinho,maes;namorados;natal
2021-10-17,39,vinho,vinho,maes;namorados;natal
2021-10-24,40,vinho,vinho,maes;namorados;natal
2021-10-31,39,vinho,vinho,maes;namorados;natal
2021-11-07,38,vinho,vinho,maes;namorados;natal
2021-11-14,42,vinho,vinho,maes;namorados;natal
2021-11-21,42,vinho,vinho,maes;namorados;natal
2021-11-28,41,vinho,vinho,maes;namorados;natal
2021-12-05,46,vinho,vinho,maes;namorados;natal
2021-12-12,67,vinho,vinho,maes;namorados;natal
2021-12-19,80,vinho,vinho,maes;namorados;natal
2021-12-26,65,vinho,vinho,maes;namorados;natal
2022-01-02,43,vinho,vinho,maes;namorados;natal
2022-01-09,44,vinho,vinho,maes;namorados;natal
2022-01-16,36,vinho,vinho,maes;namorados;natal
2022-01-23,36,vinho,vinho,maes;namorados;natal
2022-01-30,41,vinho,vinho,maes;namorados;natal
2022-02-06,37,vinho,vinho,maes;namorados;natal
2022-02-13,38,vinho,vinho,maes;namorados;natal
2022-02-20,36,vinho,vinho,maes;namorados;natal
2022-02-27,39,vinho,vinho,maes;namorados;natal
2022-03-06,34,vinho,vinho,maes;namorados;natal
2022-03-13,35,vinho,vinho,maes;namorados;natal
2022-03-20,38,vinho,vinho,maes;namorados;natal
2022-03-27,40,vinho,vinho,maes;namorados;natal
2022-04-03,39,vinho,vinho,maes;namorados;natal
2022-04-10,54,vinho,vinho,maes;namorados;natal
2022-04-17,55,vinho,vinho,maes;namorados;natal
2022-04-24,44,vinho,vinho,maes;namorados;natal
2022-05-01,47,vinho,vinho,maes;namorados;natal
2022-05-08,46,vinho,vinho,maes;namorados;natal
2022-05-15,60,vinho,vinho,maes;namorados;natal
2022-05-22,55,vinho,vinho,maes;namorados;natal
2022-05-29,57,vinho,vinho,maes;namorados;natal
2022-06-05,65,vinho,vinho,maes;namorados;natal
2022-06-12,74,vinho,vinho,maes;namorados;natal
2022-06-19,59,vinho,vinho,maes;namorados;natal
2022-06-26,55,vinho,vinho,maes;namorados;natal
2022-07-03,52,vinho,vinho,maes;namorados;natal
2022-07-10,49,vinho,vinho,maes;namorados;natal
2022-07-17,50,vinho,vinho,maes;namorados;natal
2022-07-24,49,vinho,vinho,maes;namorados;natal
2022-07-31,48,vinho,vinho,maes;namorados;natal
2022-08-07,49,vinho,vinho,maes;namorados;natal
2022-08-14,49,vinho,vinho,maes;namorados;natal
2022-08-21,48,vinho,vinho,maes;namorados;natal
2022-08-28,42,vinho,vinho,maes;namorados;natal
2022-09-04,45,vinho,vinho,maes;namorados;natal
2022-09-11,44,vinho,vinho,maes;namorados;natal
2022-09-18,42,vinho,vinho,maes;namorados;natal
2022-09-25,42,vinho,vinho,maes;namorados;natal
2022-10-02,34,vinho,vinho,maes;namorados;natal
2022-10-09,42,vinho,vinho,maes;namorados;natal
2022-10-16,39,vinho,vinho,maes;namorados;natal
2022-10-23,39,vinho,vinho,maes;namorados;natal
2022-10-30,38,vinho,vinho,maes;namorados;natal
2022-11-06,40,vinho,vinho,maes;namorados;natal
2022-11-13,45,vinho,vinho,maes;namorados;natal
2022-11-20,40,vinho,vinho,maes;namorados;natal
2022-11-27,40,vinho,vinho,maes;namorados;natal
2022-12-04,41,vinho,vinho,maes;namorados;natal
2022-12-11,55,vinho,vinho,maes;namorados;natal
2022-12-18,86,vinho,vinho,maes;namorados;natal
2022-12-25,81,vinho,vinho,maes;namorados;natal
2023-01-01,54,vinho,vinho,maes;namorados;natal
2023-01-08,44,vinho,vinho,maes;namorados;natal
2023-01-15,43,vinho,vinho,maes;namorados;natal
2023-01-22,41,vinho,vinho,maes;namorados;natal
2023-01-29,39,vinho,vinho,maes;namorados;natal
2023-02-05,38,vinho,vinho,maes;namorados;natal
2023-02-12,36,vinho,vinho,maes;namorados;natal
2023-02-19,42,vinho,vinho,maes;namorados;natal
2023-02-26,39,vinho,vinho,maes;namorados;natal
2023-03-05,39,vinho,vinho,maes;namorados;natal
2023-03-12,41,vinho,vinho,maes;namorados;natal
2023-03-19,39,vinho,vinho,maes;namorados;natal
2023-03-26,39,vinho,vinho,maes;namorados;natal
2023-04-02,60,vinho,vinho,maes;namorados;natal
2023-04-09,44,vinho,vinho,maes;namorados;natal
2023-04-16,50,vinho,vinho,maes;namorados;natal
2023-04-23,45,vinho,vinho,maes;namorados;natal
2023-04-30,49,vinho,vinho,maes;namorados;natal
2023-05-07,48,vinho,vinho,maes;namorados;natal
2023-05-14,55,vinho,vinho,maes;namorados;natal
2023-05-21,52,vinho,vinho,maes;namorados;natal
2023-05-28,55,vinho,vinho,maes;namorados;natal
2023-06-04,63,vinho,vinho,maes;namorados;natal
2023-06-11,80,vinho,vinho,maes;namorados;natal
2023-06-18,67,vinho,vinho,maes;namorados;natal
2023-06-25,57,vinho,vinho,maes;namorados;natal
2023-07-02,61,vinho,vinho,maes;namorados;natal
2023-07-09,57,vinho,vinho,maes;namorados;natal
2023-07-16,59,vinho,vinho,maes;namorados;natal
2023-07-23,54,vinho,vinho,maes;namorados;natal
2023-07-30,51,vinho,vinho,maes;namorados;natal
2023-08-06,48,vinho,vinho,maes;namorados;natal
2023-08-13,48,vinho,vinho,maes;namorados;natal
2023-08-20,45,vinho,vinho,maes;namorados;natal
2023-08-27,48,vinho,vinho,maes;namorados;natal
2023-09-03,47,vinho,vinho,maes;namorados;natal
2023-09-10,45,vinho,vinho,maes;namorados;natal
2023-09-17,43,vinho,vinho,maes;namorados;natal
2023-09-24,40,vinho,vinho,maes;namorados;natal
2023-10-01,41,vinho,vinho,maes;namorados;natal
2023-10-08,44,vinho,vinho,maes;namorados;natal
2023-10-15,42,vinho,vinho,maes;namorados;natal
2023-10-22,41,vinho,vinho,maes;namorados;natal
2023-10-29,45,vinho,vinho,maes;namorados;natal
2023-11-05,41,vinho,vinho,maes;namorados;natal
2023-11-12,44,vinho,vinho,maes;namorados;natal
2023-11-19,60,vinho,vinho,maes;namorados;natal
2023-11-26,45,vinho,vinho,maes;namorados;natal
2023-12-03,49,vinho,vinho,maes;namorados;natal
2023-12-10,57,vinho,vinho,maes;namorados;natal
2023-12-17,76,vinho,vinho,maes;namorados;natal
2023-12-24,83,vinho,vinho,maes;namorados;natal
2023-12-31,60,vinho,vinho,maes;namorados;natal
2024-01-07,46,vinho,vinho,maes;namorados;natal
2024-01-14,41,vinho,vinho,maes;namorados;natal
2024-01-21,42,vinho,vinho,maes;namorados;natal
2024-01-28,41,vinho,vinho,maes;namorados;natal
2024-02-04,38,vinho,vinho,maes;namorados;natal
2024-02-11,39,vinho,vinho,maes;namorados;natal
2024-02-18,37,vinho,vinho,maes;namorados;natal
2024-02-25,37,vinho,vinho,maes;namorados;natal
