data,indice,termo,categoria,datas_alvo
2021-05-09,28,whisky,whisky,pais;natal
2021-05-16,26,whisky,whisky,pais;natal
2021-05-23,27,whisky,whisky,pais;natal
2021-05-30,31,whisky,whisky,pais;natal
2021-06-06,30,whisky,whisky,pais;natal
2021-06-13,30,whisky,whisky,pais;natal
2021-06-20,32,whisky,whisky,pais;natal
2021-06-27,28,whisky,whisky,pais;natal
2021-07-04,31,whisky,whisky,pais;natal
2021-07-11,30,whisky,whisky,pais;natal
2021-07-18,31,whisky,whisky,pais;natal
2021-07-25,31,whisky,whisky,pais;natal
2021-08-01,40,whisky,whisky,pais;natal
2021-08-08,33,whisky,whisky,pais;natal
2021-08-15,29,whisky,whisky,pais;natal
2021-08-22,33,whisky,whisky,pais;natal
2021-08-29,29,whisky,whisky,pais;natal
2021-09-05,34,whisky,whisky,pais;natal
2021-09-12,29,whisky,whisky,pais;natal
2021-09-19,31,whisky,whisky,pais;natal
2021-09-26,33,whisky,whisky,pais;natal
2021-10-03,30,whisky,whisky,pais;natal
2021-10-10,35,whisky,whisky,pais;natal
2021-10-17,32,whisky,whisky,pais;natal
2021-10-24,34,whisky,whisky,pais;natal
2021-10-31,48,whisky,whisky,pais;natal
2021-11-07,40,whisky,whisky,pais;natal
2021-11-14,45,whisky,whisky,pais;natal
2021-11-21,51,whisky,whisky,pais;natal
2021-11-28,45,whisky,whisky,pais;natal
2021-12-05,47,whisky,whisky,pais;natal
2021-12-12,56,whisky,whisky,pais;natal
2021-12-19,84,whisky,whisky,pais;natal
2021-12-26,90,whisky,whisky,pais;natal
2022-01-02,50,whisky,whisky,pais;natal
2022-01-09,41,whisky,whisky,pais;natal
2022-01-16,35,whisky,whisky,pais;natal
2022-01-23,37,whisky,whisky,pais;natal
2022-01-30,34,whisky,whisky,pais;natal
2022-02-06,33,whisky,whisky,pais;natal
2022-02-13,35,whisky,whisky,pais;natal
2022-02-20,36,whisky,whisky,pais;natal
2022-02-27,38,whisky,whisky,pais;natal
2022-03-06,31,whisky,whisky,pais;natal
2022-03-13,32,whisky,whisky,pais;natal
2022-03-20,33,whisky,whisky,pais;natal
2022-03-27,33,whisky,whisky,pais;natal
2022-04-03,33,whisky,whisky,pais;natal
2022-04-10,34,whisky,whisky,pais;natal
2022-04-17,37,whisky,whisky,pais;natal
2022-04-24,34,whisky,whisky,pais;natal
2022-05-01,34,whisky,whisky,pais;natal
2022-05-08,34,whisky,whisky,pais;natal
2022-05-15,35,whisky,whisky,pais;natal
2022-05-22,31,whisky,whisky,pais;natal
2022-05-29,36,whisky,whisky,pais;natal
2022-06-05,40,whisky,whisky,pais;natal
