periodo,ano,mes,indice
200301,2003,1,47.23451
200302,2003,2,48.54952
200303,2003,3,47.18111
200304,2003,4,47.2463
200305,2003,5,46.56855
200306,2003,6,47.03847
200307,2003,7,47.73549
200308,2003,8,47.95215
200309,2003,9,48.95399
200310,2003,10,49.49406
200311,2003,11,50.22369
200312,2003,12,50.26935
200401,2004,1,50.17081
200402,2004,2,52.65542
200403,2004,3,52.39283
200404,2004,4,52.64555
200405,2004,5,53.58171
200406,2004,6,54.19181
200407,2004,7,53.85418
200408,2004,8,53.57588
200409,2004,9,53.90287
200410,2004,10,54.02098
200411,2004,11,53.66883
200412,2004,12,55.73719
200501,2005,1,55.11864
200502,2005,2,54.27492
200503,2005,3,54.62204
200504,2005,4,54.48523
200505,2005,5,55.06816
200506,2005,6,54.94546
200507,2005,7,55.20884
200508,2005,8,55.47524
200509,2005,9,54.50273
200510,2005,10,55.12077
200511,2005,11,55.8836
200512,2005,12,57.8542
200601,2006,1,57.1016
200602,2006,2,56.41187
200603,2006,3,56.60331
200604,2006,4,57.21395
200605,2006,5,57.78609
200606,2006,6,56.45324
200607,2006,7,59.04747
200608,2006,8,59.57641
200609,2006,9,60.06314
200610,2006,10,60.80326
200611,2006,11,61.70826
200612,2006,12,62.77393
200701,2007,1,62.01355
200702,2007,2,63.09368
200703,2007,3,63.809
200704,2007,4,65.67236
200705,2007,5,65.79103
200706,2007,6,66.23856
200707,2007,7,66.76683
200708,2007,8,68.14486
200709,2007,9,68.58812
200710,2007,10,69.69675
200711,2007,11,70.21
200712,2007,12,70.18168
200801,2008,1,71.16772
200802,2008,2,71.46749
200803,2008,3,72.72312
200804,2008,4,74.9794
200805,2008,5,74.57357
200806,2008,6,75.60436
200807,2008,7,76.55157
200808,2008,8,74.07713
200809,2008,9,77.49013
200810,2008,10,71.99289
200811,2008,11,69.00973
200812,2008,12,70.06474
200901,2009,1,73.05081
200902,2009,2,75.35868
200903,2009,3,76.60605
200904,2009,4,74.75923
200905,2009,5,76.76251
200906,2009,6,83.11512
200907,2009,7,76.98799
200908,2009,8,78.52039
200909,2009,9,84.71818
200910,2009,10,80.19206
200911,2009,11,79.96152
200912,2009,12,80.1627
201001,2010,1,81.93124
201002,2010,2,85.47322
201003,2010,3,91.85288
201004,2010,4,83.5346
201005,2010,5,84.51104
201006,2010,6,86.01957
201007,2010,7,86.53252
201008,2010,8,89.21281
201009,2010,9,89.86325
201010,2010,10,90.82609
201011,2010,11,91.58496
201012,2010,12,92.20074
201101,2011,1,91.11411
201102,2011,2,93.27352
201103,2011,3,93.88619
201104,2011,4,93.894
201105,2011,5,95.36496
201106,2011,6,94.22328
201107,2011,7,94.45575
201108,2011,8,92.73289
201109,2011,9,93.49637
201110,2011,10,92.58979
201111,2011,11,94.46384
201112,2011,12,96.1364
201201,2012,1,97.76129
201202,2012,2,97.63639
201203,2012,3,98.46662
201204,2012,4,98.28564
201205,2012,5,98.91089
201206,2012,6,105.63834
201207,2012,7,103.94139
201208,2012,8,107.30043
201209,2012,9,98.0575
201210,2012,10,103.96755
201211,2012,11,100.28182
201212,2012,12,103.18201
201301,2013,1,102.54238
201302,2013,2,102.29151
201303,2013,3,103.74799
201304,2013,4,104.94969
201305,2013,5,103.83816
201306,2013,6,105.422
201307,2013,7,106.12512
201308,2013,8,106.73592
201309,2013,9,105.67762
201310,2013,10,106.25633
201311,2013,11,106.02707
201312,2013,12,105.68804
201401,2014,1,106.69933
201402,2014,2,105.22972
201403,2014,3,103.49361
201404,2014,4,104.91048
201405,2014,5,104.18166
201406,2014,6,99.477
201407,2014,7,100.93773
201408,2014,8,101.74217
201409,2014,9,102.72767
201410,2014,10,103.51323
201411,2014,11,105.34566
201412,2014,12,101.84511
201501,2015,1,101.21236
201502,2015,2,98.84745
201503,2015,3,97.45366
201504,2015,4,96.25206
201505,2015,5,95.2025
201506,2015,6,94.06815
201507,2015,7,93.66961
201508,2015,8,92.48891
201509,2015,9,91.43116
201510,2015,10,91.22385
201511,2015,11,90.76055
201512,2015,12,90.95368
201601,2016,1,88.55346
201602,2016,2,89.72573
201603,2016,3,88.41524
201604,2016,4,86.94575
201605,2016,5,87.04214
201606,2016,6,85.36255
201607,2016,7,85.01395
201608,2016,8,83.80481
201609,2016,9,83.15744
201610,2016,10,83.99729
201611,2016,11,84.22605
201612,2016,12,84.91582
201701,2017,1,88.60541
201702,2017,2,88.76605
201703,2017,3,86.54711
201704,2017,4,88.53128
201705,2017,5,88.42652
201706,2017,6,89.78137
201707,2017,7,89.73167
201708,2017,8,90.13578
201709,2017,9,90.77713
201710,2017,10,90.04053
201711,2017,11,91.3051
201712,2017,12,93.10166
201801,2018,1,93.30245
201802,2018,2,93.79873
201803,2018,3,94.28726
201804,2018,4,95.89744
201805,2018,5,90.56036
201806,2018,6,92.93959
201807,2018,7,91.52182
201808,2018,8,95.61961
201809,2018,9,94.67245
201810,2018,10,94.15502
201811,2018,11,95.68434
201812,2018,12,95.93563
201901,2019,1,97.20615
201902,2019,2,96.51256
201903,2019,3,97.66007
201904,2019,4,97.01043
201905,2019,5,96.61531
201906,2019,6,96.42376
201907,2019,7,96.62923
201908,2019,8,96.4569
201909,2019,9,98.23278
201910,2019,10,99.4365
201911,2019,11,99.43819
201912,2019,12,100.54479
202001,2020,1,101.02008
202002,2020,2,101.0102
202003,2020,3,87.03432
202004,2020,4,70.65156
202005,2020,5,82.57446
202006,2020,6,91.56645
202007,2020,7,97.70072
202008,2020,8,101.90484
202009,2020,9,103.51334
202010,2020,10,105.13282
202011,2020,11,105.49807
202012,2020,12,102.85611
202101,2021,1,100.40288
202102,2021,2,102.44553
202103,2021,3,94.04022
202104,2021,4,98.72263
202105,2021,5,104.43399
202106,2021,6,102.01376
202107,2021,7,104.43263
202108,2021,8,101.21418
202109,2021,9,99.47253
202110,2021,10,99.46694
202111,2021,11,100.48428
202112,2021,12,100.86768
202201,2022,1,99.64551
202202,2022,2,101.09218
202203,2022,3,100.06447
202204,2022,4,100.2498
202205,2022,5,103.01899
202206,2022,6,98.83185
202207,2022,7,99.0844
202208,2022,8,98.99062
202209,2022,9,99.69065
202210,2022,10,100.15638
202211,2022,11,99.54384
202212,2022,12,101.16221
202301,2023,1,99.89107
202302,2023,2,100.63178
202303,2023,3,105.21733
202304,2023,4,102.65763
202305,2023,5,101.25323
202306,2023,6,102.69408
202307,2023,7,101.93249
202308,2023,8,102.81154
202309,2023,9,103.12542
202310,2023,10,102.04068
202311,2023,11,104.00623
202312,2023,12,103.79461
202401,2024,1,104.94897
202402,2024,2,105.38326
202403,2024,3,104.51998
202404,2024,4,104.72923
202405,2024,5,106.04808
202406,2024,6,106.61772
202407,2024,7,107.12489
202408,2024,8,105.68351
202409,2024,9,107.04491
202410,2024,10,107.92133
202411,2024,11,105.66241
202412,2024,12,105.21771
202501,2025,1,106.93171
202502,2025,2,106.22936
202503,2025,3,108.45112
202504,2025,4,106.26045
202505,2025,5,106.3235
202506,2025,6,102.80169
202507,2025,7,104.8459
202508,2025,8,105.65816
202509,2025,9,106.08568
202510,2025,10,107.19477
202511,2025,11,107.88115
202512,2025,12,106.8699
202601,2026,1,107.86239
202602,2026,2,108.9611
