periodo,ano,mes,indice_bruto,indice_ajustado,fator_sazonal
200301,2003,1,45.76243,47.23451,0.9688346507669923
200302,2003,2,44.07447,48.54952,0.9078250413186371
200303,2003,3,44.16825,47.18111,0.9361426638754367
200304,2003,4,45.106,47.2463,0.9546990981304357
200305,2003,5,47.07529,46.56855,1.010881592834649
200306,2003,6,44.3558,47.03847,0.9429685957047499
200307,2003,7,47.73171,47.73549,0.9999208136336298
200308,2003,8,47.63794,47.95215,0.9934474262363626
200309,2003,9,47.82549,48.95399,0.9769477421554403
200310,2003,10,50.92008,49.49406,1.0288119422815587
200311,2003,11,50.35743,50.22369,1.0026628867771366
200312,2003,12,63.76732,50.26935,1.2685129208951378
200401,2004,1,48.66947,50.17081,0.9700754283217671
200402,2004,2,46.23131,52.65542,0.8779971748397412
200403,2004,3,52.51426,52.39283,1.0023176835456302
200404,2004,4,50.54498,52.64555,0.960099761518305
200405,2004,5,53.07692,53.58171,0.9905790613998695
200406,2004,6,51.95161,54.19181,0.9586616501644807
200407,2004,7,54.01467,53.85418,1.0029800843685672
200408,2004,8,53.45202,53.57588,0.9976881387669227
200409,2004,9,52.42049,53.90287,0.9724990524623272
200410,2004,10,54.57732,54.02098,1.0102985913991194
200411,2004,11,55.0462,53.66883,1.0256642449630446
200412,2004,12,70.61293,55.73719,1.2668907420700615
200501,2005,1,52.32671,55.11864,0.9493468997057982
200502,2005,2,46.60641,54.27492,0.8587098792591494
200503,2005,3,54.6711,54.62204,1.0008981722396308
200504,2005,4,52.23294,54.48523,0.9586623751060608
200505,2005,5,53.92089,55.06816,0.979166364011436
200506,2005,6,53.54579,54.94546,0.9745261937928994
200507,2005,7,54.38977,55.20884,0.9851641512482421
200508,2005,8,56.45283,55.47524,1.0176220959116176
200509,2005,9,53.45202,54.50273,0.9807218831056719
200510,2005,10,55.51508,55.12077,1.0071535647996208
200511,2005,11,57.01549,55.8836,1.0202544216908
200512,2005,12,72.95732,57.8542,1.2610548585928074
200601,2006,1,54.38977,57.1016,0.952508686271488
200602,2006,2,48.38814,56.41187,0.8577652185612709
200603,2006,3,56.82793,56.60331,1.0039683191672006
200604,2006,4,53.63957,57.21395,0.9375260753714785
200605,2006,5,58.60967,57.78609,1.0142522188298257
200606,2006,6,54.48355,56.45324,0.9651093542195275
200607,2006,7,57.95324,59.04747,0.9814686387071284
200608,2006,8,60.86028,59.57641,1.0215499725478592
200609,2006,9,58.89099,60.06314,0.980484703263932
200610,2006,10,61.51671,60.80326,1.0117337458550741
200611,2006,11,62.73579,61.70826,1.0166514174925692
200612,2006,12,77.17721,62.77393,1.2294468420250253
200701,2007,1,59.92252,62.01355,0.9662810788932418
200702,2007,2,54.20222,63.09368,0.8590752671265964
200703,2007,3,64.2362,63.809,1.006694980331928
200704,2007,4,61.70426,65.67236,0.9395773198953106
200705,2007,5,66.76813,65.79103,1.0148515686712913
200706,2007,6,63.86109,66.23856,0.9641074624810683
200707,2007,7,65.7366,66.76683,0.984569733204347
200708,2007,8,70.05028,68.14486,1.0279613165248267
200709,2007,9,65.92415,68.58812,0.9611598918296637
200710,2007,10,71.64446,69.69675,1.0279454924368783
200711,2007,11,71.73823,70.21,1.021766557470446
200712,2007,12,85.42945,70.18168,1.217261399271149
