periodo,ano,mes,indice
200301,2003,1,45.76243
200302,2003,2,44.07447
200303,2003,3,44.16825
200304,2003,4,45.106
200305,2003,5,47.07529
200306,2003,6,44.3558
200307,2003,7,47.73171
200308,2003,8,47.63794
200309,2003,9,47.82549
200310,2003,10,50.92008
200311,2003,11,50.35743
200312,2003,12,63.76732
200401,2004,1,48.66947
200402,2004,2,46.23131
200403,2004,3,52.51426
200404,2004,4,50.54498
200405,2004,5,53.07692
200406,2004,6,51.95161
200407,2004,7,54.01467
200408,2004,8,53.45202
200409,2004,9,52.42049
200410,2004,10,54.57732
200411,2004,11,55.0462
200412,2004,12,70.61293
200501,2005,1,52.32671
200502,2005,2,46.60641
200503,2005,3,54.6711
200504,2005,4,52.23294
200505,2005,5,53.92089
200506,2005,6,53.54579
200507,2005,7,54.38977
200508,2005,8,56.45283
200509,2005,9,53.45202
200510,2005,10,55.51508
200511,2005,11,57.01549
200512,2005,12,72.95732
200601,2006,1,54.38977
200602,2006,2,48.38814
200603,2006,3,56.82793
200604,2006,4,53.63957
200605,2006,5,58.60967
200606,2006,6,54.48355
200607,2006,7,57.95324
200608,2006,8,60.86028
200609,2006,9,58.89099
200610,2006,10,61.51671
200611,2006,11,62.73579
200612,2006,12,77.17721
200701,2007,1,59.92252
200702,2007,2,54.20222
200703,2007,3,64.2362
200704,2007,4,61.70426
200705,2007,5,66.76813
200706,2007,6,63.86109
200707,2007,7,65.7366
200708,2007,8,70.05028
200709,2007,9,65.92415
200710,2007,10,71.64446
200711,2007,11,71.73823
200712,2007,12,85.42945
200801,2008,1,68.54987
200802,2008,2,64.2362
200803,2008,3,71.92578
200804,2008,4,71.45691
200805,2008,5,74.64527
200806,2008,6,72.86354
200807,2008,7,76.42701
200808,2008,8,74.9266
200809,2008,9,76.42701
200810,2008,10,74.08262
200811,2008,11,68.73742
200812,2008,12,86.46098
200901,2009,1,70.51915
200902,2009,2,65.17395
200903,2009,3,76.42701
200904,2009,4,70.89425
200905,2009,5,76.70833
200906,2009,6,80.45935
200907,2009,7,77.08344
200908,2009,8,79.1465
200909,2009,9,83.46017
200910,2009,10,82.42864
200911,2009,11,79.8967
200912,2009,12,98.46424
201001,2010,1,77.73986
201002,2010,2,74.08262
201003,2010,3,93.40037
201004,2010,4,79.5216
201005,2010,5,84.02282
201006,2010,6,83.08507
201007,2010,7,86.74231
201008,2010,8,90.212
201009,2010,9,88.43027
201010,2010,10,91.52486
201011,2010,11,93.49414
201012,2010,12,113.28077
201101,2011,1,86.55476
201102,2011,2,84.96058
201103,2011,3,90.86843
201104,2011,4,89.0867
201105,2011,5,94.90077
201106,2011,6,90.86843
201107,2011,7,93.02527
201108,2011,8,95.08833
201109,2011,9,92.55639
201110,2011,10,92.93149
201111,2011,11,96.40118
201112,2011,12,118.15709
201201,2012,1,93.68169
201202,2012,2,87.58629
201203,2012,3,100.24598
201204,2012,4,91.61863
201205,2012,5,99.58955
201206,2012,6,102.21526
201207,2012,7,102.49659
201208,2012,8,109.90485
