cat_a,cat_b,n_transacoes,support,confidence_a_b,confidence_b_a,lift
destilados,vinho,408,0.0047,0.355,0.185,14.01
destilados,refrigerante,389,0.0045,0.339,0.027,2.02
isotonico,refrigerante,1137,0.0131,0.274,0.078,1.634
destilados,isotonico,84,0.001,0.073,0.02,1.532
biscoito,chocolate_premium,1772,0.0204,0.168,0.153,1.263
refrigerante,vinho,430,0.005,0.03,0.195,1.164
biscoito,snack,6358,0.0732,0.604,0.136,1.12
isotonico,vinho,117,0.0013,0.028,0.053,1.112
biscoito,refrigerante,1933,0.0223,0.184,0.133,1.096
biscoito,sorvete,2355,0.0271,0.224,0.131,1.08
biscoito,isotonico,521,0.006,0.05,0.126,1.037
chocolate_premium,snack,6376,0.0734,0.55,0.136,1.019
cafe,isotonico,849,0.0098,0.048,0.205,1.014
agua,isotonico,1373,0.0158,0.048,0.331,1.004
chocolate_premium,refrigerante,1941,0.0224,0.168,0.133,0.999
agua,refrigerante,4764,0.0549,0.166,0.327,0.992
padaria,suco,21199,0.2441,0.508,0.475,0.989
cafe,chocolate_premium,2292,0.0264,0.131,0.198,0.98
agua,cafe,5660,0.0652,0.198,0.323,0.98
refrigerante,sorvete,2950,0.034,0.203,0.164,0.977
isotonico,sorvete,825,0.0095,0.199,0.046,0.959
chocolate_premium,sorvete,2299,0.0265,0.198,0.128,0.957
padaria,snack,21410,0.2465,0.513,0.457,0.95
isotonico,snack,2084,0.024,0.502,0.044,0.93
padaria,sorvete,7923,0.0912,0.19,0.44,0.916
biscoito,padaria,4591,0.0529,0.436,0.11,0.908
snack,sorvete,8802,0.1014,0.188,0.489,0.906
cafe,refrigerante,2664,0.0307,0.152,0.183,0.906
snack,suco,21488,0.2474,0.458,0.482,0.892
chocolate_premium,isotonico,492,0.0057,0.042,0.119,0.889
agua,snack,13663,0.1573,0.477,0.291,0.884
cafe,snack,8334,0.096,0.475,0.178,0.881
agua,chocolate_premium,3342,0.0385,0.117,0.288,0.875
sorvete,suco,8042,0.0926,0.447,0.18,0.87
refrigerante,snack,6833,0.0787,0.469,0.146,0.869
cafe,suco,7802,0.0898,0.445,0.175,0.866
biscoito,suco,4655,0.0536,0.443,0.104,0.861
biscoito,cafe,1812,0.0209,0.172,0.103,0.853
isotonico,padaria,1676,0.0193,0.404,0.04,0.841
agua,suco,12260,0.1412,0.428,0.275,0.834
cafe,padaria,7028,0.0809,0.401,0.168,0.834
agua,destilados,302,0.0035,0.011,0.263,0.798
refrigerante,suco,5964,0.0687,0.409,0.134,0.797
agua,biscoito,2752,0.0317,0.096,0.262,0.794
agua,sorvete,4704,0.0542,0.164,0.261,0.793
agua,padaria,10804,0.1244,0.377,0.259,0.785
cafe,sorvete,2851,0.0328,0.163,0.158,0.785
chocolate_premium,padaria,4356,0.0502,0.376,0.104,0.782
isotonico,suco,1665,0.0192,0.401,0.037,0.781
padaria,refrigerante,5463,0.0629,0.131,0.375,0.78
agua,vinho,556,0.0064,0.019,0.252,0.766
chocolate_premium,suco,4554,0.0524,0.393,0.102,0.765
cafe,vinho,338,0.0039,0.019,0.153,0.76
padaria,vinho,797,0.0092,0.019,0.362,0.753
snack,vinho,875,0.0101,0.019,0.397,0.736
destilados,sorvete,173,0.002,0.151,0.01,0.727
sorvete,vinho,328,0.0038,0.018,0.149,0.718
suco,vinho,758,0.0087,0.017,0.344,0.67
destilados,suco,384,0.0044,0.334,0.009,0.651
destilados,snack,394,0.0045,0.343,0.008,0.636
cafe,destilados,137,0.0016,0.008,0.119,0.591
destilados,padaria,315,0.0036,0.274,0.008,0.571
biscoito,vinho,150,0.0017,0.014,0.068,0.562
chocolate_premium,vinho,148,0.0017,0.013,0.067,0.504
biscoito,destilados,64,0.0007,0.006,0.056,0.46
chocolate_premium,destilados,69,0.0008,0.006,0.06,0.451
