data,categoria_modelo,qtd,receita
2016-09-15,beleza,3,134.97
2016-10-03,brinquedos,1,128.9
2016-10-03,esportes,2,58.39
2016-10-03,presente_geral,1,29.9
2016-10-04,baby,3,279.79
2016-10-04,beleza,10,741.1
2016-10-04,brinquedos,5,708.5899999999999
2016-10-04,esportes,3,698.89
2016-10-04,presente_geral,2,178.9
2016-10-04,presente_perfume,7,1164.3
2016-10-05,baby,1,329.99
2016-10-05,beleza,3,121.84
2016-10-05,brinquedos,6,1239.58
2016-10-05,esportes,1,649.0
2016-10-05,presente_perfume,3,559.7
2016-10-06,baby,2,199.8
2016-10-06,beleza,6,370.67
2016-10-06,brinquedos,3,240.88
2016-10-06,esportes,3,153.70000000000002
2016-10-06,pet,2,209.8
2016-10-06,presente_acessorio,4,163.7
2016-10-06,presente_geral,4,1488.97
2016-10-06,presente_perfume,7,1219.3
2016-10-07,baby,3,227.70000000000002
2016-10-07,beleza,5,467.66
2016-10-07,brinquedos,5,808.77
2016-10-07,esportes,1,138.0
2016-10-07,pet,1,379.98
2016-10-07,presente_geral,3,660.4
2016-10-07,presente_perfume,6,857.4
2016-10-08,baby,2,333.89
2016-10-08,beleza,6,1019.69
2016-10-08,esportes,2,71.49000000000001
2016-10-08,presente_acessorio,1,49.9
2016-10-08,presente_geral,1,1399.0
2016-10-08,presente_perfume,4,999.5999999999999
2016-10-09,beleza,4,255.89
2016-10-09,brinquedos,2,649.98
2016-10-09,esportes,2,102.8
2016-10-09,presente_acessorio,1,79.9
2016-10-09,presente_perfume,1,11.9
2016-10-10,alimentos,1,79.9
2016-10-10,beleza,6,462.40000000000003
2016-10-10,brinquedos,2,329.79999999999995
2016-10-10,esportes,3,139.88
2016-10-10,pet,1,99.9
2016-10-10,presente_acessorio,2,79.8
2016-10-10,presente_perfume,1,16.9
2016-12-23,presente_acessorio,1,10.9
2017-01-05,baby,2,21.8
2017-01-05,brinquedos,2,43.8
2017-01-05,pet,5,42.5
2017-01-05,presente_acessorio,9,98.10000000000001
2017-01-06,beleza,1,636.0
2017-01-06,brinquedos,1,159.99
2017-01-07,beleza,1,370.0
2017-01-07,presente_geral,3,947.0
2017-01-08,presente_acessorio,1,129.99
2017-01-09,beleza,1,109.9
2017-01-09,esportes,1,129.0
2017-01-09,pet,1,7.9
2017-01-09,presente_geral,1,349.99
2017-01-10,presente_geral,2,875.17
2017-01-11,baby,1,119.9
2017-01-11,brinquedos,1,129.99
2017-01-11,esportes,1,209.9
2017-01-11,presente_geral,1,129.0
2017-01-12,baby,1,59.9
2017-01-12,presente_acessorio,1,33.9
2017-01-13,beleza,1,189.99
2017-01-13,esportes,1,113.0
2017-01-13,presente_geral,1,279.0
2017-01-14,esportes,3,187.8
2017-01-15,beleza,1,349.9
2017-01-15,brinquedos,1,159.9
2017-01-15,esportes,1,183.9
2017-01-15,presente_acessorio,1,89.99
2017-01-15,presente_geral,1,38.9
2017-01-16,beleza,3,719.98
2017-01-16,esportes,1,28.0
2017-01-16,pet,1,74.5
2017-01-16,presente_acessorio,3,114.69999999999999
2017-01-16,presente_geral,1,629.0
2017-01-17,baby,1,134.17
2017-01-17,beleza,1,349.9
2017-01-17,brinquedos,5,425.78000000000003
2017-01-17,esportes,6,384.5
2017-01-17,presente_acessorio,1,169.9
2017-01-17,presente_geral,2,445.9
2017-01-17,presente_perfume,3,93.7
2017-01-18,baby,4,282.88
2017-01-18,beleza,3,613.89
2017-01-18,brinquedos,2,199.89000000000001
2017-01-18,esportes,2,152.9
2017-01-18,pet,1,70.83
2017-01-18,presente_geral,1,189.0
2017-01-19,baby,5,309.99
2017-01-19,beleza,1,145.0
2017-01-19,brinquedos,1,34.9
2017-01-19,esportes,2,698.99
2017-01-20,baby,1,19.99
2017-01-20,beleza,3,549.7
2017-01-20,esportes,6,160.25
2017-01-20,presente_acessorio,1,54.9
2017-01-20,presente_geral,3,735.9
2017-01-21,beleza,1,28.9
2017-01-21,esportes,2,126.89000000000001
2017-01-21,presente_geral,1,15.8
2017-01-22,baby,1,40.0
2017-01-22,beleza,6,1080.5800000000002
2017-01-22,brinquedos,3,197.88
2017-01-22,esportes,1,113.0
2017-01-22,pet,1,149.0
2017-01-23,beleza,7,1206.3899999999999
2017-01-23,brinquedos,2,132.89000000000001
2017-01-23,esportes,3,1172.3600000000001
2017-01-23,pet,1,135.9
2017-01-23,presente_acessorio,5,299.59000000000003
2017-01-23,presente_geral,3,117.0
2017-01-24,baby,2,186.89000000000001
2017-01-24,beleza,6,855.79
2017-01-24,brinquedos,6,1116.94
2017-01-24,esportes,3,498.9
2017-01-24,presente_acessorio,1,79.9
2017-01-24,presente_geral,1,164.89
2017-01-24,presente_perfume,1,59.9
2017-01-25,beleza,12,666.75
2017-01-25,brinquedos,4,613.78
2017-01-25,esportes,8,265.9
2017-01-25,presente_acessorio,3,238.8
2017-01-25,presente_geral,4,1027.8899999999999
2017-01-25,presente_perfume,5,1153.5
2017-01-26,baby,7,300.5
2017-01-26,beleza,9,588.0
2017-01-26,brinquedos,2,71.65
2017-01-26,esportes,14,2968.1
2017-01-26,presente_acessorio,4,82.7
2017-01-26,presente_geral,6,1994.69
2017-01-26,presente_perfume,7,1579.3
2017-01-27,alimentos,1,15.32
2017-01-27,baby,4,1283.98
2017-01-27,beleza,5,604.34
2017-01-27,brinquedos,4,456.87
2017-01-27,esportes,5,368.19
2017-01-27,pet,4,318.49
2017-01-27,presente_acessorio,1,24.9
2017-01-27,presente_geral,7,1614.94
2017-01-27,presente_perfume,4,207.6
2017-01-28,baby,2,704.0
2017-01-28,beleza,2,679.8
2017-01-28,brinquedos,2,111.97999999999999
2017-01-28,esportes,3,213.5
2017-01-28,presente_geral,2,1033.8899999999999
2017-01-28,presente_perfume,1,489.9
2017-01-29,alimentos,1,27.5
2017-01-29,baby,1,1934.0
2017-01-29,beleza,3,182.8
2017-01-29,brinquedos,2,259.98
2017-01-29,esportes,3,272.3
2017-01-29,presente_acessorio,3,204.70000000000002
2017-01-29,presente_geral,1,222.4
2017-01-29,presente_perfume,8,859.1999999999999
2017-01-30,baby,3,374.89
2017-01-30,beleza,7,1166.49
2017-01-30,brinquedos,2,384.98
2017-01-30,esportes,3,332.98
2017-01-30,presente_geral,2,318.99
2017-01-30,presente_perfume,2,449.79999999999995
2017-01-31,baby,5,444.99
2017-01-31,beleza,8,1272.34
2017-01-31,brinquedos,1,66.99
2017-01-31,esportes,5,631.78
2017-01-31,presente_acessorio,1,49.9
2017-01-31,presente_geral,5,3814.04
