mes,mes_nome,f_sweets,f_beer,f_wine,f_spirits,f_soft_drinks,f_water,f_tea_coffee,f_readymade,f_dairy,f_sweets_uplift,f_beer_uplift,f_wine_uplift,f_spirits_uplift,f_soft_drinks_uplift,f_water_uplift,f_tea_coffee_uplift,f_readymade_uplift,f_dairy_uplift
1,Jan,0.14791017087244807,0.010141666079848663,0.014207619119720563,0.002397666983035591,0.025810127855655205,0.028474592010251012,0.007784936625810469,0.06359175281102783,0.11271708947578321,0.938,0.695,0.839,0.732,0.895,0.942,1.327,1.063,1.059
2,Feb,0.16108808336924735,0.011346091488960808,0.016143644837572392,0.0024297294099072243,0.02764888706644718,0.02830493885352627,0.006868807667805903,0.0604250104937522,0.10907395263846467,1.022,0.778,0.953,0.742,0.959,0.936,1.171,1.01,1.024
3,Mar,0.16943284354246962,0.012023601052249382,0.015650984935111155,0.002799396620742433,0.02723640668205103,0.02989264794658484,0.005848243614008745,0.05946082276969608,0.10734619565757705,1.075,0.824,0.924,0.855,0.944,0.989,0.997,0.994,1.008
4,Apr,0.15454891815411492,0.015108405032728266,0.01797941870869121,0.0026817830537634725,0.029647385232816736,0.03135653706184117,0.005293016291912755,0.057153959620868354,0.10654748152239693,0.98,1.036,1.061,0.819,1.028,1.037,0.903,0.955,1.001
5,May,0.15456085033427683,0.016071102656498738,0.016074180627895326,0.0026249445550073666,0.02906856521484148,0.03152364380667852,0.005480042323008166,0.05630499054771304,0.10628397436948177,0.98,1.102,0.949,0.802,1.008,1.043,0.934,0.941,0.998
6,Jun,0.14958164327554727,0.016431980430156312,0.015344738581520271,0.0027606612121876786,0.03143678167985078,0.03326191135569847,0.005368598908198076,0.058530304247285184,0.10691611729699249,0.949,1.126,0.906,0.843,1.09,1.1,0.915,0.978,1.004
7,Jul,0.14904056732510704,0.019146944730610637,0.01613371709212706,0.002798788151376806,0.03126426677981247,0.03294284376733776,0.004856589069730227,0.05837265687591601,0.10534548586037655,0.945,1.313,0.952,0.855,1.084,1.09,0.828,0.976,0.989
8,Aug,0.15245417998321603,0.01776219631691808,0.016093063399811574,0.002946161857670888,0.032332522606822504,0.03103430310385577,0.005062683011795591,0.05987080187920772,0.10809607727329192,0.967,1.218,0.95,0.9,1.121,1.027,0.863,1.001,1.015
9,Sep,0.15703930000853272,0.014217657565508383,0.015612902273629473,0.002612910691801403,0.026229164127521243,0.029777035449940457,0.006105785309180815,0.06056569315100295,0.10828625429600686,0.996,0.975,0.922,0.798,0.909,0.985,1.041,1.012,1.017
10,Oct,0.16176731951200488,0.014112385663922752,0.017211473892353328,0.003875771310399054,0.028649996311194418,0.028521091388990272,0.005569283764963719,0.0638826330677973,0.1057106686308483,1.026,0.967,1.016,1.184,0.993,0.943,0.95,1.068,0.993
11,Nov,0.16430394760131284,0.012807743850648685,0.01819332884080195,0.0043967567819206965,0.025639277502321475,0.02780611792064505,0.0066971641124423725,0.06253287519444796,0.10545541161533034,1.042,0.878,1.074,1.343,0.889,0.92,1.142,1.045,0.99
12,Dec,0.1700112878334825,0.015884614396416582,0.02462782489473525,0.006969417508045515,0.031106203449967732,0.029881621110894253,0.0054406349060171005,0.05734323578371318,0.0959324796046906,1.078,1.089,1.454,2.128,1.079,0.988,0.928,0.958,0.901
