categoria_modelo,evento,uplift_medio,uplift_std,n_anos,prior_calendario
espumante,Réveillon,6.321,0.922,5,3.0
espumante,Véspera de Natal,4.874,0.615,5,2.8
energetico,Réveillon,1.798,0.14,5,3.0
vinho,Véspera de Natal,1.764,0.118,5,2.8
espumante,Cyber Monday,1.724,0.297,5,1.3
espumante,Black Friday,1.688,0.288,5,1.5
cerveja,Réveillon,1.574,0.123,5,3.0
cerveja,Véspera de Natal,1.515,0.104,5,2.8
vinho,Dia dos Namorados,1.5,0.152,5,2.5
chocolate,Véspera de Natal,1.338,0.125,5,2.8
cerveja,Copa 2022 — Brasil x Sérvia,1.239,,1,2.8
whisky,Black Friday,1.166,0.131,5,1.5
chocolate,Dia dos Namorados,1.16,0.11,5,2.5
chocolate,Dia do Consumidor,1.143,0.117,5,1.2
whisky,Cyber Monday,1.139,0.109,5,1.3
refrigerante,Réveillon,1.132,0.052,5,3.0
refrigerante,Véspera de Natal,1.114,0.098,5,2.8
cerveja,Black Friday,1.082,0.084,5,1.5
refrigerante,Dia das Crianças,1.079,0.031,5,1.7
energetico,Cyber Monday,1.079,0.085,5,1.3
cerveja,Cyber Monday,1.071,0.094,5,1.3
energetico,Black Friday,1.061,0.043,5,1.5
cerveja,Aniversário de São Paulo,1.054,0.046,5,1.1
cerveja,Copa 2022 — Brasil x Camarões,1.048,,1,2.3
cerveja,Copa 2022 — Brasil x Suíça,1.048,,1,2.5
chocolate,Dia Internacional da Mulher,1.033,0.113,5,1.6
refrigerante,Aniversário de Barueri,1.022,0.06,5,1.15
refrigerante,Black Friday,1.02,0.06,5,1.5
vinho,Dia das Mães,1.018,0.096,6,2.2
refrigerante,Cyber Monday,1.017,0.058,5,1.3
refrigerante,Dia do Consumidor,1.006,0.049,5,1.2
cerveja,Copa 2022 — Brasil x Croácia (eliminação),1.004,,1,2.9
cerveja,Copa 2022 — Brasil x Coréia,1.004,,1,2.8
energetico,Dia do Consumidor,1.003,0.025,5,1.2
vinho,Black Friday,0.98,0.139,5,1.5
refrigerante,Copa 2022 — Brasil x Croácia (eliminação),0.97,,1,2.9
refrigerante,Copa 2022 — Brasil x Coréia,0.97,,1,2.8
cerveja,Dia dos Pais,0.967,0.073,5,1.9
refrigerante,Aniversário de São Paulo,0.963,0.037,5,1.1
whisky,Dia dos Pais,0.955,0.046,5,1.9
chocolate,Dia das Mães,0.948,0.082,6,2.2
vinho,Cyber Monday,0.945,0.119,5,1.3
cerveja,Dia do Consumidor,0.94,0.045,5,1.2
refrigerante,Copa 2022 — Brasil x Camarões,0.93,,1,2.3
refrigerante,Copa 2022 — Brasil x Suíça,0.93,,1,2.5
cerveja,Aniversário de Barueri,0.919,0.046,5,1.15
chocolate,Dia das Crianças,0.918,0.065,5,1.7
refrigerante,Copa 2022 — Brasil x Sérvia,0.915,,1,2.8
chocolate,Cyber Monday,0.899,0.103,5,1.3
chocolate,Black Friday,0.877,0.092,5,1.5
whisky,Dia do Consumidor,0.863,0.074,5,1.2
vinho,Dia do Consumidor,0.793,0.104,5,1.2
espumante,Dia dos Namorados,0.778,0.063,5,2.5
vinho,Dia Internacional da Mulher,0.769,0.094,5,1.6
espumante,Dia Internacional da Mulher,0.74,0.098,5,1.6
espumante,Dia do Consumidor,0.705,0.097,5,1.2
espumante,Dia das Mães,0.66,0.139,6,2.2
