termo,categoria_modelo,evento,ano,data,indice_janela,indice_baseline,uplift_medido,uplift_prior_calendario
cerveja,cerveja,Aniversário de Barueri,2022,2022-03-26,61.0,62.9,0.969,1.15
cerveja,cerveja,Aniversário de Barueri,2023,2023-03-26,55.5,57.3,0.969,1.15
cerveja,cerveja,Aniversário de Barueri,2024,2024-03-26,44.0,49.6,0.888,1.15
cerveja,cerveja,Aniversário de Barueri,2025,2025-03-26,44.0,50.0,0.88,1.15
cerveja,cerveja,Aniversário de Barueri,2026,2026-03-26,45.0,50.6,0.889,1.15
refrigerante,refrigerante,Aniversário de Barueri,2022,2022-03-26,79.0,70.5,1.12,1.15
refrigerante,refrigerante,Aniversário de Barueri,2023,2023-03-26,75.5,72.9,1.035,1.15
refrigerante,refrigerante,Aniversário de Barueri,2024,2024-03-26,71.0,73.6,0.965,1.15
refrigerante,refrigerante,Aniversário de Barueri,2025,2025-03-26,78.0,78.6,0.992,1.15
refrigerante,refrigerante,Aniversário de Barueri,2026,2026-03-26,83.0,83.0,1.0,1.15
cerveja,cerveja,Aniversário de São Paulo,2022,2022-01-25,65.0,62.4,1.041,1.1
cerveja,cerveja,Aniversário de São Paulo,2023,2023-01-25,60.0,56.8,1.056,1.1
cerveja,cerveja,Aniversário de São Paulo,2024,2024-01-25,49.0,48.6,1.008,1.1
cerveja,cerveja,Aniversário de São Paulo,2025,2025-01-25,51.0,49.3,1.034,1.1
cerveja,cerveja,Aniversário de São Paulo,2026,2026-01-25,53.5,47.4,1.129,1.1
refrigerante,refrigerante,Aniversário de São Paulo,2022,2022-01-25,72.0,71.0,1.014,1.1
refrigerante,refrigerante,Aniversário de São Paulo,2023,2023-01-25,70.0,73.1,0.957,1.1
refrigerante,refrigerante,Aniversário de São Paulo,2024,2024-01-25,69.0,73.5,0.938,1.1
refrigerante,refrigerante,Aniversário de São Paulo,2025,2025-01-25,73.0,79.2,0.922,1.1
refrigerante,refrigerante,Aniversário de São Paulo,2026,2026-01-25,81.5,82.8,0.985,1.1
cerveja,cerveja,Black Friday,2021,2021-11-26,65.0,65.2,0.997,1.5
cerveja,cerveja,Black Friday,2022,2022-11-25,71.0,62.0,1.144,1.5
cerveja,cerveja,Black Friday,2023,2023-11-24,56.0,56.8,0.985,1.5
cerveja,cerveja,Black Friday,2024,2024-11-29,55.0,48.2,1.141,1.5
cerveja,cerveja,Black Friday,2025,2025-11-28,55.5,48.5,1.145,1.5
chocolate,chocolate,Black Friday,2021,2021-11-26,34.0,43.6,0.779,1.5
chocolate,chocolate,Black Friday,2022,2022-11-25,38.0,45.5,0.836,1.5
chocolate,chocolate,Black Friday,2023,2023-11-24,37.5,45.7,0.821,1.5
chocolate,chocolate,Black Friday,2024,2024-11-29,38.5,39.5,0.974,1.5
chocolate,chocolate,Black Friday,2025,2025-11-28,39.0,40.0,0.976,1.5
energético,energetico,Black Friday,2021,2021-11-26,46.5,43.4,1.072,1.5
