store,ano,data,feriado,vendas,media_ano,uplift
1,2010,2010-02-12,Super Bowl,1641957.44,1526642.3333333333,1.0755351166077538
1,2010,2010-09-10,Labor Day,1507460.69,1526642.3333333333,0.9874354045381073
1,2010,2010-11-26,Thanksgiving,1955624.11,1526642.3333333333,1.2809969089026967
1,2010,2010-12-31,Christmas,1367320.01,1526642.3333333333,0.8956387361632621
1,2011,2011-02-11,Super Bowl,1649614.93,1556190.7467307688,1.060033889460849
1,2011,2011-09-09,Labor Day,1540471.24,1556190.7467307688,0.9898987275410857
1,2011,2011-11-25,Thanksgiving,2033320.66,1556190.7467307688,1.306601176155032
1,2011,2011-12-30,Christmas,1497462.72,1556190.7467307688,0.9622616784901568
1,2012,2012-02-10,Super Bowl,1802477.43,1586094.3725581397,1.1364250836429524
1,2012,2012-09-07,Labor Day,1661767.33,1586094.3725581397,1.047710248993451
2,2010,2010-02-12,Super Bowl,2137809.5,1984955.5039583333,1.077006258194126
2,2010,2010-09-10,Labor Day,1839128.83,1984955.5039583333,0.9265340338020019
2,2010,2010-11-26,Thanksgiving,2658725.29,1984955.5039583333,1.3394382315865807
2,2010,2010-12-31,Christmas,1750434.55,1984955.5039583333,0.8818507752487855
2,2011,2011-02-11,Super Bowl,2168041.61,1896305.4119230765,1.1432976968627384
2,2011,2011-09-09,Labor Day,1748000.65,1896305.4119230765,0.9217927866520835
2,2011,2011-11-25,Thanksgiving,2614202.3,1896305.4119230765,1.3785766172279663
2,2011,2011-12-30,Christmas,1874226.52,1896305.4119230765,0.9883568903066696
2,2012,2012-02-10,Super Bowl,2103322.68,1895271.985348837,1.1097735292134707
2,2012,2012-09-07,Labor Day,1898777.07,1895271.985348837,1.001849383454332
3,2010,2010-02-12,Super Bowl,420728.96,390529.5625,1.0773293507069648
3,2010,2010-09-10,Labor Day,352260.97,390529.5625,0.9020084619074131
3,2010,2010-11-26,Thanksgiving,565567.84,390529.5625,1.448207496455534
3,2010,2010-12-31,Christmas,382677.76,390529.5625,0.9798944734177455
3,2011,2011-02-11,Super Bowl,430526.21,400324.5494230769,1.075442939036459
3,2011,2011-09-09,Labor Day,377347.49,400324.5494230769,0.9426039211030399
3,2011,2011-11-25,Thanksgiving,556925.19,400324.5494230769,1.3911842049222467
3,2011,2011-12-30,Christmas,410553.88,400324.5494230769,1.0255525937434138
3,2012,2012-02-10,Super Bowl,473292.47,419173.0116279069,1.129110073575381
3,2012,2012-09-07,Labor Day,408229.73,419173.0116279069,0.9738931626694968
4,2010,2010-02-12,Super Bowl,2188307.39,1993343.141875,1.0978076699537094
4,2010,2010-09-10,Labor Day,1865820.81,1993343.141875,0.9360259008115138
4,2010,2010-11-26,Thanksgiving,2789469.45,1993343.141875,1.3993925036790902
4,2010,2010-12-31,Christmas,1794868.74,1993343.141875,0.9004313920139666
4,2011,2011-02-11,Super Bowl,2187847.29,2136390.256346154,1.0240859709507628
4,2011,2011-09-09,Labor Day,2093139.01,2136390.256346154,0.9797549880141626
4,2011,2011-11-25,Thanksgiving,3004702.33,2136390.256346154,1.406438884971752
4,2011,2011-12-30,Christmas,2007105.86,2136390.256346154,0.9394846536291231
4,2012,2012-02-10,Super Bowl,2374660.64,2157469.5172093017,1.1006693819116555
4,2012,2012-09-07,Labor Day,2125104.72,2157469.5172093017,0.984998723295444
5,2010,2010-02-12,Super Bowl,311825.7,309083.974375,1.0088704878036594
