ano_snapshot,mes_snapshot,categoria,sku,estoque,ultima_venda
2022,10,ACESSORIOS CELULAR,CABO MICRO USB SJX-08-V8 SHINKA,5.0,2026-03-22
2022,10,ACESSORIOS CELULAR,CABO TYPE C MAMMOTH,2.0,2026-05-10
2022,10,ACESSORIOS CELULAR,CABO TYPE C SJX-08-TPC SHINKA,0.0,2024-07-23
2022,10,ACESSORIOS CELULAR,CARREGADOR INTELIGENTE KA-5003 KAPBOM,4.0,2025-05-04
2022,10,ACESSORIOS CELULAR,CARREGADOR VEICULAR USB SHINKA,1.0,2026-05-06
2022,10,ACESSORIOS CELULAR,ELECTRONIC MUSIC HEADSET SH-FO-669 SHINKA,5.0,2026-03-03
2022,10,ACESSORIOS CELULAR,SHINKA MACARON SERIES CABO DE DADOS LIGHTNING CB-IP-99,0.0,2026-05-06
2022,10,ACESSORIOS CELULAR,SUPORTE VEICULAR UNIVERSAL TOMATE MTG-006,4.0,2026-02-07
2022,10,ACHOCOLATADO,"ACHOCOLATADO NESCAU EM PÓ 1,3KG",-102.0,
2022,10,ACHOCOLATADO,"ACHOCOLATADO NESTLE DOIS FRADES 1,3KG",2500.0,2025-10-11
2022,10,ACHOCOLATADO,NESCAFÉ ALEGRIA. NESCAU.,0.0,2026-05-03
2022,10,ACHOCOLATADO,"NESTLE ALPINO CHOCOLATE AO LEITE 1,3KG",4780.0,
2022,10,ADITIVOS STP,CELSIUS FLUIDO ANTICORROSIVO ROSA 500ML,2.0,2026-05-10
2022,10,ADITIVOS STP,CELSIUS FLUIDO ANTICORROSIVO VERDE 500ML,19.0,2026-04-20
2022,10,ADITIVOS STP,STP COMPLETE FUEL SYSTEM CLEANER 450ML,6.0,
2022,10,ADITIVOS STP,STP DIESEL FUEL INJECTOR CLEANER 450ML,6.0,2025-01-29
2022,10,ADITIVOS STP,STP DIESEL FUEL TREATMENT 236ML,0.0,2026-04-04
2022,10,ADITIVOS STP,STP FLEX TRATAMENTO 200ML,13.0,2026-04-26
2022,10,ADITIVOS STP,STP FUEL INJECTOR CLEANER 200ML,8.0,2026-05-09
2022,10,ADITIVOS STP,STP INTAKE VALVE CLEANER 200ML,0.0,2026-03-25
2022,10,ADITIVOS STP,STP INTAKE VALVE CLEANER LIMPEZA RAPIDA 200ML,14.0,2026-04-21
2022,10,ADITIVOS STP,STP LIMPEZA COMPLETA PARA SISTEMA DE INJEÇÃO 375ML,11.0,2025-07-09
2022,10,ADITIVOS STP,STP OCTANE BOOSTER 200ML,7.0,2026-04-05
2022,10,AGUA,AGUA SABORIZADA CRYSTAL SPARKLING MELANCIA 510ML,15.0,2026-05-10
2022,10,AGUA,AGUA TONICA FYS 350ML,0.0,2025-11-05
2022,10,AGUA,AGUA TONICA PETRA 350ML,0.0,2024-04-14
2022,10,AGUA SABORIZADA,CRYSTAL SPARKLING FRUTAS VERMELHAS 510ML,8.0,2026-05-07
2022,10,AGUA SABORIZADA,CRYSTAL SPARKLING LIMAO 510ML,10.0,2026-04-29
2022,10,AGUA SABORIZADA,CRYSTAL SPARKLING TANG E CAPIM-LIMAO 510ML,23.0,2026-05-07
2022,10,AGUA SABORIZADA,H2O LIMONETO ZERO AÇUCAR LATA 350ML,0.0,2026-05-05
2022,10,AGUARDENTES,51 ICE FRUIT MIX MORAN E LARANJ LONG NECK 275ML,22.0,2026-04-26
2022,10,AGUARDENTES,BEBIDA ALCOOLICA ICE LEEV LIMÃO 275ML,10.0,2026-05-04
2022,10,AGUARDENTES,BEBIDA ALCOOLICA ICE LEEV MELANCIA 275ML,0.0,2026-02-10
2022,10,AGUARDENTES,BEBIDA ALCOOLICA ICE LEEV MORANGO 275ML,2.0,2026-04-12
2022,10,AGUARDENTES,CABARÉ ICE LIMÃO 275ML,9.0,2026-04-26
2022,10,AMENDOIN/NOZES,AMENDOIM AMENDUPA COM PELE 50G,0.0,2026-01-26
2022,10,AMENDOIN/NOZES,AMENDOIM CROKISSIMO SALGADO 90GR,6.0,2026-04-08
2022,10,AMENDOIN/NOZES,AMENDOIM ELMA CHIPS OVINHO 145G,0.0,2026-04-08
2022,10,AMENDOIN/NOZES,AMENDOIM ELMA CHIPS S/PELE 100G,0.0,2026-04-21
2022,10,AMENDOIN/NOZES,AMENDOIM JAPONES ELMA CHIPS 145G,-4.0,2026-05-08
2022,10,AMENDOIN/NOZES,AMENDOIM PARI S/ PELE 120G,2.0,2026-05-06
