periodo,valor_parado_R$
2022-02,20315.60278
2022-03,19994.73008
2022-04,20385.41748
2022-05,20280.60978
2022-06,19983.28368
2022-07,19741.17318
2022-08,20087.53768
2022-09,19797.00438
2022-10,18800.09638
2022-11,18502.93398
2023-01,18592.16938
2023-02,17774.29778
2023-03,17749.87628
2023-04,18046.86748
2023-05,18035.35148
2023-06,17537.199
2023-07,18079.15818
2023-08,16438.2681
2023-09,16121.3564
2023-10,17171.97108
2023-11,17272.64428
2023-12,16507.77198
2024-01,17199.22508
2024-02,16654.13038
2024-03,15489.81648
2024-04,15660.10728
2024-05,15734.79068
2024-06,16316.90158
2024-07,15177.12438
2024-08,15159.52638
2024-09,14143.50788
2024-10,13933.15358
2024-11,12947.23988
2024-12,13067.82448
2025-01,12329.29788
2025-02,11855.53648
2025-03,12424.13548
2025-04,12777.02078
2025-05,12024.86028
2025-06,12099.87618
2025-07,12019.19048
2025-08,11398.94938
2025-09,10073.23208
2025-10,9997.06608
2025-11,9231.306
2025-12,8904.0889
2026-01,8728.6822
2026-02,8326.2999
2026-03,8165.9304999999995
2026-04,6407.329
2026-05,10652.2879
