seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,0,1095,464978.56,642974.8,1764.1,83.3,0.985,435.3776,95.7
42,1,1095,462059.38,638536.97,1831.2,164.3,0.9702,246.8584,93.9
42,2,1095,432804.47,627066.46,1803.7,166.1,0.9557,219.4988,91.6
42,3,1095,456257.9,646715.39,1721.1,153.6,0.9413,210.8455,93.2
42,4,1095,459237.25,644221.75,1651.4,135.7,0.9272,208.751,91.5
42,5,1095,464062.1,637554.18,1687.3,112.7,0.9133,206.4789,91.0
42,6,1095,470415.9,645592.89,1780.0,75.6,0.8996,202.1772,92.3
42,7,1095,448186.12,628534.67,1737.0,97.9,0.8861,185.3489,85.9
42,8,1095,460695.9,634448.3,1834.6,103.6,0.8728,181.1153,91.9
42,9,1095,447827.75,628990.16,1799.7,78.7,0.8597,179.2886,90.5
42,10,1095,476646.2,631515.46,1694.3,207.9,0.8468,176.8118,89.4
42,11,1095,487184.7,661508.19,1728.3,227.7,0.8341,207.276,91.9
42,12,1095,476149.9,635216.17,1814.3,71.4,0.8216,190.1549,86.1
42,13,1095,487845.53,642911.3,1740.2,74.7,0.8093,183.7561,88.6
42,14,1095,485528.9,632006.17,1866.2,97.8,0.7972,181.5333,84.5
42,15,1095,473615.6,628944.86,1804.6,147.6,0.7852,180.7949,86.8
42,16,1095,493612.56,642667.78,1731.6,119.1,0.7734,193.3196,87.6
42,17,1095,480480.56,633373.04,1730.3,114.2,0.7618,180.6767,85.4
42,18,1095,477458.38,633823.12,1786.5,152.5,0.7504,178.7833,91.1
42,19,1095,504780.47,643288.14,1735.7,85.1,0.7391,175.3642,91.8
42,20,1095,521801.9,647498.69,1696.3,87.1,0.728,173.0006,87.9
42,21,1095,499035.16,637407.72,1721.3,117.0,0.7171,189.9392,86.8
42,22,1095,507842.12,634086.25,1742.6,70.5,0.7064,180.7048,86.8
42,23,1095,500524.28,628524.53,1851.2,152.6,0.6958,179.4481,86.3
42,24,1095,492979.4,624841.65,1841.3,177.8,0.6853,176.6106,89.0
42,25,1095,549839.8,673357.92,1590.5,218.1,0.6751,176.5281,90.7
42,26,1095,525498.7,637980.1,1737.8,105.7,0.6649,194.5807,88.1
42,27,1095,527824.44,633370.7,1828.4,109.6,0.655,186.4532,89.0
42,28,1095,535932.0,639198.55,1763.0,128.0,0.6451,183.3792,85.3
42,29,1095,511226.62,635603.46,1762.4,175.6,0.6355,183.5727,85.8
42,30,1095,523131.1,629980.95,1759.2,158.5,0.6259,181.9473,88.2
42,31,1095,536726.4,638238.24,1794.6,81.4,0.6165,200.4854,87.0
42,32,1095,549909.44,639700.93,1820.7,84.6,0.6073,191.2124,84.8
42,33,1095,593210.9,674357.94,1656.3,248.9,0.5982,189.6235,85.3
42,34,1095,569117.1,669409.49,1709.6,194.8,0.5892,187.8787,88.2
42,35,1095,548177.4,643169.28,1725.0,95.4,0.5804,188.4031,86.3
42,36,1095,562029.3,661084.98,1623.9,228.0,0.5717,203.981,86.3
42,37,1095,564858.94,640994.43,1863.0,100.4,0.5631,197.1628,89.4
42,38,1095,556176.8,635727.84,1844.2,98.2,0.5546,195.5037,86.0
42,39,1095,546237.0,626473.7,1783.1,108.2,0.5463,195.5195,84.0
42,40,1095,600435.75,676949.15,1666.7,155.0,0.5381,193.4195,83.9
42,41,1095,554167.9,623859.01,1927.8,157.2,0.5301,211.9361,85.0
42,42,1095,600672.06,672296.22,1661.0,187.1,0.5221,206.457,84.4
42,43,1095,565115.6,638808.82,1720.1,78.8,0.5143,201.7818,86.2
42,44,1095,587438.5,658571.9,1698.9,245.6,0.5066,201.4645,85.1
42,45,1095,584970.3,639085.57,1694.0,91.9,0.499,202.3052,80.0
42,46,1095,588128.94,645017.53,1750.8,142.6,0.4915,215.916,79.9
42,47,1095,594151.9,645128.94,1754.3,111.5,0.4841,208.6393,85.3
42,48,1095,561791.25,627269.5,1851.0,120.0,0.4768,206.1327,81.1
42,49,1095,593127.06,644746.84,1823.9,80.7,0.4697,205.9731,80.1
42,50,1095,600102.4,643542.85,1753.0,177.2,0.4626,204.7285,80.2
42,51,1095,638618.9,667103.84,1619.1,200.5,0.4557,217.5027,79.7
42,52,1095,603898.6,642557.08,1871.9,121.7,0.4489,211.6387,78.3
42,53,1095,600357.6,643251.74,1704.8,82.1,0.4421,209.3305,80.5
42,54,1095,586982.06,636914.34,1743.4,84.3,0.4355,207.2679,83.0
42,55,1095,615658.4,645024.96,1772.9,101.4,0.429,205.6784,78.7
42,56,1095,626668.5,660275.87,1661.1,211.9,0.4225,221.4899,79.8
42,57,1095,594315.6,629453.63,1818.1,157.5,0.4162,213.7807,79.7
42,58,1095,604328.44,641379.27,1767.7,90.6,0.41,211.0985,79.9
42,59,1095,622864.06,635439.06,1757.5,98.2,0.4038,210.5039,78.8
42,60,1095,608734.8,636698.64,1707.4,97.8,0.3977,209.947,79.0
42,61,1095,622447.44,643814.84,1739.7,117.9,0.3918,224.3606,76.9
42,62,1095,609268.75,631406.16,1744.5,123.3,0.3859,216.0968,79.3
42,63,1095,612063.2,636946.6,1787.3,103.2,0.3801,214.6562,77.4
42,64,1095,614126.56,635972.53,1817.7,92.9,0.3744,213.0813,79.0
42,65,1095,618407.56,644268.25,1805.8,101.6,0.3688,212.568,78.0
42,66,1095,613992.56,638086.04,1808.7,98.0,0.3633,223.9467,80.7
42,67,1095,629042.1,644063.68,1790.7,89.1,0.3578,214.8118,77.0
42,68,1095,607415.25,636778.66,1906.6,86.0,0.3525,217.1645,79.7
42,69,1095,620288.6,627833.96,1746.8,132.4,0.3472,214.2588,78.0
42,70,1095,628378.25,647080.55,1743.8,133.4,0.342,212.1046,80.5
42,71,1095,617112.5,635472.02,1809.4,87.6,0.3368,225.0608,85.0
42,72,1095,624813.44,632088.73,1799.6,128.4,0.3318,216.8405,80.1
42,73,1095,634941.06,629188.64,1758.6,187.5,0.3268,216.7369,76.8
42,74,1095,680228.2,680008.66,1631.1,192.5,0.3219,213.0353,77.7
42,75,1095,643788.25,646433.05,1726.4,97.2,0.3171,213.4884,76.1
42,76,1095,666658.44,676476.41,1667.3,205.2,0.3123,227.3191,75.3
42,77,1095,642464.2,642217.87,1695.0,81.7,0.3076,219.0364,78.2
42,78,1095,638503.8,633151.7,1841.9,152.1,0.303,217.0746,75.8
42,79,1095,643153.56,639046.23,1834.1,71.3,0.2985,215.8997,74.5
42,80,1095,643537.7,629121.96,1799.3,116.4,0.294,215.0292,73.7
42,81,1095,664636.6,649995.11,1724.3,94.2,0.2896,223.455,76.4
42,82,1095,648705.56,633880.09,1790.3,110.9,0.2852,220.3493,73.6
42,83,1095,653233.9,645398.64,1790.5,97.8,0.281,217.6213,72.6
42,84,1095,652247.94,638738.7,1789.8,103.3,0.2767,215.6598,76.7
42,85,1095,699959.5,678942.46,1594.7,285.2,0.2726,212.3543,74.1
42,86,1095,687129.06,665152.14,1713.8,213.5,0.2685,227.565,71.2
42,87,1095,665404.44,642562.2,1705.5,102.0,0.2645,217.3798,79.1
42,88,1095,662806.06,646169.06,1733.5,103.2,0.2605,217.4616,72.3
42,89,1095,705637.25,670768.12,1668.2,130.5,0.2566,217.7856,76.7
42,90,1095,696587.2,671316.43,1752.4,178.0,0.2528,216.1601,76.9
42,91,1095,690659.6,656898.18,1801.3,211.1,0.249,229.7285,73.7
42,92,1095,664896.25,642818.94,1825.6,84.5,0.2452,215.9292,74.9
42,93,1095,681380.4,633023.16,1829.0,153.0,0.2415,211.5215,75.0
42,94,1095,680963.06,649369.2,1673.4,79.5,0.2379,213.2186,78.0
42,95,1095,681107.75,641646.92,1809.0,125.2,0.2344,214.0171,73.8
