produto_idx,categoria,intensidade,n,pct
13,gelo,combo,2829,25.84
5,chocolate_impulso,desc5%,1443,13.18
0,_sem_promo,desc5%,1121,10.24
20,vinho,desc5%,919,8.39
16,refrigerante,desc5%,832,7.6
6,chocolate_premium,desc5%,685,6.26
2,biscoito,desc5%,588,5.37
6,chocolate_premium,combo,506,4.62
13,gelo,desc5%,406,3.71
14,isotonico,desc5%,351,3.21
9,cigarro_souza_cruz,desc5%,343,3.13
19,suco,desc5%,247,2.26
0,_sem_promo,combo,189,1.73
8,cigarro_philip_morris,desc5%,146,1.33
8,cigarro_philip_morris,combo,100,0.91
2,biscoito,combo,85,0.78
17,snack,desc5%,62,0.57
12,energetico,desc5%,38,0.35
12,energetico,combo,26,0.24
10,destilados,desc5%,12,0.11
2,biscoito,desc10%,9,0.08
9,cigarro_souza_cruz,combo,4,0.04
0,_sem_promo,nada,4,0.04
10,destilados,combo,3,0.03
3,cafe,desc5%,2,0.02
