categoria,n_promovidos,n_promovidos_em_fraco,precision,recall,f1
refrigerante,592,592,1.0,0.178,0.303
cerveja,2196,683,0.311,0.209,0.25
snack,1234,201,0.163,0.061,0.088
sorvete,102,102,1.0,0.031,0.06
chocolate,443,104,0.235,0.031,0.055
energetico,83,83,1.0,0.025,0.049
cafe,270,85,0.315,0.026,0.047
isotonico,81,50,0.617,0.015,0.029
cigarro_jti,33,33,1.0,0.01,0.02
cigarro_philip_morris,1401,41,0.029,0.012,0.017
suco,973,10,0.01,0.003,0.005
agua,372,1,0.003,0.0,0.001
gelo,9,0,0.0,0.0,0.0
doce,493,0,0.0,0.0,0.0
