seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,0,1095,467750.9,642974.8,1764.1,83.3,0.985,438.8214,95.7
42,1,1095,464052.75,638514.33,1824.9,164.3,0.9702,243.3394,93.6
42,2,1095,432122.88,627066.46,1803.7,166.1,0.9557,214.41,91.6
42,3,1095,458744.88,646715.39,1721.1,153.6,0.9413,205.7461,93.5
42,4,1095,461740.72,644221.75,1651.4,135.7,0.9272,202.5772,90.2
42,5,1095,468083.9,637922.24,1697.6,108.0,0.9133,193.129,95.0
42,6,1095,478580.8,645603.45,1758.9,78.9,0.8996,198.3659,93.3
42,7,1095,455775.72,628944.3,1760.5,95.9,0.8861,182.3431,89.2
42,8,1095,470270.56,634653.5,1919.7,139.3,0.8728,178.0686,89.6
42,9,1095,451290.4,629249.54,1843.8,68.0,0.8597,176.6543,90.4
42,10,1095,480949.03,631792.13,1735.5,163.6,0.8468,174.3168,90.3
42,11,1095,494393.9,662867.88,1697.4,232.8,0.8341,189.101,89.0
42,12,1095,473095.44,635576.4,1740.0,63.1,0.8216,178.0002,89.7
42,13,1095,492811.88,642775.88,1734.5,97.8,0.8093,175.8929,92.1
42,14,1095,486232.25,631768.43,1884.2,95.5,0.7972,174.2443,88.1
42,15,1095,491320.2,629623.68,1777.7,117.4,0.7852,170.6788,88.9
42,16,1095,503258.2,638172.09,1707.6,110.0,0.7734,187.589,88.7
42,17,1095,497608.2,635639.4,1755.3,116.6,0.7618,176.1688,90.9
42,18,1095,489537.75,633137.3,1808.5,210.4,0.7504,175.1534,88.5
42,19,1095,516910.8,642255.3,1720.2,86.9,0.7391,173.9955,87.7
42,20,1095,523220.2,646853.17,1772.5,86.3,0.728,171.8784,85.7
42,21,1095,505292.72,637600.77,1694.7,78.7,0.7171,189.4906,86.8
42,22,1095,510287.28,634156.26,1712.2,61.6,0.7064,182.2662,86.4
42,23,1095,501662.12,629741.3,1832.8,190.0,0.6958,181.4443,89.4
42,24,1095,498132.2,624847.17,1755.5,160.4,0.6853,178.7197,88.8
42,25,1095,550456.8,674093.44,1701.9,170.4,0.6751,179.1362,89.1
42,26,1095,526880.6,640050.63,1714.3,146.6,0.6649,195.2561,90.7
42,27,1095,525845.8,631434.18,1797.0,207.6,0.655,189.5392,91.3
42,28,1095,538307.8,638333.15,1757.5,97.8,0.6451,185.7901,89.3
42,29,1095,512004.2,637919.37,1787.6,177.0,0.6355,187.067,91.1
42,30,1095,524538.4,631986.71,1792.6,140.7,0.6259,184.7315,86.4
42,31,1095,544769.8,639855.97,1807.4,103.5,0.6165,202.3853,87.5
42,32,1095,543558.0,638161.93,1817.9,99.9,0.6073,193.452,89.6
42,33,1095,588323.7,674845.06,1707.0,188.2,0.5982,192.8688,88.2
42,34,1095,578427.9,668379.35,1657.9,111.9,0.5892,191.4126,87.9
42,35,1095,552331.9,648370.49,1700.5,123.6,0.5804,191.4514,92.1
42,36,1095,567132.94,660146.74,1726.3,209.0,0.5717,206.4423,86.2
42,37,1095,568671.75,641785.73,1815.8,108.5,0.5631,200.8805,93.1
42,38,1095,561211.6,634571.89,1720.8,108.7,0.5546,198.3054,87.9
42,39,1095,559278.1,628346.04,1850.3,160.0,0.5463,199.4698,85.3
42,40,1095,593428.94,674771.21,1623.1,144.8,0.5381,198.1434,92.4
42,41,1095,557179.4,628146.13,1780.2,172.5,0.5301,213.5159,88.9
