produto_idx,categoria,intensidade,n,pct
13,gelo,combo,5174,23.63
7,cigarro_jti,desc5%,3335,15.23
14,isotonico,desc5%,1751,8.0
5,chocolate_impulso,combo,1734,7.92
0,_sem_promo,nada,1734,7.92
17,snack,combo,1405,6.42
0,_sem_promo,combo,1350,6.16
5,chocolate_impulso,desc5%,1230,5.62
2,biscoito,combo,1176,5.37
6,chocolate_premium,combo,1026,4.68
2,biscoito,desc5%,706,3.22
14,isotonico,nada,470,2.15
16,refrigerante,desc5%,447,2.04
14,isotonico,desc10%,84,0.38
7,cigarro_jti,nada,81,0.37
17,snack,desc5%,72,0.33
7,cigarro_jti,desc10%,44,0.2
17,snack,nada,42,0.19
2,biscoito,nada,19,0.09
5,chocolate_impulso,nada,7,0.03
7,cigarro_jti,liq25%,7,0.03
16,refrigerante,nada,5,0.02
14,isotonico,combo,1,0.0
