categoria,n_skus,custo_medio,qtd_fis_total,qtd_cont_total,diff_total,taxa_diff_pct
agua,174,2.5032875,5222.0,5737.0,-515.0,-8.976817151821509
biscoito,1036,2.699167,5579.0,6117.0,-538.0,-8.79516102664705
cafe,168,0.217005,222326.8,327208.7,-104881.9,-32.053518136895505
carvao,14,19.6,153.0,158.0,-5.0,-3.1645569620253164
cerveja,647,3.5,16332.0,16563.0,-231.0,-1.39467487773954
cha_pronto,65,2.717435,478.0,481.0,-3.0,-0.6237006237006237
chocolate_caixa,869,2.957696,34289.0,37795.0,-3506.0,-9.276359306786611
chocolate_unit,328,1.813344,4120.0,5526.0,-1406.0,-25.443358668114367
cigarrilha,33,10.132,61.0,-134.0,195.0,-145.5223880597015
cigarro_jti,274,8.5062565,7267.0,7475.0,-208.0,-2.782608695652174
cigarro_philip_morris,316,9.3872185,7559.0,8070.6,-511.6,-6.3390578147845265
cigarro_souza_cruz,515,9.002836,10815.0,11400.0,-585.0,-5.131578947368421
congelados,20,26.57,42.0,42.0,0.0,0.0
destilados,220,5.871560000000001,1109.0,1106.0,3.0,0.27124773960216997
doce_balcao,1294,1.8961744999999999,26719.0,27137.0,-418.0,-1.5403323875152006
energetico,338,6.336667,2588.0,3191.0,-603.0,-18.896897524287056
gelo,29,2.67,550.0,836.0,-286.0,-34.21052631578947
isotonico,212,3.731925,1768.0,1813.0,-45.0,-2.4820739106453393
lacteo,100,3.19,238.0,247.0,-9.0,-3.643724696356275
padaria,67,3.248333,340.0,350.0,-10.0,-2.857142857142857
refrigerante,480,2.795,4544.0,4618.0,-74.0,-1.6024252923343438
sanduiche,151,7.9,160.0,201.0,-41.0,-20.398009950248756
snack_salgado,1077,3.803889,5271.0,5365.0,-94.0,-1.7520969245107174
sorvete,1488,8.502211,12554.0,12691.0,-137.0,-1.0795051611378144
suco,351,2.769613,2522.0,2271.0,251.0,11.052399823866137
vinho,4,3.2825,17.0,23.0,-6.0,-26.08695652173913
whisky,27,59.9,31.0,31.0,0.0,0.0
