episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,0,-11667.67,0.0,0.997,-11667.67,0.8333333333333334,0.16666666666666666,0,5,4,3,5,8,5
1,0,-11120.980000000003,0.0,0.994009,-11394.325,0.8,0.13333333333333333,0,6,9,3,4,4,4
2,0,-17038.729999999996,1833.6856101707176,0.991026973,-13275.793333333333,0.8333333333333334,0.13333333333333333,0,5,6,3,4,8,4
3,0,-5480.28,1985.9063273111979,0.988053892081,-11326.914999999999,0.8333333333333334,0.16666666666666666,0,5,6,3,3,8,5
4,0,-12147.140000000003,2205.8411539713543,0.985089730404757,-11490.960000000001,0.9333333333333333,0.2,0,2,9,3,4,6,6
5,0,-18553.110000000004,2238.153535970052,0.9821344612135428,-12667.985,0.9666666666666667,0.16666666666666666,0,1,8,7,4,5,5
6,0,-18096.530000000002,2167.860388183594,0.9791880578299021,-13443.49142857143,0.8666666666666667,0.23333333333333334,0,4,4,5,5,5,7
7,0,-23239.53,2098.7441202799478,0.9762504936564125,-14667.99625,0.8,0.23333333333333334,0,6,4,6,3,4,7
8,0,-27874.510000000002,1821.477958170573,0.9733217421754432,-16135.386666666667,0.8,0.23333333333333334,0,6,4,8,1,4,7
9,0,-9377.51,1755.4685668945312,0.9704017769489168,-15459.599000000002,0.8333333333333334,0.13333333333333333,0,5,6,6,4,5,4
10,0,-15326.880000000001,1720.3339518229166,0.9674905716180701,-15447.533636363638,0.7,0.16666666666666666,0,9,5,2,6,3,5
11,0,-7623.279999999999,1778.8363647460938,0.9645880999032158,-14795.512500000003,0.9333333333333333,0.13333333333333333,0,2,5,4,6,9,4
12,0,-8969.4,1726.620027669271,0.9616943356035061,-14347.350000000002,0.9333333333333333,0.26666666666666666,0,2,5,5,4,6,8
13,0,-6534.749999999998,1795.6694946289062,0.9588092525966956,-13789.307142857144,0.7666666666666667,0.16666666666666666,1,7,4,2,4,8,5
14,0,-11904.349999999999,1620.732421875,0.9559328248389055,-13663.643333333335,0.7333333333333333,0.16666666666666666,0,8,3,8,4,2,5
15,0,-19941.81,1711.1048787434895,0.9530650263643888,-14056.02875,0.8666666666666667,0.2,0,4,3,6,3,8,6
16,0,-15357.71,1591.707470703125,0.9502058312852957,-14132.598235294117,0.6666666666666666,0.16666666666666666,0,10,4,3,3,5,5
17,0,-14697.86,1668.6112426757813,0.9473552137914398,-14164.001666666665,0.7,0.13333333333333333,0,9,8,2,4,3,4
18,0,-9106.039999999999,1603.0001831054688,0.9445131481500655,-13897.793157894734,0.7666666666666667,0.13333333333333333,0,7,7,2,6,4,4
19,0,-21955.050000000003,1673.6247395833334,0.9416796087056153,-14300.655999999997,0.8,0.13333333333333333,0,6,5,5,5,5,4
20,0,-19175.039999999997,1559.534511311849,0.9388545698794984,-14532.76952380952,0.8333333333333334,0.1,0,5,9,6,5,2,3
21,0,-19510.480000000003,1549.0988118489583,0.93603800616986,-14759.029090909085,0.7666666666666667,0.1,0,7,5,1,6,8,3
22,0,-5890.240000000001,1608.116072591146,0.9332298921513504,-14373.429565217386,0.7666666666666667,0.23333333333333334,0,7,3,4,5,4,7
23,0,-22486.609999999997,1500.951963297526,0.9304302024748964,-14711.47875,0.9,0.13333333333333333,0,3,4,5,3,11,4
24,0,-10990.74,1457.5146199544272,0.9276389118674717,-14562.6492,0.6333333333333333,0.13333333333333333,1,11,6,3,1,5,4
25,0,-13839.74,1475.7889607747395,0.9248559951318693,-14534.845,0.7333333333333333,0.16666666666666666,0,8,5,4,5,3,5
26,0,-16831.19,1429.3297485351563,0.9220814271464737,-14619.894814814814,0.7333333333333333,0.06666666666666667,0,8,3,9,3,5,2
27,0,-16170.610000000004,1478.692783610026,0.9193151828650342,-14675.277499999998,0.8,0.2,0,6,4,5,3,6,6
28,0,-11882.920000000002,1387.6308756510416,0.9165572373164391,-14578.989310344825,0.7333333333333333,0.2,0,8,5,4,3,4,6
29,0,-13174.559999999996,1410.5377604166667,0.9138075656044898,-14532.174999999997,0.7666666666666667,0.2,0,7,7,4,1,5,6
30,0,-23079.860000000004,1345.561258951823,0.9110661429076764,-14912.581333333332,0.8,0.06666666666666667,0,6,3,8,4,7,2
