episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,0,-16162.230000000001,0.0,0.997,-16162.230000000001,0.7333333333333333,0.3,0,8,6,2,3,2,9
1,0,-7910.1799999999985,0.0,0.994009,-12036.205,0.9333333333333333,0.23333333333333334,0,2,8,6,3,4,7
2,0,-12126.329999999996,2066.57019495081,0.991026973,-12066.246666666666,0.8333333333333334,0.2,0,5,6,3,6,4,6
3,0,2621.6100000000006,2189.550439453125,0.988053892081,-8394.2825,0.8333333333333334,0.16666666666666666,0,5,5,7,5,3,5
4,0,-18450.25,2087.8823771158854,0.985089730404757,-10405.475999999999,0.9,0.16666666666666666,0,3,8,4,6,4,5
5,0,-11332.61,1907.2075724283854,0.9821344612135428,-10559.998333333333,0.7666666666666667,0.13333333333333333,0,7,4,6,2,7,4
6,0,-18430.72,1742.6879760742188,0.9791880578299021,-11684.387142857142,0.8333333333333334,0.1,0,5,4,5,11,2,3
7,0,-12129.67,1571.3166178385416,0.9762504936564125,-11740.0475,0.8,0.16666666666666666,0,6,5,1,6,7,5
8,0,-17151.37,1525.2462443033853,0.9733217421754432,-12341.305555555555,0.8666666666666667,0.13333333333333333,0,4,7,6,4,5,4
9,0,-2847.949999999999,1470.9120971679688,0.9704017769489168,-11391.97,0.8333333333333334,0.16666666666666666,0,5,5,5,6,4,5
10,0,-9247.47,1418.1060668945313,0.9674905716180701,-11197.015454545455,0.8666666666666667,0.23333333333333334,0,4,5,5,5,4,7
11,0,-2007.379999999999,1448.4156046549479,0.9645880999032158,-10431.2125,0.8333333333333334,0.16666666666666666,0,5,4,5,5,6,5
12,0,-5940.08,1412.1401082356772,0.9616943356035061,-10085.74076923077,0.8333333333333334,0.26666666666666666,0,5,3,4,7,3,8
13,0,-7035.939999999998,1413.1498291015625,0.9588092525966956,-9867.897857142858,0.9,0.13333333333333333,0,3,5,4,5,9,4
14,0,-9335.939999999999,1429.082421875,0.9559328248389055,-9832.434000000001,0.7666666666666667,0.2,0,7,5,4,5,3,6
15,0,-11143.259999999997,1353.7216573079427,0.9530650263643888,-9914.360625,0.8666666666666667,0.16666666666666666,0,4,5,6,8,2,5
16,0,-11303.399999999998,1385.5616882324218,0.9502058312852957,-9996.068823529411,0.9666666666666667,0.3,0,1,3,6,5,6,9
17,0,-13097.4,1226.7444600423178,0.9473552137914398,-10168.364999999998,0.8,0.23333333333333334,0,6,5,6,5,1,7
18,0,-10686.5,1362.1029968261719,0.9445131481500655,-10195.635263157894,0.8,0.06666666666666667,0,6,4,8,4,6,2
19,0,-15954.660000000002,1422.3799296061197,0.9416796087056153,-10483.5865,0.7333333333333333,0.26666666666666666,1,8,4,4,1,5,8
20,0,-13002.499999999998,1357.6354878743489,0.9388545698794984,-10603.53476190476,0.8333333333333334,0.03333333333333333,0,5,5,7,4,8,1
21,0,-10460.859999999999,1230.7802164713542,0.93603800616986,-10597.049545454543,0.7666666666666667,0.16666666666666666,0,7,3,5,4,6,5
22,0,-3235.81,1313.3532185872396,0.9332298921513504,-10276.995652173911,0.7666666666666667,0.26666666666666666,0,7,5,2,4,4,8
23,0,-18640.3,1210.3993998209635,0.9304302024748964,-10625.466666666667,0.7,0.16666666666666666,0,9,9,4,2,1,5
24,0,-10712.88,1356.8002909342447,0.9276389118674717,-10628.9632,0.7,0.2,0,9,2,3,3,7,6
25,0,-10662.439999999999,1332.3099304199218,0.9248559951318693,-10630.25076923077,0.6666666666666666,0.06666666666666667,0,10,6,3,3,6,2
26,0,-9879.48,1227.9552714029949,0.9220814271464737,-10602.444444444445,0.8,0.13333333333333333,0,6,4,5,9,2,4
27,0,-4141.989999999999,1265.0470418294271,0.9193151828650342,-10371.713928571427,0.7666666666666667,0.23333333333333334,0,7,3,5,2,6,7
28,0,-13042.060000000001,1233.2309855143228,0.9165572373164391,-10463.794827586207,0.8666666666666667,0.13333333333333333,0,4,4,3,7,8,4
29,0,1928.4799999999996,1181.0155253092448,0.9138075656044898,-10050.719000000001,0.7333333333333333,0.2,0,8,5,3,5,3,6
30,0,-24012.579999999998,1259.9564778645833,0.9110661429076764,-10312.397333333332,0.8333333333333334,0.2,0,5,4,4,7,4,6
31,0,-3087.9599999999996,1256.0991455078124,0.9083329444789534,-10151.656666666668,0.7333333333333333,0.26666666666666666,0,8,6,2,2,4,8
32,0,-13614.81,1213.4117513020833,0.9056079456455165,-10201.272666666668,0.8666666666666667,0.1,0,4,9,3,2,9,3
33,0,-21038.16,1261.8034362792969,0.90289112180858,-10989.931666666667,0.8333333333333334,0.26666666666666666,0,5,6,5,4,2,8
34,0,-11830.560000000001,1288.247959391276,0.9001824484431542,-10769.275333333331,0.7666666666666667,0.13333333333333333,0,7,9,4,4,2,4
