episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,0,-2567.0,0.0,0.997,-2567.0,0.8,0.16666666666666666,0,6,4,3,6,6,5
1,0,-2482.98,0.0,0.994009,-2524.99,0.8,0.13333333333333333,0,6,6,5,1,8,4
2,0,-544.4800000000002,653.8558598271122,0.991026973,-1864.82,0.8333333333333334,0.23333333333333334,0,5,4,3,6,5,7
3,0,-1670.6500000000003,641.7595194498698,0.988053892081,-1816.2775000000001,0.8333333333333334,0.1,0,5,6,6,5,5,3
4,0,-4276.510000000001,607.2195007324219,0.985089730404757,-2308.3240000000005,0.8333333333333334,0.1,0,5,4,6,5,7,3
5,0,-2695.600000000001,530.7909403483073,0.9821344612135428,-2372.8700000000003,0.8666666666666667,0.2,0,4,6,3,6,5,6
6,0,2261.72,509.00046895345054,0.9791880578299021,-1710.785714285715,0.8333333333333334,0.2,0,5,4,8,3,4,6
7,0,-3008.22,501.6220245361328,0.9762504936564125,-1872.9650000000004,0.8,0.2,0,6,5,7,2,4,6
8,0,-492.7400000000007,493.8652598063151,0.9733217421754432,-1719.606666666667,0.7666666666666667,0.1,0,7,4,5,3,8,3
9,0,3305.65,507.5875946044922,0.9704017769489168,-1217.0810000000004,0.7333333333333333,0.13333333333333333,0,8,5,4,3,6,4
10,0,9034.08,553.4939931233724,0.9674905716180701,-285.15727272727304,0.9333333333333333,0.36666666666666664,0,2,2,5,6,4,11
11,0,3306.31,594.6423512776693,0.9645880999032158,14.131666666666396,0.9,0.16666666666666666,0,3,6,4,7,5,5
12,0,1824.69,611.9278279622396,0.9616943356035061,153.40538461538438,0.9,0.13333333333333333,0,3,7,6,4,6,4
13,0,2071.05,632.0273345947265,0.9588092525966956,290.37999999999977,0.8666666666666667,0.16666666666666666,0,4,6,6,6,3,5
14,0,722.2100000000003,633.2763854980469,0.9559328248389055,319.16866666666647,0.9333333333333333,0.16666666666666666,0,2,4,6,8,5,5
15,0,-3204.27,595.7464935302735,0.9530650263643888,98.9537499999999,0.8,0.2,0,6,7,3,5,3,6
16,0,-1700.77,603.4136159261068,0.9502058312852957,-6.912352941176564,0.7666666666666667,0.16666666666666666,0,7,5,5,3,5,5
17,0,2957.75,589.0862854003906,0.9473552137914398,157.79111111111104,0.8666666666666667,0.3333333333333333,0,4,4,5,3,4,10
18,0,1976.6800000000003,661.0665161132813,0.9445131481500655,253.5221052631578,0.9333333333333333,0.23333333333333334,0,2,6,4,4,7,7
19,0,-2353.0,625.6648335774739,0.9416796087056153,123.19599999999991,0.8333333333333334,0.23333333333333334,0,5,6,3,6,3,7
20,0,-3408.9500000000003,607.3159332275391,0.9388545698794984,-45.00142857142867,0.8666666666666667,0.23333333333333334,0,4,3,4,6,6,7
21,0,2059.8900000000003,613.7290598551432,0.93603800616986,50.67545454545447,0.7333333333333333,0.26666666666666666,0,8,5,2,2,5,8
22,0,2080.92,550.3588572184245,0.9332298921513504,138.94695652173905,0.8666666666666667,0.2,0,4,4,4,6,6,6
23,0,-1605.6399999999999,608.1364990234375,0.9304302024748964,66.25583333333331,0.8,0.16666666666666666,0,6,2,8,3,6,5
24,0,-491.11,586.1779154459635,0.9276389118674717,43.96119999999997,0.9,0.2,0,3,7,4,5,5,6
25,0,1379.6300000000006,606.1651184082032,0.9248559951318693,95.33307692307692,0.8333333333333334,0.16666666666666666,0,5,4,4,3,9,5
26,0,-847.0899999999999,581.9221954345703,0.9220814271464737,60.428518518518516,0.7666666666666667,0.2,0,7,4,3,5,5,6
27,0,748.76,576.6547546386719,0.9193151828650342,85.01178571428571,0.8666666666666667,0.13333333333333333,0,4,4,4,8,6,4
28,0,4284.6900000000005,574.865267944336,0.9165572373164391,229.82827586206898,0.8333333333333334,0.3333333333333333,0,5,6,3,3,3,10
29,0,-1277.1,582.1339324951172,0.9138075656044898,179.59733333333332,0.8666666666666667,0.16666666666666666,0,4,6,3,6,6,5
30,0,-1217.6699999999992,578.2441853841145,0.9110661429076764,224.57500000000002,0.7666666666666667,0.26666666666666666,0,7,5,4,1,5,8
31,0,3962.4499999999994,538.3804677327474,0.9083329444789534,439.4226666666666,0.9333333333333333,0.16666666666666666,0,2,8,4,6,5,5
32,0,83.68000000000006,551.2820617675782,0.9056079456455165,460.3613333333333,0.8333333333333334,0.23333333333333334,0,5,8,2,2,6,7
33,0,-3141.15,523.2978668212891,0.90289112180858,411.3446666666667,0.8333333333333334,0.23333333333333334,0,5,4,4,4,6,7
34,0,-1434.72,544.2824951171875,0.9001824484431542,506.0710000000001,0.8666666666666667,0.23333333333333334,0,4,9,3,4,3,7
35,0,2160.5099999999998,636.2164642333985,0.8974819010978248,667.9413333333334,0.8333333333333334,0.26666666666666666,0,5,8,2,3,4,8
36,0,1479.0399999999993,672.1008870442708,0.8947894553945313,641.8520000000001,0.9,0.16666666666666666,0,3,8,7,0,7,5
37,0,2050.35,659.2848765055338,0.8921050870283477,810.4709999999999,0.7666666666666667,0.3,0,7,7,1,3,3,9
38,0,-2465.61,648.4059631347657,0.8894287717672626,744.7086666666665,0.8666666666666667,0.16666666666666666,0,4,1,3,11,6,5
39,0,-2523.9599999999996,622.1469807942708,0.8867604854519608,550.3883333333335,0.8,0.2,1,6,6,5,4,3,6
40,0,1533.4300000000005,613.380615234375,0.884100203995605,300.36666666666673,0.9,0.3,0,3,4,5,4,5,9
41,0,-1066.4,613.6217895507813,0.8814479033836181,154.6096666666667,0.8,0.16666666666666666,0,6,4,2,7,6,5
42,0,1884.3300000000004,605.7551381429037,0.8788035596734672,156.59766666666673,0.8333333333333334,0.23333333333333334,0,5,2,9,2,5,7
43,0,-1253.0299999999997,617.2745056152344,0.8761671489944468,45.7950000000001,0.7666666666666667,0.26666666666666666,0,7,4,2,8,1,8
44,0,1641.9999999999995,614.7665863037109,0.8735386475474635,76.45466666666674,0.8666666666666667,0.26666666666666666,0,4,9,3,4,2,8
45,0,2215.52,618.2226643880208,0.8709180316048211,257.1143333333334,0.7333333333333333,0.23333333333333334,0,8,3,3,3,6,7
46,0,5264.64,597.7007680257161,0.8683052775100066,489.2946666666668,0.8666666666666667,0.3333333333333333,0,4,3,2,6,5,10
47,0,2023.2399999999998,631.1227579752605,0.8657003616774767,458.14433333333346,0.8333333333333334,0.3,0,5,4,6,2,4,9
48,0,-141.85000000000008,622.5714609781901,0.8631032605924442,387.52666666666664,0.7333333333333333,0.13333333333333333,0,8,4,4,5,5,4
49,0,451.24,608.6647857666015,0.860513950810667,481.00133333333343,0.8666666666666667,0.23333333333333334,0,4,9,4,2,4,7
50,0,1256.2899999999997,607.2284250895183,0.857932408958235,636.5093333333334,0.8,0.23333333333333334,0,6,6,4,2,5,7
51,0,-541.4400000000007,598.4349060058594,0.8553586117313603,549.7983333333333,0.9,0.23333333333333334,0,3,6,6,6,2,7
52,0,-2497.8900000000003,830.2906270345052,0.8527925358961662,397.17133333333334,0.7333333333333333,0.2,0,8,4,3,6,3,6
53,0,-1750.14,807.3021484375,0.8502341582884777,392.3546666666667,0.8666666666666667,0.23333333333333334,0,4,3,8,2,6,7
54,0,1561.68,792.6157287597656,0.8476834558136123,460.781,0.7333333333333333,0.2,0,8,5,5,3,3,6
55,0,3649.7599999999998,794.8714558919271,0.8451404054461714,536.452,0.8,0.23333333333333334,0,6,2,3,4,8,7
56,0,-1811.5399999999997,754.0577758789062,0.8426049842298329,504.30366666666663,0.7666666666666667,0.1,0,7,10,1,6,3,3
57,0,-2080.1599999999994,781.4455322265625,0.8400771692771434,410.00633333333343,0.8333333333333334,0.23333333333333334,0,5,4,4,5,5,7
58,0,3778.5500000000006,736.8429931640625,0.837556937769312,393.135,0.8666666666666667,0.3333333333333333,0,4,6,1,4,5,10
59,0,-348.96000000000004,732.0589131673177,0.835044266956004,424.073,0.6,0.26666666666666666,0,12,2,5,2,1,8
60,0,-1626.9099999999996,767.5799133300782,0.8325391341551359,410.4316666666667,0.8333333333333334,0.3,0,5,1,3,7,5,9
61,0,734.7700000000003,758.9797139485677,0.8300415167526705,302.84233333333333,0.7333333333333333,0.26666666666666666,0,8,4,1,3,6,8
62,0,2827.39,758.7489115397135,0.8275513922024125,394.2993333333333,0.9,0.4,0,3,3,5,3,4,12
63,0,959.56,732.2294108072916,0.8250687380258053,530.9896666666667,0.8666666666666667,0.36666666666666664,0,4,6,4,1,4,11
64,0,-1946.2199999999996,732.6156127929687,0.8225935318117279,513.9396666666667,0.8,0.2,0,6,6,4,4,4,6
65,0,-1074.8399999999997,757.9406697591146,0.8201257512162927,406.0946666666666,0.7666666666666667,0.16666666666666666,0,7,2,4,4,8,5
66,0,2228.0,721.5111755371094,0.8176653739626438,431.06,0.9666666666666667,0.26666666666666666,0,1,3,9,7,2,8
67,0,808.8100000000001,779.9435811360677,0.8152123778407558,389.67533333333336,0.8,0.36666666666666664,0,6,5,2,3,3,11
68,0,-2232.99,782.010557047526,0.8127667407072335,397.4293333333334,0.8333333333333334,0.16666666666666666,0,5,0,11,5,4,5
69,0,-1794.83,871.3815958658854,0.8103284404851119,421.73366666666675,0.9333333333333333,0.3,0,2,5,2,7,5,9
70,0,3187.0,815.4031087239583,0.8078974551636565,476.85266666666666,0.7333333333333333,0.3333333333333333,0,8,3,3,4,2,10
71,0,-893.2499999999999,840.6206604003906,0.8054737627981655,482.62433333333337,0.9666666666666667,0.3,0,1,4,7,4,5,9
72,0,3963.6,807.8010192871094,0.803057341509771,551.9333333333333,0.8333333333333334,0.3,0,5,3,2,6,5,9
73,0,1032.3899999999999,791.3511535644532,0.8006481694852418,628.1139999999999,0.7,0.3,0,9,6,2,2,2,9
74,0,1102.58,819.2922627766927,0.798246224976786,610.1333333333333,0.8333333333333334,0.23333333333333334,0,5,7,4,3,4,7
75,0,3878.67,819.0581848144532,0.7958514863018556,665.5716666666667,0.9,0.3,0,3,3,7,0,8,9
76,0,-2548.27,805.813789876302,0.79346393184295,405.14133333333325,0.9333333333333333,0.2,1,2,5,6,4,7,6
77,0,-1602.0000000000002,782.1039225260416,0.7910835400474212,284.29999999999995,0.8,0.13333333333333333,0,6,8,2,7,3,4
78,0,-1353.3299999999997,807.3196736653646,0.7887102894272789,243.91733333333335,0.8666666666666667,0.36666666666666664,0,4,4,4,3,4,11
